Station Code,Distance from BHV,Services from/to BHV,Disruptions on path to BHV
AC,33,0.0,106
AH,63,0.0,284
AHP,64,0.0,541
AHPR,66,0.0,541
AHZ,71,0.0,541
AKL,56,0.0,117
AKM,155,0.0,308
ALM,52,0.0,13
ALMB,58,0.0,144
ALMM,51,0.0,12
ALMO,60,0.0,144
ALMP,54,0.0,144
AMF,12,37.58064516129032,4
AMFS,15,36.67741935483871,244
AML,109,0.0,310
AMPO,49,0.0,12
AMR,87,0.0,358
AMRI,111,0.0,380
AMRN,88,0.0,433
ANA,117,0.0,444
APD,55,0.0,244
APDM,56,0.0,279
APDO,58,0.0,279
APG,218,0.0,338
APN,44,0.0,83
ARN,187,0.0,270
ASA,42,0.0,73
ASB,38,0.0,73
ASD,48,0.0,73
ASDL,55,0.0,331
ASDM,44,0.0,110
ASDZ,44,0.0,87
ASHD,37,0.0,233
ASN,156,0.0,258
ASS,52,0.0,331
ASSP,45,0.0,124
ATN,115,0.0,578
AVAT,18,36.67741935483871,250
BD,100,0.0,159
BDE,181,0.0,262
BDG,36,0.0,74
BDM,199,0.0,327
BDPB,105,0.0,482
BET,79,0.0,73
BF,203,0.0,327
BGN,135,0.0,269
BHDV,67,0.0,137
BHV,0,0.0,0
BK,174,0.0,263
BKF,106,0.0,416
BKG,105,0.0,412
BKL,21,0.0,73
BL,140,0.0,258
BLL,70,0.0,368
BMN,80,0.0,279
BMR,107,0.0,319
BN,118,0.0,380
BNC,31,0.0,245
BNK,17,0.0,73
BNN,28,0.0,244
BNZ,33,0.0,261
BP,197,0.0,261
BR,139,0.0,243
BRD,76,0.0,234
BRN,15,28.93548387096774,4
BSD,42,0.0,116
BSK,50,0.0,164
BSKS,51,0.0,187
BSMZ,26,0.0,1
BTL,69,0.0,146
BV,77,0.0,352
BZL,167,0.0,300
CAS,75,0.0,355
CK,97,0.0,316
CL,27,0.0,101
CO,133,0.0,278
CPS,54,0.0,158
CVM,191,0.0,280
DA,120,0.0,380
DB,21,0.0,73
DDN,113,0.0,294
DDR,84,0.0,148
DDRS,81,0.0,148
DDZD,85,0.0,265
DEI,177,0.0,261
DID,82,0.0,541
DL,90,0.0,258
DLD,3,66.51612903225806,0
DLN,137,0.0,292
DMN,43,0.0,18
DMNZ,42,0.0,76
DN,111,0.0,215
DR,79,0.0,541
DRH,75,0.0,369
DRON,101,0.0,158
DRP,184,0.0,275
DT,78,0.0,173
DTC,93,0.0,561
DTCH,91,0.0,561
DTCP,78,0.0,228
DV,70,0.0,244
DVC,74,0.0,279
DVD,40,0.0,73
DVN,72,0.0,543
DVNK,62,0.0,181
DWE,190,0.0,261
DZ,222,0.0,356
DZW,221,0.0,356
EC,154,0.0,260
ED,46,0.0,262
EDC,44,0.0,261
EDN,196,0.0,264
EEM,229,0.0,355
EGH,190,0.0,279
EGHM,191,0.0,279
EHS,88,0.0,149
EHV,89,0.0,149
EKZ,109,0.0,424
EML,35,36.67741935483871,244
EMN,153,0.0,293
EMNZ,149,0.0,292
ES,126,0.0,346
ESK,122,0.0,346
EST,74,0.0,541
ETN,111,0.0,482
FN,190,0.0,261
FWD,187,0.0,261
GBG,126,0.0,278
GD,41,0.0,73
GDG,38,0.0,73
GDM,35,0.0,73
GDR,98,0.0,578
GERP,182,0.0,311
GK,203,0.0,326
GLN,170,0.0,262
GN,184,0.0,311
GND,70,0.0,137
GNN,188,0.0,326
GO,103,0.0,286
GP,95,0.0,211
GR,61,0.0,135
GS,172,0.0,270
GV,70,0.0,158
GVC,69,0.0,76
GVM,70,0.0,266
GVMW,71,0.0,173
GW,160,0.0,315
GZ,90,0.0,161
HAD,71,0.0,352
HB,181,0.0,293
HBZM,73,0.0,147
HD,39,36.67741935483871,247
HDB,120,0.0,265
HDE,60,36.67741935483871,244
HDG,183,0.0,261
HDR,129,0.0,453
HDRZ,128,0.0,453
HFD,60,0.0,161
HGL,118,0.0,327
HGLG,116,0.0,327
HGLO,120,0.0,346
HGV,126,0.0,258
HGZ,195,0.0,334
HIL,77,0.0,181
HK,74,0.0,391
HKS,101,0.0,408
HLG,199,0.0,262
HLGH,200,0.0,266
HLM,67,0.0,331
HLMS,66,0.0,352
HLO,82,0.0,358
HM,102,0.0,211
HMBH,103,0.0,215
HMBV,99,0.0,211
HMH,101,0.0,211
HMN,66,0.0,119
HN,91,0.0,352
HNK,92,0.0,408
HNO,90,0.0,258
HNP,215,0.0,264
HON,89,0.0,279
HOR,15,0.0,0
HR,144,0.0,315
HRL,185,0.0,262
HRLW,187,0.0,279
HRN,178,0.0,311
HRT,129,0.0,243
HT,57,0.0,73
HTN,17,0.0,73
HTNC,18,0.0,101
HTO,58,0.0,146
HVL,18,0.0,244
HVS,21,0.0,0
HVSM,22,0.0,1
HVSP,20,0.0,0
HWD,94,0.0,434
HWZB,59,0.0,352
HZE,100,0.0,217
IJT,198,0.0,262
KBD,154,0.0,270
KBK,64,0.0,280
KLP,43,0.0,73
KMA,66,0.0,365
KMR,193,0.0,279
KMW,220,0.0,269
KPN,93,0.0,258
KPNZ,93,0.0,258
KRD,193,0.0,290
KRG,161,0.0,270
KTR,59,0.0,116
KW,192,0.0,332
KZ,60,0.0,355
LAA,70,0.0,105
LC,90,0.0,279
LDL,58,0.0,164
LDM,49,0.0,117
LEDN,59,0.0,171
LG,188,0.0,279
LLS,76,0.0,144
LLZM,54,0.0,158
LP,210,0.0,338
LTN,38,0.0,261
LTV,108,0.0,281
LUT,170,0.0,262
LW,173,0.0,244
LWC,176,0.0,261
MAS,16,0.0,73
MDB,191,0.0,297
MES,193,0.0,264
MG,183,0.0,261
MMLH,92,0.0,305
MP,106,0.0,258
MRB,112,0.0,265
MRN,29,0.0,105
MT,187,0.0,262
MTH,193,0.0,334
MTN,190,0.0,264
MTR,188,0.0,264
MZ,110,0.0,222
NDB,27,0.0,1
NH,178,0.0,293
NKK,23,36.67741935483871,244
NM,82,0.0,284
NMD,87,0.0,305
NMGO,85,0.0,305
NMH,85,0.0,305
NML,81,0.0,555
NS,51,36.67741935483871,244
NSCH,228,0.0,341
NVD,110,0.0,267
NVP,65,0.0,289
NWK,50,0.0,158
O,76,0.0,146
OBD,100,0.0,352
ODB,115,0.0,270
ODZ,129,0.0,346
OMN,101,0.0,265
OP,63,0.0,119
OST,80,0.0,310
OT,78,0.0,189
OTB,59,0.0,284
OVN,69,0.0,368
OW,75,0.0,146
PMO,73,0.0,331
PMR,72,0.0,352
PMW,71,0.0,355
PT,30,36.67741935483871,244
RAI,43,0.0,76
RAT,96,0.0,258
RB,151,0.0,270
RD,222,0.0,342
RH,73,0.0,542
RHN,52,0.0,108
RL,95,0.0,281
RLB,72,0.0,228
RM,141,0.0,211
RS,64,0.0,146
RSD,122,0.0,265
RSN,96,0.0,279
RSW,73,0.0,173
RTA,55,0.0,158
RTB,66,0.0,228
RTD,65,0.0,158
RTN,60,0.0,160
RTST,70,0.0,228
RTZ,69,0.0,228
RV,152,0.0,260
RVS,84,0.0,167
SBK,173,0.0,292
SD,11,28.93548387096774,4
SDA,211,0.0,332
SDM,69,0.0,228
SDT,74,0.0,147
SDTB,77,0.0,148
SGL,197,0.0,278
SGN,108,0.0,444
SHL,55,0.0,87
SK,195,0.0,261
SKND,194,0.0,261
SM,146,0.0,260
SN,175,0.0,293
SOG,195,0.0,279
SPTN,74,0.0,368
SPTZ,72,0.0,368
SRN,159,0.0,289
SSH,67,0.0,181
ST,10,28.93548387096774,4
STD,166,0.0,260
STM,206,0.0,338
STV,224,0.0,269
STZ,9,28.93548387096774,4
SWD,195,0.0,326
SWK,120,0.0,308
TB,79,0.0,146
TBG,99,0.0,578
TBR,84,0.0,159
TBU,80,0.0,159
TG,146,0.0,212
TL,47,0.0,116
TPSW,45,0.0,116
TWL,65,0.0,279
UHM,219,0.0,342
UHZ,216,0.0,342
UST,211,0.0,341
UT,9,63.74193548387097,0
UTG,71,0.0,390
UTLN,13,0.0,73
UTLR,12,0.0,73
UTO,6,63.74193548387097,0
UTT,14,0.0,73
UTVR,10,0.0,73
UTZL,11,0.0,73
VB,66,0.0,158
VD,85,0.0,279
VDL,189,0.0,279
VDM,211,0.0,339
VEM,69,0.0,281
VG,61,0.0,146
VH,67,0.0,181
VHP,118,0.0,268
VK,198,0.0,279
VL,141,0.0,211
VLB,114,0.0,347
VNDC,44,0.0,107
VNDW,43,0.0,107
VP,69,0.0,542
VRY,121,0.0,348
VS,197,0.0,297
VSS,196,0.0,270
VST,64,0.0,266
VSV,106,0.0,578
VTN,16,0.0,78
VZ,115,0.0,380
WAD,49,0.0,158
WADN,50,0.0,158
WADT,48,0.0,158
WC,91,0.0,170
WD,25,0.0,73
WDN,104,0.0,286
WF,55,0.0,284
WFM,208,0.0,341
WH,87,0.0,320
WK,211,0.0,264
WL,88,0.0,561
WM,64,0.0,355
WP,36,0.0,12
WR,238,0.0,350
WS,216,0.0,341
WSM,200,0.0,327
WT,117,0.0,211
WTV,68,0.0,543
WV,133,0.0,258
WW,118,0.0,293
WWW,117,0.0,293
WZ,69,36.67741935483871,257
YPB,62,0.0,76
ZA,69,0.0,119
ZB,203,0.0,335
ZBM,44,0.0,116
ZD,58,0.0,352
ZDK,61,0.0,355
ZH,196,0.0,326
ZL,78,36.67741935483871,244
ZLSH,83,0.0,258
ZLW,99,0.0,265
ZP,73,0.0,279
ZTM,57,0.0,73
ZTMO,56,0.0,158
ZV,77,0.0,541
ZVB,107,0.0,270
ZVT,75,0.0,368
ZWD,83,0.0,333
ZZS,61,0.0,355
