Station Code,distance_GK,services_per_day_GK,n_of_disruptions_GK
WH,139,0,82
WK,73,0,43
WL,224,0,190
WM,252,0,500
WP,222,0,334
WR,77,0,54
WS,55,0,45
WSM,35,0,16
WT,320,0,530
WTV,204,0,167
WV,75,0,40
WW,217,0,172
WWW,216,0,172
WZ,134,0,82
YPB,265,0,480
ZA,223,0,432
ZB,42,0,39
ZBM,247,0,519
ZD,246,0,497
ZDK,249,0,500
ZH,7,31.451612903225808,0
ZL,125,0,68
ZLSH,130,0,82
ZLW,302,0,670
ZP,172,0,158
ZTM,260,0,480
ZTMO,259,0,480
ZV,213,0,170
ZVB,310,0,675
ZVT,263,0,514
ZWD,286,0,664
ZZS,249,0,500
