Station Code,Distance from ASSP,Services from/to ASSP,Disruptions on path to ASSP
AC,12,0.0,14
AH,91,0.0,299
AHP,92,0.0,556
AHPR,94,0.0,556
AHZ,99,0.0,556
AKL,83,0.0,72
AKM,183,0.0,83
ALM,25,39.774193548387096,8
ALMB,31,39.774193548387096,139
ALMM,24,39.774193548387096,7
ALMO,33,39.774193548387096,139
ALMP,27,39.774193548387096,139
AMF,40,38.193548387096776,19
AMFS,43,32.96774193548387,259
AML,137,0.0,325
AMPO,22,39.774193548387096,7
AMR,44,0.0,285
AMRI,139,0.0,395
AMRN,45,0.0,360
ANA,74,0.0,371
APD,83,0.0,259
APDM,84,0.0,294
APDO,86,0.0,294
APG,246,0.0,113
APN,62,0.0,38
ARN,206,0.0,188
ASA,3,0.0,14
ASB,7,0.0,14
ASD,5,76.35483870967742,0
ASDL,12,53.774193548387096,258
ASDM,1,76.29032258064517,0
ASDZ,9,0.0,54
ASHD,8,0.0,28
ASN,184,0.0,33
ASS,9,53.774193548387096,258
ASSP,0,0.0,0
ATN,143,0.0,593
AVAT,46,32.96774193548387,265
BD,127,0.0,260
BDE,208,0.0,341
BDG,54,0.0,29
BDM,227,0.0,102
BDPB,128,0.0,305
BET,106,0.0,247
BF,231,0.0,102
BGN,154,0.0,304
BHDV,94,0.0,92
BHV,45,0.0,19
BK,201,0.0,342
BKF,63,0.0,343
BKG,62,0.0,339
BKL,24,0.0,141
BL,168,0.0,33
BLL,27,0.0,295
BMN,108,0.0,294
BMR,135,0.0,334
BN,146,0.0,395
BNC,59,0.0,260
BNK,44,0.0,124
BNN,56,0.0,259
BNZ,61,0.0,276
BP,225,0.0,276
BR,166,0.0,322
BRD,94,0.0,189
BRN,31,38.193548387096776,19
BSD,69,0.0,71
BSK,68,0.0,119
BSKS,69,0.0,142
BSMZ,19,38.2258064516129,18
BTL,96,0.0,247
BV,34,0.0,279
BZL,186,0.0,335
CAS,32,0.0,282
CK,125,0.0,331
CL,54,0.0,152
CO,161,0.0,53
CPS,72,0.0,113
CVM,218,0.0,359
DA,148,0.0,43
DB,48,0.0,28
DDN,141,0.0,309
DDR,103,0.0,183
DDRS,106,0.0,300
DDZD,104,0.0,300
DEI,205,0.0,276
DID,110,0.0,556
DL,118,0.0,33
DLD,43,0.0,33
DLN,165,0.0,67
DMN,2,78.0,0
DMNZ,7,0.0,54
DN,138,0.0,294
DR,107,0.0,556
DRH,32,0.0,296
DRON,74,36.87096774193548,153
DRP,212,0.0,290
DT,73,0.0,133
DTC,121,0.0,576
DTCH,119,0.0,576
DTCP,74,0.0,234
DV,98,0.0,259
DVC,102,0.0,294
DVD,5,0.0,51
DVN,100,0.0,558
DVNK,52,18.32258064516129,114
DWE,218,0.0,276
DZ,250,0.0,131
DZW,249,0.0,131
EC,181,0.0,339
ED,74,0.0,277
EDC,72,0.0,276
EDN,223,0.0,343
EEM,257,0.0,130
EGH,217,0.0,358
EGHM,218,0.0,358
EHS,115,0.0,323
EHV,116,0.0,247
EKZ,66,0.0,351
EML,63,0.0,259
EMN,181,0.0,68
EMNZ,177,0.0,67
ES,154,0.0,361
ESK,150,0.0,361
EST,102,0.0,556
ETN,138,0.0,583
FN,218,0.0,276
FWD,215,0.0,276
GBG,154,0.0,53
GD,59,0.0,28
GDG,56,0.0,29
GDM,62,0.0,28
GDR,126,0.0,593
GERP,210,0.0,86
GK,231,0.0,101
GLN,197,0.0,341
GN,212,0.0,86
GND,97,0.0,92
GNN,216,0.0,101
GO,131,0.0,301
GP,122,0.0,309
GR,88,0.0,90
GS,191,0.0,188
GV,65,0.0,133
GVC,64,18.32258064516129,104
GVM,60,18.32258064516129,199
GVMW,66,0.0,148
GW,188,0.0,90
GZ,117,0.0,262
HAD,28,0.0,279
HB,208,0.0,372
HBZM,100,0.0,102
HD,67,0.0,262
HDB,148,0.0,40
HDE,88,0.0,259
HDG,211,0.0,276
HDR,86,0.0,380
HDRZ,85,0.0,380
HFD,25,53.774193548387096,104
HGL,146,0.0,342
HGLG,144,0.0,342
HGLO,148,0.0,361
HGV,154,0.0,33
HGZ,223,0.0,109
HIL,35,0.0,279
HK,31,0.0,318
HKS,58,0.0,335
HLG,227,0.0,277
HLGH,228,0.0,281
HLM,24,0.0,258
HLMS,23,0.0,279
HLO,39,0.0,285
HM,129,0.0,290
HMBH,130,0.0,294
HMBV,126,0.0,309
HMH,128,0.0,309
HMN,93,0.0,74
HN,48,0.0,279
HNK,49,0.0,335
HNO,118,0.0,33
HNP,243,0.0,279
HON,117,0.0,294
HOR,30,0.0,19
HR,172,0.0,90
HRL,212,0.0,341
HRLW,214,0.0,358
HRN,206,0.0,86
HRT,156,0.0,322
HT,84,0.0,174
HTN,44,0.0,124
HTNC,45,0.0,152
HTO,85,0.0,247
HVL,46,0.0,259
HVS,24,38.2258064516129,18
HVSM,23,38.2258064516129,51
HVSP,25,0.0,19
HWD,51,0.0,361
HWZB,16,0.0,279
HZE,127,0.0,315
IJT,226,0.0,277
KBD,173,0.0,188
KBK,92,0.0,295
KLP,70,0.0,60
KMA,23,0.0,292
KMR,220,0.0,358
KMW,248,0.0,284
KPN,121,0.0,33
KPNZ,91,36.87096774193548,154
KRD,220,0.0,369
KRG,180,0.0,188
KTR,86,0.0,71
KW,220,0.0,107
KZ,17,0.0,282
LAA,63,18.32258064516129,232
LC,118,0.0,294
LDL,50,0.0,114
LDM,76,0.0,72
LEDN,49,38.32258064516129,104
LG,215,0.0,358
LLS,49,39.774193548387096,139
LLZM,72,0.0,113
LP,238,0.0,113
LTN,66,0.0,276
LTV,136,0.0,296
LUT,197,0.0,341
LW,201,0.0,259
LWC,204,0.0,276
MAS,29,0.0,28
MDB,210,0.0,215
MES,220,0.0,343
MG,211,0.0,276
MMLH,120,0.0,320
MP,134,0.0,33
MRB,140,0.0,40
MRN,56,0.0,60
MT,214,0.0,341
MTH,221,0.0,109
MTN,217,0.0,343
MTR,215,0.0,343
MZ,137,0.0,320
NDB,18,38.2258064516129,7
NH,205,0.0,372
NKK,51,0.0,259
NM,110,0.0,299
NMD,115,0.0,320
NMGO,113,0.0,320
NMH,113,0.0,320
NML,109,0.0,570
NS,79,0.0,259
NSCH,256,0.0,116
NVD,138,0.0,42
NVP,30,33.38709677419355,104
NWK,68,0.0,113
O,103,0.0,247
OBD,57,0.0,279
ODB,134,0.0,305
ODZ,157,0.0,361
OMN,129,0.0,40
OP,90,0.0,74
OST,108,0.0,325
OT,105,0.0,290
OTB,87,0.0,299
OVN,26,0.0,295
OW,102,0.0,247
PMO,30,0.0,258
PMR,29,0.0,279
PMW,28,0.0,282
PT,58,0.0,259
RAI,8,0.0,54
RAT,124,0.0,33
RB,170,0.0,305
RD,250,0.0,117
RH,101,0.0,557
RHN,79,0.0,63
RL,123,0.0,296
RLB,90,0.0,183
RM,168,0.0,290
RS,91,0.0,247
RSD,141,0.0,183
RSN,124,0.0,294
RSW,68,0.0,133
RTA,73,0.0,113
RTB,84,0.0,183
RTD,83,0.0,113
RTN,78,0.0,115
RTST,88,0.0,183
RTZ,87,0.0,183
RV,179,0.0,339
RVS,111,0.0,268
SBK,200,0.0,371
SD,35,0.0,33
SDA,239,0.0,107
SDM,83,0.0,234
SDT,101,0.0,102
SDTB,104,0.0,103
SGL,224,0.0,357
SGN,65,0.0,371
SHL,20,53.774193548387096,54
SK,223,0.0,276
SKND,222,0.0,276
SM,173,0.0,339
SN,202,0.0,372
SOG,222,0.0,358
SPTN,31,0.0,295
SPTZ,29,0.0,295
SRN,186,0.0,368
SSH,41,33.38709677419355,104
ST,36,0.0,33
STD,193,0.0,339
STM,234,0.0,113
STV,252,0.0,284
STZ,37,0.0,33
SWD,223,0.0,101
SWK,148,0.0,83
TB,106,0.0,247
TBG,127,0.0,593
TBR,111,0.0,260
TBU,107,0.0,260
TG,173,0.0,248
TL,74,0.0,71
TPSW,72,0.0,71
TWL,93,0.0,294
UHM,247,0.0,117
UHZ,244,0.0,117
UST,239,0.0,116
UT,36,0.0,51
UTG,28,0.0,317
UTLN,40,0.0,124
UTLR,39,0.0,124
UTO,39,0.0,19
UTT,41,0.0,124
UTVR,37,0.0,124
UTZL,34,0.0,31
VB,67,0.0,133
VD,113,0.0,294
VDL,216,0.0,358
VDM,239,0.0,114
VEM,97,0.0,296
VG,88,0.0,247
VH,45,0.0,279
VHP,146,0.0,43
VK,225,0.0,358
VL,168,0.0,247
VLB,142,0.0,362
VNDC,71,0.0,62
VNDW,70,0.0,62
VP,97,0.0,557
VRY,149,0.0,363
VS,216,0.0,215
VSS,215,0.0,188
VST,54,18.32258064516129,199
VSV,134,0.0,593
VTN,43,0.0,129
VZ,143,0.0,395
WAD,67,0.0,113
WADN,68,0.0,113
WADT,66,0.0,113
WC,118,0.0,271
WD,43,0.0,28
WDN,132,0.0,301
WF,83,0.0,299
WFM,236,0.0,116
WH,115,0.0,335
WK,239,0.0,279
WL,116,0.0,576
WM,21,0.0,282
WP,9,78.0,1
WR,266,0.0,125
WS,244,0.0,116
WSM,228,0.0,102
WT,144,0.0,290
WTV,96,0.0,558
WV,161,0.0,33
WW,146,0.0,308
WWW,145,0.0,308
WZ,97,0.0,272
YPB,71,0.0,136
ZA,96,0.0,74
ZB,231,0.0,110
ZBM,71,0.0,71
ZD,15,0.0,279
ZDK,18,0.0,282
ZH,224,0.0,101
ZL,106,36.87096774193548,19
ZLSH,111,0.0,33
ZLW,118,0.0,300
ZP,101,0.0,294
ZTM,75,0.0,113
ZTMO,74,0.0,113
ZV,105,0.0,556
ZVB,126,0.0,305
ZVT,32,0.0,295
ZWD,101,0.0,288
ZZS,18,0.0,282
