Station Code,Distance from VS,Services from/to VS,Disruptions on path to VS
AC,204,0.0,221
AH,204,0.0,465
AHP,205,0.0,722
AHPR,207,0.0,722
AHZ,196,0.0,497
AKL,141,0.0,162
AKM,352,0.0,601
ALM,236,0.0,204
ALMB,242,0.0,335
ALMM,235,0.0,354
ALMO,244,0.0,335
ALMP,238,0.0,335
AMF,209,0.0,297
AMFS,212,0.0,537
AML,288,0.0,791
AMPO,233,0.0,354
AMR,235,0.0,268
AMRI,290,0.0,861
AMRN,236,0.0,343
ANA,265,0.0,354
APD,251,0.0,725
APDM,250,0.0,726
APDO,254,0.0,760
APG,415,0.0,631
APN,175,0.0,210
ARN,10,33.67741935483871,0
ASA,213,0.0,201
ASB,209,0.0,187
ASD,219,25.93548387096774,102
ASDL,212,0.0,152
ASDM,215,0.0,201
ASDZ,211,0.0,152
ASHD,208,0.0,348
ASN,353,0.0,551
ASS,215,25.93548387096774,152
ASSP,216,0.0,215
ATN,256,0.0,759
AVAT,215,0.0,543
BD,99,0.0,32
BDE,249,0.0,468
BDG,183,0.0,291
BDM,396,0.0,620
BDPB,104,0.0,355
BET,147,0.0,411
BF,400,0.0,620
BGN,62,54.64516129032258,39
BHDV,130,0.0,160
BHV,197,0.0,297
BK,242,0.0,469
BKF,269,0.0,237
BKG,268,0.0,233
BKL,192,0.0,188
BL,337,0.0,551
BLL,203,0.0,228
BMN,226,0.0,725
BMR,210,0.0,497
BN,283,0.0,792
BNC,228,0.0,538
BNK,194,0.0,305
BNN,225,0.0,537
BNZ,230,0.0,554
BP,394,0.0,554
BR,207,0.0,449
BRD,122,0.0,149
BRN,212,0.0,321
BSD,155,0.0,180
BSK,169,0.0,187
BSKS,168,0.0,187
BSMZ,211,0.0,298
BTL,137,0.0,368
BV,213,0.0,230
BZL,30,33.54838709677419,27
CAS,223,0.0,265
CK,200,0.0,494
CL,170,0.0,224
CO,328,0.0,878
CPS,144,0.0,104
CVM,259,0.0,486
DA,299,0.0,861
DB,198,0.0,349
DDN,273,0.0,740
DDR,113,32.29032258064516,32
DDRS,116,0.0,149
DDZD,112,0.064516129032258,32
DEI,374,0.0,554
DID,223,0.0,722
DL,287,0.0,551
DLD,200,0.0,317
DLN,332,0.0,892
DMN,218,0.0,215
DMNZ,213,0.0,204
DN,179,0.0,421
DR,220,0.0,722
DRH,208,0.0,229
DRON,285,0.0,349
DRP,381,0.0,568
DT,147,31.580645161290324,102
DTC,234,0.0,742
