Station Code,Distance from HAD,Services from/to HAD,Disruptions on path to HAD
AC,38,0.0,309
AH,119,0.0,576
AHP,120,0.0,833
AHPR,122,0.0,835
AHZ,127,0.0,833
AKL,109,0.0,493
AKM,211,0.0,447
ALM,53,0.0,295
ALMB,59,0.0,426
ALMM,52,0.0,316
ALMO,61,0.0,426
ALMP,55,0.0,426
AMF,68,0.0,296
AMFS,71,0.0,536
AML,165,0.0,602
AMPO,50,0.0,316
AMR,39,0.0,79
AMRI,167,0.0,672
AMRN,40,0.0,154
ANA,69,0.0,165
APD,111,0.0,536
APDM,112,0.0,571
APDO,114,0.0,571
APG,274,0.0,525
APN,40,0.0,17
ARN,186,17.677419354838708,232
ASA,29,0.0,295
ASB,33,0.032258064516129,295
ASD,23,38.12903225806452,37
ASDL,22,0.0,58
ASDM,27,0.0,295
ASDZ,35,0.0,295
ASHD,34,0.0,309
ASN,212,0.0,445
ASS,19,41.774193548387096,37
ASSP,28,0.0,309
ATN,171,0.0,870
AVAT,74,0.0,542
BD,113,0.0,196
BDE,234,0.0,555
BDG,48,0.0,98
BDM,255,0.0,514
BDPB,108,0.0,318
BET,132,0.0,484
BF,259,0.0,514
BGN,134,27.483870967741936,201
BHDV,100,0.0,326
BHV,71,0.0,368
BK,227,0.0,555
BKF,73,0.0,122
BKG,72,0.0,118
BKL,60,0.0,312
BL,196,0.0,445
BLL,7,0.8064516129032258,37
BMN,136,0.0,571
BMR,163,0.0,868
BN,174,0.0,672
BNC,87,0.0,537
BNK,70,0.0,368
BNN,84,0.0,536
BNZ,89,0.0,553
BP,253,0.0,457
BR,192,0.0,535
BRD,74,0.0,211
BRN,59,0.0,296
BSD,95,0.0,492
BSK,46,0.0,98
BSKS,47,0.0,121
BSMZ,47,0.0,327
BTL,122,0.0,441
BV,17,0.0,57
BZL,166,17.677419354838708,232
CAS,27,0.0,76
CK,153,0.0,865
CL,80,0.0,396
CO,189,0.0,474
CPS,71,0.0,206
CVM,244,0.0,572
DA,176,0.0,672
DB,74,0.0,368
DDN,169,0.0,586
DDR,83,28.580645161290324,196
DDRS,86,0.0,313
DDZD,84,0.0,313
DEI,233,0.0,457
DID,138,0.0,833
DL,146,0.0,454
DLD,71,0.0,310
DLN,193,0.0,488
DMN,30,0.0,309
DMNZ,33,0.0,335
DN,164,0.0,507
DR,135,0.0,833
DRH,12,0.0,56
DRON,102,0.0,440
DRP,240,0.0,471
DT,49,30.0,25
DTC,149,0.0,853
DTCH,147,0.0,853
DTCP,50,0.0,126
DV,126,0.0,536
DVC,130,0.0,602
DVD,31,0.0,332
DVN,128,0.0,835
DVNK,28,18.32258064516129,10
DWE,246,0.0,457
DZ,278,0.0,543
DZW,277,0.0,543
EC,207,0.0,552
ED,102,0.0,554
EDC,100,0.0,553
EDN,249,0.0,556
EEM,285,0.0,542
EGH,243,0.0,571
EGHM,244,0.0,571
EHS,141,0.0,560
EHV,142,0.0,441
EKZ,76,0.0,130
EML,91,0.0,539
EMN,209,0.0,489
EMNZ,205,0.0,488
ES,182,0.0,638
ESK,178,0.0,638
EST,130,0.0,833
ETN,124,0.0,519
FN,246,0.0,457
FWD,243,0.0,457
GBG,182,0.0,474
GD,58,0.0,121
GDG,61,0.0,206
GDM,88,0.0,449
GDR,154,0.0,870
GERP,238,0.0,498
GK,259,0.0,513
GLN,223,0.0,554
GN,240,0.0,498
GND,97,0.0,316
GNN,244,0.0,513
GO,159,0.0,578
GP,148,0.0,503
GR,106,0.0,326
GS,171,26.83870967741936,232
GV,41,30.032258064516128,10
GVC,40,26.70967741935484,10
GVM,36,18.32258064516129,95
GVMW,42,0.0,25
GW,216,0.0,447
GZ,123,0.0,519
HAD,0,0.0,0
HB,234,0.0,585
HBZM,94,0.0,316
HD,95,0.0,539
HDB,176,0.0,458
HDE,116,0.0,536
HDG,239,0.0,457
HDR,81,0.0,174
HDRZ,80,0.0,174
HFD,39,0.0,108
HGL,174,0.0,619
HGLG,172,0.0,619
HGLO,176,0.0,638
HGV,182,0.0,440
HGZ,251,0.0,527
HIL,7,52.45161290322581,0
HK,20,0.0,75
HKS,68,0.0,114
HLG,255,0.0,458
HLGH,256,0.0,462
HLM,4,91.64516129032258,0
HLMS,5,1.903225806451613,37
HLO,34,0.0,79
HM,155,0.0,503
HMBH,156,0.0,507
HMBV,152,0.0,503
HMH,154,0.0,503
HMN,119,0.0,495
HN,58,0.0,58
HNK,59,0.0,114
HNO,146,0.0,451
HNP,271,0.0,460
HON,145,0.0,602
HOR,58,0.0,296
HR,200,0.0,440
HRL,238,0.0,554
HRLW,240,0.0,571
HRN,234,0.0,504
HRT,182,0.0,535
HT,110,0.0,368
HTN,70,0.0,368
HTNC,71,0.0,396
HTO,111,0.0,441
HVL,74,0.0,536
HVS,52,0.0,295
HVSM,51,0.0,360
HVSP,53,0.0,296
HWD,46,0.0,155
HWZB,12,3.741935483870968,37
HZE,153,0.0,509
IJT,254,0.0,458
KBD,153,17.677419354838708,232
KBK,120,0.0,572
KLP,96,0.0,368
KMA,28,0.0,76
KMR,246,0.0,571
KMW,276,0.0,465
KPN,149,0.0,451
KPNZ,119,0.0,441
KRD,246,0.0,582
KRG,160,17.741935483870968,232
KTR,112,0.0,492
KW,248,0.0,525
KZ,27,0.0,61
LAA,39,48.193548387096776,10
LC,146,0.0,571
LDL,26,0.0,10
LDM,102,0.0,493
LEDN,25,90.80645161290325,0
LG,241,0.0,571
LLS,77,0.0,426
LLZM,55,0.0,42
LP,266,0.0,531
LTN,94,0.0,553
LTV,164,0.0,573
LUT,223,0.0,554
LW,229,0.0,440
LWC,232,0.0,457
MAS,55,0.0,309
MDB,190,26.83870967741936,232
MES,246,0.0,556
MG,239,0.0,457
MMLH,148,0.0,854
MP,162,0.0,451
MRB,168,0.0,458
MRN,82,0.0,400
MT,240,0.0,554
MTH,249,0.0,527
MTN,243,0.0,556
MTR,241,0.0,556
MZ,163,0.0,514
NDB,46,0.0,316
NH,231,0.0,585
NKK,79,0.0,536
NM,138,0.0,833
NMD,143,0.0,854
NMGO,141,0.0,854
NMH,141,0.0,854
NML,137,0.0,847
NS,107,0.0,536
NSCH,284,0.0,534
NVD,166,0.0,451
NVP,44,0.0,10
NWK,67,0.0,206
O,129,0.0,441
OBD,52,0.0,165
ODB,114,0.032258064516129,318
ODZ,185,0.0,638
OMN,157,0.0,458
OP,116,0.0,495
OST,136,0.0,602
OT,131,0.0,484
OTB,115,0.0,576
OVN,6,0.935483870967742,37
OW,128,0.0,444
PMO,40,0.0,59
PMR,39,0.0,58
PMW,38,0.0,61
PT,86,0.0,539
RAI,34,0.0,335
RAT,152,0.0,451
RB,150,17.677419354838708,232
RD,278,0.0,535
RH,129,0.0,836
RHN,105,0.0,403
RL,151,0.0,573
RLB,70,0.0,205
RM,194,0.0,503
RS,117,0.0,444
RSD,121,28.161290322580644,196
RSN,152,0.0,602
RSW,44,0.0,25
RTA,72,0.0,206
RTB,64,28.580645161290324,196
RTD,63,30.0,126
RTN,68,0.0,196
RTST,68,0.0,205
RTZ,67,0.0,205
RV,205,0.0,552
RVS,137,0.0,462
SBK,226,0.0,584
SD,63,0.0,310
SDA,267,0.0,525
SDM,59,29.870967741935484,126
SDT,93,0.0,315
SDTB,90,0.0,315
SGL,250,0.0,570
SGN,60,0.0,165
SHL,34,0.0,58
SK,251,0.0,457
SKND,250,0.0,457
SM,199,0.0,552
SN,228,0.0,585
SOG,248,0.0,571
SPTN,11,0.0,55
SPTZ,9,0.0,55
SRN,212,0.0,581
SSH,33,0.0,10
ST,64,0.0,310
STD,219,0.0,552
STM,262,0.0,531
STV,280,0.0,465
STZ,65,0.0,310
SWD,251,0.0,519
SWK,176,0.0,501
TB,132,0.0,441
TBG,155,0.0,870
TBR,129,0.0,538
TBU,133,0.0,454
TG,199,0.0,588
TL,100,0.0,492
TPSW,98,0.0,492
TWL,121,0.0,571
UHM,275,0.0,535
UHZ,272,0.0,535
UST,267,0.0,534
UT,62,0.0967741935483871,295
UTG,23,0.0,75
UTLN,66,0.0,368
UTLR,65,0.0,368
UTO,65,0.0,368
UTT,67,0.0,368
UTVR,63,0.0,368
UTZL,60,0.0,312
VB,43,0.0,39
VD,141,0.0,571
VDL,242,0.0,571
VDM,267,0.0,532
VEM,125,0.0,573
VG,114,0.0,441
VH,17,52.45161290322581,3
VHP,174,0.0,461
VK,251,0.0,571
VL,194,0.0,587
VLB,170,0.0,896
VNDC,97,0.0,402
VNDW,96,0.0,402
VP,125,0.0,836
VRY,177,0.0,897
VS,196,26.83870967741936,234
VSS,195,17.677419354838708,234
VST,30,18.32258064516129,95
VSV,162,0.0,870
VTN,68,0.0,108
VZ,171,0.0,672
WAD,50,0.0,121
WADN,49,0.0,121
WADT,51,0.0,121
WC,144,0.0,465
WD,59,0.0,107
WDN,160,0.0,609
WF,111,0.0,576
WFM,264,0.0,534
WH,143,0.0,612
WK,267,0.0,460
WL,144,0.0,853
WM,30,0.0,101
WP,37,0.0,310
WR,294,0.0,543
WS,272,0.0,534
WSM,256,0.0,520
WT,170,0.0,503
WTV,124,0.0,835
WV,189,0.0,440
WW,174,0.0,585
WWW,173,0.0,585
WZ,125,0.0,549
YPB,47,0.0,42
ZA,122,0.0,495
ZB,259,0.0,528
ZBM,97,0.0,492
ZD,25,0.0,58
ZDK,28,0.0,61
ZH,252,0.0,519
ZL,134,0.0,437
ZLSH,139,0.0,451
ZLW,98,0.064516129032258,313
ZP,129,0.0,571
ZTM,52,0.0,39
ZTMO,53,0.0,42
ZV,133,0.0,833
ZVB,106,0.032258064516129,318
ZVT,12,0.9032258064516128,38
ZWD,81,0.0,310
ZZS,28,0.0,61
