Station Code,Distance from DN,Services from/to DN,Disruptions on path to DN
OP,104,0.0,166
OST,162,0.0,442
OT,51,0.0,47
OTB,111,0.0,373
OVN,162,0.0,488
OW,72,0.935483870967742,120
PMO,166,0.0,451
PMR,165,0.0,472
PMW,164,0.0,475
PT,141,0.0,433
RAI,136,0.0,196
RAT,201,0.0,466
RB,133,0.0,425
RD,327,0.0,550
RH,117,0.0,374
RHN,143,0.0,323
RL,158,0.0,378
RLB,123,0.0,605
RM,53,0.0,34
RS,61,0.935483870967742,120
RSD,104,0.0,389
RSN,178,0.0,376
RSW,149,0.0,607
RTA,140,0.0,459
RTB,129,1.4516129032258065,506
RTD,130,1.4516129032258065,389
RTN,135,0.0,459
RTST,125,0.0,506
RTZ,126,0.0,389
RV,42,0.0,20
RVS,81,0.0,141
SBK,85,0.0,115
SD,122,0.0,217
SDA,316,0.0,540
SDM,134,1.4516129032258065,459
SDT,115,0.0,194
SDTB,117,0.0,506
SGL,109,0.0,101
SGN,201,0.0,564
SHL,148,43.54838709677419,207
SK,300,0.0,483
SKND,299,0.0,483
SM,48,0.0,34
SN,87,0.0,116
SOG,107,0.0,102
SPTN,167,0.0,488
SPTZ,165,0.0,488
SRN,71,0.0,112
SSH,160,0.0,301
ST,121,0.0,217
STD,78,0.0,83
STM,311,0.0,546
STV,329,0.0,491
STZ,120,0.0,217
SWD,300,0.0,534
SWK,225,0.0,516
TB,59,0.0,47
TBG,143,0.0,410
TBR,64,0.0,60
TBU,60,0.0,60
TG,35,0.0,1
TL,88,0.0,163
TPSW,86,0.0,163
TWL,157,0.0,442
UHM,324,0.0,550
UHZ,321,0.0,550
UST,316,0.0,549
UT,102,43.61290322580645,120
UTG,164,0.0,510
UTLN,98,0.0,244
UTLR,105,0.0,193
UTO,105,0.0,193
UTT,107,0.0,193
UTVR,101,0.0,244
UTZL,104,0.0,193
VB,156,0.0,651
VD,148,0.0,376
VDL,101,0.0,102
VDM,316,0.0,547
VEM,140,0.0,376
VG,50,27.870967741935484,47
VH,160,0.0,301
VHP,204,0.0,513
VK,110,0.0,102
VL,30,36.41935483870968,0
VLB,56,0.0,52
VNDC,135,0.0,322
VNDW,134,0.0,322
VP,113,0.0,374
VRY,49,0.0,52
VS,179,0.0,421
VSS,178,0.0,394
VST,157,0.0,386
VSV,150,0.0,410
VTN,109,0.0,198
VZ,197,0.0,512
WAD,142,0.0,278
WADN,143,0.0,278
WADT,141,0.0,278
WC,88,0.0,144
WD,118,0.0,193
WDN,186,0.0,383
WF,115,0.0,116
WFM,313,0.0,549
WH,169,0.0,452
WK,316,0.0,486
WL,132,0.0,393
WM,157,0.0,475
WP,135,0.0,205
WR,343,0.0,558
WS,321,0.0,549
WSM,305,0.0,535
WT,50,0.0,66
WTV,112,0.0,375
WV,238,0.0,466
WW,171,0.0,429
WWW,172,0.0,429
WZ,180,0.0,446
YPB,155,0.0,196
ZA,107,0.0,130
ZB,308,0.0,543
ZBM,67,0.0,120
ZD,151,0.0,472
ZDK,154,0.0,475
ZH,301,0.0,534
ZL,183,0.0,452
ZLSH,188,0.0,466
ZLW,95,0.0,407
ZP,136,0.0,376
ZTM,150,0.0,193
ZTMO,149,0.0,278
ZV,121,0.0,373
ZVB,103,0.0,412
ZVT,168,0.0,488
ZWD,112,0.0,506
ZZS,154,0.0,475
