Station Code,Distance from LAA,Services from/to LAA,Disruptions on path to LAA
NMD,143,0.0,383
NMGO,141,0.0,383
NMH,141,0.0,383
NML,137,0.0,376
NS,121,0.0,345
NSCH,298,0.0,442
NVD,180,0.0,368
NVP,33,43.193548387096776,10
NWK,38,0.0,114
O,128,0.0,178
OBD,91,0.0,136
ODB,75,0.032258064516129,238
ODZ,199,0.0,447
OMN,171,0.0,366
OP,115,0.0,151
OST,150,0.0,411
OT,103,0.0,522
OTB,115,0.0,127
OVN,45,0.0,10
OW,127,0.0,178
PMO,79,18.483870967741936,31
PMR,78,18.483870967741936,31
PMW,77,18.483870967741936,34
PT,100,0.0,345
RAI,55,3.419354838709677,134
RAT,166,0.0,359
RB,111,19.70967741935484,238
RD,292,0.0,30
RH,129,0.0,363
RHN,104,0.0,140
RL,165,0.0,382
RLB,31,0.0,186
RM,184,0.0,571
RS,116,0.0,178
RSD,82,35.32258064516129,186
RSN,166,0.0,380
RSW,5,0.0,15
RTA,34,0.0,186
RTB,25,54.54838709677419,186
RTD,24,57.25806451612903,116
RTN,29,0.0,186
RTST,29,0.0,186
RTZ,28,0.0,186
RV,195,0.0,620
RVS,136,0.0,199
SBK,162,0.0,32
SD,81,0.0,129
SDA,281,0.0,433
SDM,20,57.25806451612903,116
SDT,54,0.0,233
SDTB,51,0.0,233
SGL,166,0.0,32
SGN,99,0.0,136
SHL,43,78.0,10
SK,265,0.0,362
SKND,264,0.0,362
SM,189,0.0,620
SN,160,0.0,32
SOG,160,0.0,32
SPTN,50,0.0,10
SPTZ,48,0.0,10
SRN,176,0.0,34
SSH,22,43.16129032258065,10
ST,80,0.0,129
STD,169,0.0,32
STM,276,0.0,41
STV,294,0.0,370
STZ,79,0.0,129
SWD,265,0.0,29
SWK,190,1.032258064516129,409
TB,95,0.0,509
TBG,155,0.0,399
TBR,90,0.0,528
TBU,94,0.0,530
TG,189,0.0,572
TL,99,0.0,148
TPSW,97,0.0,148
TWL,135,0.0,380
UHM,289,0.0,30
UHZ,286,0.0,30
UST,281,0.0,29
UT,61,1.064516129032258,32
UTG,62,0.0,30
UTLN,65,0.0,105
UTLR,58,0.0,129
UTO,64,0.0,105
UTT,56,0.0,124
UTVR,62,0.0,105
UTZL,63,0.0,105
VB,4,0.0,29
VD,155,0.0,380
VDL,154,0.0,32
VDM,281,0.0,440
VEM,139,0.0,382
VG,113,0.0,178
VH,22,17.612903225806452,10
VHP,188,0.0,369
VK,163,0.0,32
VL,184,0.6774193548387096,571
VLB,170,0.0,425
VNDC,96,0.0,139
VNDW,95,0.0,139
VP,125,0.0,363
VRY,177,0.0,426
VS,157,30.35483870967742,218
VSS,156,19.70967741935484,191
VST,9,61.25806451612903,3
VSV,162,0.0,399
VTN,54,0.0,115
VZ,185,0.0,481
WAD,37,0.0,114
WADN,38,0.0,121
WADT,36,0.0,114
WC,143,0.0,202
WD,45,0.0,114
WDN,174,0.0,387
WF,111,0.0,127
WFM,278,0.0,29
WH,157,0.0,421
WK,281,0.0,365
WL,144,0.0,382
WM,69,0.0,56
WP,67,23.161290322580644,72
WR,308,0.0,451
WS,286,0.0,442
WSM,270,0.0,29
WT,160,0.0,571
WTV,124,0.0,364
WV,203,0.032258064516129,359
WW,183,0.0,418
WWW,184,0.0,418
WZ,139,0.0,358
YPB,8,0.0,32
ZA,121,0.0,151
ZB,273,0.0,436
ZBM,96,0.0,148
ZD,64,18.483870967741936,31
ZDK,67,18.483870967741936,34
ZH,266,0.0,427
ZL,148,20.41935483870968,345
ZLSH,153,0.0,359
ZLW,59,0.0967741935483871,233
ZP,143,0.0,380
ZTM,13,0.0,29
ZTMO,14,0.0,29
ZV,133,0.0,362
ZVB,67,0.032258064516129,238
ZVT,51,0.0,10
ZWD,42,0.0,291
ZZS,67,0.0,34
