Station Code,Distance from SN,Services from/to SN,Disruptions on path to SN
AC,190,0.0,231
AH,138,0.0,232
AHP,139,0.0,489
AHPR,141,0.0,489
AHZ,130,0.0,246
AKL,161,0.0,242
AKM,291,0.0,632
ALM,215,0.0,284
ALMB,221,0.0,415
ALMM,214,0.0,283
ALMO,223,0.0,415
ALMP,217,0.0,415
AMF,187,0.0,271
AMFS,190,0.0,511
AML,222,0.0,558
AMPO,212,0.0,283
AMR,238,0.0,82
AMRI,224,0.0,628
AMRN,239,0.0,157
ANA,268,0.0,168
APD,185,0.0,492
APDM,184,0.0,493
APDO,188,0.0,527
APG,354,0.0,662
APN,189,0.0,49
ARN,233,0.0,472
ASA,199,0.0,271
ASB,195,0.0,271
ASD,205,0.0,271
ASDL,212,0.0,529
ASDM,201,0.0,308
ASDZ,201,0.0,285
ASHD,194,0.0,358
ASN,292,0.0,582
ASS,209,0.0,529
ASSP,202,0.0,322
ATN,190,0.0,526
AVAT,193,0.0,517
BD,144,0.0,144
BDE,24,0.0,33
BDG,193,0.0,272
BDM,335,0.0,651
BDPB,149,0.0,467
BET,96,0.0,144
BF,339,0.0,651
BGN,181,0.0,472
BHDV,172,0.0,262
BHV,175,0.0,271
BK,17,0.0,34
BKF,263,0.0,614
BKG,262,0.0,610
BKL,178,0.0,198
BL,276,0.0,582
BLL,206,0.0,42
BMN,160,0.0,492
BMR,94,0.0,169
BN,217,0.0,559
BNC,170,0.0,255
BNK,172,0.0,322
BNN,173,0.0,271
BNZ,168,0.0,255
BP,333,0.0,599
BR,59,0.0,116
BRD,183,0.0,584
BRN,190,0.0,295
BSD,147,0.0,241
BSK,195,0.0,130
BSKS,196,0.0,153
BSMZ,189,0.0,272
BTL,106,0.0,82
BV,216,0.0,44
BZL,213,0.0,503
CAS,226,0.0,79
CK,104,0.0,197
CL,148,0.0,241
CO,262,0.0,645
CPS,189,0.0,190
CVM,16,0.0,18
DA,233,0.0,628
DB,176,0.0,366
DDN,207,0.0,507
DDR,174,0.0,467
DDRS,177,0.0,584
DDZD,173,0.0,490
DEI,313,0.0,599
DID,157,0.0,489
DL,226,0.0,582
DLD,178,0.0,291
DLN,266,0.0,659
DMN,204,0.0,322
DMNZ,199,0.0,274
DN,87,0.0,116
DR,154,0.0,489
DRH,211,0.0,43
DRON,246,0.0,582
DRP,320,0.0,613
DT,164,0.0,17
DTC,168,0.0,509
DTCH,166,0.0,509
DTCP,165,0.0,118
DV,183,0.0,492
DVC,187,0.0,558
DVD,197,0.0,271
DVN,147,0.0,491
DVNK,171,0.0,35
DWE,326,0.0,599
DZ,358,0.0,680
DZW,357,0.0,680
EC,21,0.0,35
ED,155,0.0,232
EDC,157,0.0,254
EDN,39,0.0,35
EEM,365,0.0,679
EGH,15,0.0,17
EGHM,16,0.0,17
EHS,87,0.0,144
EHV,86,0.0,82
EKZ,266,0.0,622
EML,210,0.0,511
EMN,282,0.0,660
EMNZ,278,0.0,659
ES,220,0.0,559
ESK,216,0.0,559
EST,127,0.0,232
ETN,155,0.0,467
FN,326,0.0,599
FWD,323,0.0,599
GBG,255,0.0,645
GD,187,0.0,32
GDG,190,0.0,117
GDM,140,0.0,198
GDR,173,0.0,526
GERP,318,0.0,635
GK,339,0.0,650
GLN,5,26.64516129032258,1
GN,320,0.0,635
GND,175,0.0,262
GNN,324,0.0,650
GO,197,0.0,499
GP,80,0.0,89
GR,166,0.0,260
GS,218,0.0,472
GV,158,0.0,17
GVC,159,0.0,32
GVM,163,0.0,32
GVMW,157,0.0,17
GW,296,0.0,639
GZ,134,0.0,140
HAD,199,0.0,42
HB,6,26.61290322580645,0
HBZM,178,0.0,272
HD,214,0.0,514
HDB,249,0.0,632
HDE,232,0.0,582
HDG,319,0.0,599
HDR,280,0.0,177
HDRZ,279,0.0,177
HFD,198,0.0,32
HGL,212,0.0,540
HGLG,210,0.0,540
HGLO,214,0.0,559
HGV,262,0.0,582
HGZ,331,0.0,658
HIL,192,0.0,42
HK,219,0.0,62
HKS,258,0.0,606
HLG,335,0.0,600
HLGH,336,0.0,604
HLM,203,0.0,42
HLMS,204,0.0,42
HLO,233,0.0,62
HM,96,0.0,144
HMBH,95,0.0,144
HMBV,96,0.0,144
HMH,97,0.0,148
HMN,141,0.0,246
HN,248,0.0,550
HNK,249,0.0,606
HNO,226,0.0,582
HNP,351,0.0,602
HON,202,0.0,492
HOR,178,0.0,271
HR,280,0.0,639
HRL,10,26.61290322580645,0
HRLW,12,0.0,17
HRN,314,0.0,635
HRT,69,0.0,168
HT,118,0.0,125
HTN,158,0.0,294
HTNC,157,0.0,294
HTO,119,0.0,198
HVL,183,0.0,272
HVS,184,0.0,271
HVSM,185,0.0,272
HVSP,183,0.0,271
HWD,245,0.0,158
HWZB,211,0.0,42
HZE,75,0.0,84
IJT,334,0.0,600
KBD,200,0.0,472
KBK,176,0.0,492
KLP,162,0.0,254
KMA,223,0.0,563
KMR,18,0.0,17
KMW,356,0.0,607
KPN,229,0.0,582
KPNZ,229,0.0,582
KRD,18,0.0,28
KRG,207,0.0,472
KTR,148,0.0,246
KW,328,0.0,656
KZ,217,0.0,553
LAA,160,0.0,32
LC,184,0.0,492
LDL,175,0.0,42
LDM,154,0.0,242
LEDN,174,0.0,32
LG,13,0.0,17
LLS,239,0.0,415
LLZM,174,0.0,61
LP,346,0.0,662
LTN,163,0.0,255
LTV,202,0.0,494
LUT,13,0.0,33
LW,309,0.0,582
LWC,312,0.0,599
MAS,173,0.0,271
MDB,237,0.0,499
MES,30,0.0,17
MG,319,0.0,599
MMLH,109,0.0,200
MP,242,0.0,582
MRB,241,0.0,629
MRN,184,0.0,398
MT,30,0.0,33
MTH,329,0.0,658
MTN,33,0.0,35
MTR,31,0.0,35
MZ,65,0.0,82
NDB,190,0.0,272
NH,3,26.61290322580645,0
NKK,198,0.0,511
NM,119,0.0,211
NMD,124,0.0,232
NMGO,122,0.0,232
NMH,116,0.0,211
NML,120,0.0,232
NS,226,0.0,511
