Station Code,Distance from LC,Services from/to LC,Disruptions on path to LC
AC,123,0.0,384
AH,46,0.0,3
AHP,45,0.0,7
AHPR,43,0.0,6
AHZ,54,0.0,260
AKL,123,0.0,321
AKM,141,0.0,140
ALM,125,0.0,288
ALMB,131,0.0,419
ALMM,124,0.0,287
ALMO,133,0.0,419
ALMP,127,0.0,419
AMF,78,0.0,35
AMFS,81,0.0,275
AML,42,0.0,60
AMPO,122,0.0,287
AMR,162,0.0,561
AMRI,40,0.0,61
AMRN,163,0.0,636
ANA,192,0.0,647
APD,35,0.0,0
APDM,34,0.0,1
APDO,38,0.0,35
APG,204,0.0,170
APN,134,0.0,285
ARN,240,0.0,747
ASA,120,0.0,279
ASB,120,0.0,279
ASD,123,0.0,276
ASDL,130,0.0,555
ASDM,119,0.0,294
ASDZ,122,0.0,279
ASHD,121,0.0,293
ASN,142,0.0,90
ASS,127,0.0,534
ASSP,118,0.0,294
ATN,74,0.0,14
AVAT,84,0.0,281
BD,151,0.0,388
BDE,190,0.0,462
BDG,126,0.0,276
BDM,185,0.0,159
BDPB,156,0.0,711
BET,130,0.0,418
BF,189,0.0,159
BGN,188,0.0,716
BHDV,134,0.0,341
BHV,90,0.0,279
BK,183,0.0,462
BKF,181,0.0,619
BKG,180,0.0,615
BKL,111,0.0,351
BL,126,0.0,95
BLL,145,0.0,571
BMN,24,0.0,0
BMR,90,0.0,295
BN,33,0.0,60
BNC,78,0.0,283
BNK,96,0.0,314
BNN,81,0.0,299
BNZ,76,0.0,283
BP,183,0.0,107
BR,125,0.0,324
BRD,160,0.0,471
BRN,87,0.0,275
BSD,109,0.0,320
BSK,140,0.0,366
BSKS,141,0.0,389
BSMZ,99,0.0,276
BTL,120,0.0,375
BV,152,0.0,594
BZL,220,0.0,747
CAS,150,0.0,558
CK,80,0.0,292
CL,110,0.0,320
CO,82,0.0,147
CPS,144,0.0,433
CVM,200,0.0,479
DA,53,0.0,130
DB,92,0.0,282
DDN,23,32.903225806451616,8
DDR,151,0.0,354
DDRS,148,0.0,352
DDZD,152,0.0,471
DEI,163,0.0,107
DID,63,0.0,12
DL,76,0.0,90
DLD,87,0.0,275
DLN,86,0.0,161
DMN,116,0.0,293
DMNZ,116,0.0,293
DN,153,0.0,376
DR,30,0.0,0
DRH,150,0.0,590
DRON,96,0.0,90
DRP,170,0.0,121
DT,168,0.0,448
DTC,74,0.0,32
DTCH,72,0.0,32
DTCP,168,0.0,503
DV,33,0.0,0
DVC,37,0.0,66
DVD,118,0.0,276
DVN,53,0.0,9
DVNK,152,0.0,383
DWE,176,0.0,107
DZ,208,0.0,188
DZW,207,0.0,188
EC,163,0.0,459
ED,63,0.0,260
EDC,65,0.0,282
EDN,205,0.0,463
EEM,215,0.0,187
EGH,199,0.0,478
EGHM,200,0.0,478
EHS,139,0.0,494
EHV,140,0.0,375
EKZ,184,0.0,627
EML,101,0.0,278
EMN,102,0.0,162
EMNZ,98,0.0,161
ES,36,0.0,60
ESK,32,0.0,60
EST,57,0.0,260
ETN,162,0.0,711
FN,176,0.0,107
FWD,173,0.0,107
GBG,75,0.0,147
GD,131,0.0,348
GDG,128,0.0,276
GDM,102,0.0,277
GDR,79,0.0,49
GERP,168,0.0,143
GK,189,0.0,158
GLN,179,0.0,461
GN,170,0.0,143
GND,137,0.0,341
GNN,174,0.0,158
GO,13,33.12903225806452,0
GP,146,0.0,437
GR,128,0.0,339
GS,225,0.0,747
GV,160,0.0,433
GVC,159,0.0,433
GVM,160,0.0,468
GVMW,161,0.0,448
GW,146,0.0,97
GZ,141,0.0,390
HAD,146,0.0,571
HB,190,0.0,492
HBZM,140,0.0,351
HD,103,0.0,90
HDB,69,0.0,134
HDE,82,0.0,90
HDG,169,0.0,107
HDR,204,0.0,656
HDRZ,203,0.0,656
HFD,138,0.0,403
HGL,28,32.903225806451616,41
HGLG,26,32.903225806451616,41
HGLO,30,32.83870967741935,60
HGV,112,0.0,90
HGZ,181,0.0,166
HIL,153,0.0,611
HK,149,0.0,594
HKS,176,0.0,611
HLG,185,0.0,108
HLGH,186,0.0,112
HLM,142,0.0,534
HLMS,141,0.0,555
HLO,157,0.0,561
HM,153,0.0,437
HMBH,154,0.0,441
HMBV,150,0.0,437
HMH,152,0.0,437
HMN,71,0.0,274
HN,166,0.0,555
HNK,167,0.0,611
HNO,75,0.0,142
HNP,201,0.0,110
HON,52,0.0,66
HOR,100,0.0,276
