Station Code,Distance from LG,Services from/to LG,Disruptions on path to LG
DDR,187,0.0,453
DDRS,190,0.0,570
DDZD,186,0.0,476
DEI,326,0.0,585
DID,170,0.0,475
DL,239,0.0,568
DLD,191,0.0,296
DLN,279,0.0,645
DMN,217,0.0,327
DMNZ,212,0.0,279
DN,100,0.0,154
DR,167,0.0,475
DRH,245,0.0,590
DRON,259,0.0,568
DRP,333,0.0,599
DT,221,0.0,523
DTC,181,0.0,495
DTCH,179,0.0,495
DTCP,220,0.0,523
DV,196,0.0,478
DVC,200,0.0,544
DVD,210,0.0,276
DVN,160,0.0,477
DVNK,232,0.0,384
DWE,339,0.0,585
DZ,371,0.0,666
DZW,370,0.0,666
EC,34,0.0,21
ED,168,0.0,475
EDC,170,0.0,497
EDN,38,0.0,19
EEM,378,0.0,665
EGH,2,37.54838709677419,0
EGHM,3,32.12903225806452,0
EHS,100,0.0,130
EHV,99,0.0,68
EKZ,279,0.0,627
EML,223,0.0,519
EMN,295,0.0,646
EMNZ,291,0.0,645
ES,233,0.0,545
ESK,229,0.0,545
EST,140,0.0,218
ETN,168,0.0,453
FN,339,0.0,585
FWD,336,0.0,585
GBG,268,0.0,631
GD,211,0.0,276
GDG,208,0.0,276
GDM,153,0.0,203
GDR,186,0.0,512
GERP,331,0.0,621
GK,352,0.0,636
GLN,18,0.0,18
GN,333,0.0,621
GND,188,0.0,267
GNN,337,0.0,636
GO,210,0.0,485
GP,93,0.0,75
GR,179,0.0,265
GS,231,0.0,489
GV,229,0.0,624
GVC,230,0.0,639
GVM,234,0.0,639
GVMW,228,0.0,624
GW,309,0.0,575
GZ,147,0.0,145
HAD,241,0.0,571
HB,7,0.0,17
HBZM,191,0.0,277
HD,227,0.0,519
HDB,262,0.0,618
HDE,245,0.0,568
HDG,332,0.0,585
HDR,299,0.0,656
HDRZ,298,0.0,656
HFD,230,0.0,340
HGL,225,0.0,526
HGLG,223,0.0,526
HGLO,227,0.0,545
HGV,275,0.0,568
HGZ,344,0.0,644
HIL,247,0.0,384
HK,244,0.0,594
HKS,271,0.0,611
HLG,0,0.0,0
HLGH,349,0.0,590
HLM,237,0.0,534
HLMS,236,0.0,555
HLO,252,0.0,561
HM,109,0.0,182
HMBH,108,0.0,182
HMBV,109,0.0,130
HMH,110,0.0,186
HMN,154,0.0,232
HN,261,0.0,555
HNK,262,0.0,611
HNO,239,0.0,568
HNP,364,0.0,588
HON,215,0.0,544
HOR,191,0.0,276
HR,293,0.0,568
HRL,3,69.96774193548387,0
HRLW,5,36.41935483870968,17
HRN,327,0.0,621
HRT,82,0.0,154
HT,131,0.0,130
HTN,171,0.0,299
HTNC,170,0.0,299
HTO,132,0.0,203
HVL,196,0.0,515
HVS,197,0.0,276
HVSM,198,0.0,277
HVSP,196,0.0,276
HWD,264,0.0,637
HWZB,229,0.0,555
HZE,88,0.0,70
IJT,347,0.0,586
KBD,213,0.0,489
KBK,189,0.0,478
KLP,175,0.0,497
KMA,236,0.0,568
KMR,11,36.41935483870968,17
KMW,369,0.0,593
KPN,242,0.0,568
KPNZ,242,0.0,568
KRD,5,37.54838709677419,11
KRG,220,0.0,489
KTR,161,0.0,232
KW,341,0.0,642
KZ,230,0.0,558
LAA,231,0.0,639
LC,197,0.0,478
LDL,228,0.0,367
LDM,167,0.0,247
LEDN,229,0.0,374
LG,0,0.0,0
LLS,252,0.0,420
LLZM,224,0.0,361
LP,359,0.0,648
LTN,176,0.0,498
LTV,215,0.0,480
LUT,26,0.0,19
LW,322,0.0,568
LWC,325,0.0,585
MAS,186,0.0,276
MDB,250,0.0,489
MES,23,36.41935483870968,17
MG,332,0.0,585
MMLH,122,0.0,186
MP,255,0.0,568
MRB,254,0.0,615
MRN,197,0.0,403
MT,29,36.41935483870968,17
MTH,342,0.0,644
MTN,26,36.41935483870968,31
MTR,30,36.41935483870968,19
MZ,78,0.0,68
NDB,203,0.0,277
NH,10,0.0,17
NKK,211,0.0,516
NM,132,0.0,197
NMD,137,0.0,218
NMGO,135,0.0,218
NMH,129,0.0,197
NML,133,0.0,218
NS,239,0.0,516
NSCH,377,0.0,651
NVD,238,0.0,551
NVP,235,0.0,468
NWK,220,0.0,361
O,150,0.0,203
OBD,270,0.0,647
ODB,188,0.0,458
ODZ,236,0.0,545
OMN,250,0.0,575
OP,157,0.0,232
OST,206,0.0,544
OT,128,0.0,249
OTB,155,0.0,475
OVN,239,0.0,571
OW,149,0.0,206
PMO,243,0.0,556
PMR,242,0.0,555
PMW,241,0.0,558
PT,218,0.0,519
RAI,213,0.0,279
RAT,245,0.0,568
RB,210,0.0,489
RD,371,0.0,652
RH,161,0.0,478
RHN,220,0.0,406
RL,202,0.0,480
RLB,200,0.0,669
RM,47,0.0,19
RS,138,0.0,206
RSD,181,0.0,453
RSN,222,0.0,544
RSW,226,0.0,624
RTA,217,0.0,523
RTB,206,0.0,570
RTD,207,0.0,453
RTN,212,0.0,523
RTST,202,0.0,675
RTZ,203,0.0,675
RV,58,0.0,68
RVS,148,0.0,218
SBK,15,0.0,17
SD,199,0.0,300
SDA,360,0.0,642
SDM,211,0.0,523
SDT,192,0.0,277
SDTB,194,0.0,572
SGL,19,36.41935483870968,17
SGN,278,0.0,647
SHL,225,0.0,290
SK,344,0.0,585
SKND,343,0.0,585
SM,52,0.0,68
SN,13,0.0,17
SOG,13,36.41935483870968,17
SPTN,244,0.0,589
SPTZ,242,0.0,589
SRN,29,0.0,19
SSH,237,0.0,384
ST,198,0.0,300
STD,22,0.0,17
STM,355,0.0,648
STV,373,0.0,593
STZ,197,0.0,300
SWD,344,0.0,636
SWK,269,0.0,618
TB,136,0.0,130
TBG,187,0.0,512
TBR,141,0.0,143
TBU,137,0.0,143
TG,65,0.0,82
TL,165,0.0,246
TPSW,163,0.0,246
TWL,201,0.0,544
UHM,368,0.0,652
UHZ,365,0.0,652
UST,360,0.0,651
UT,179,0.0,203
UTG,241,0.0,593
UTLN,175,0.0,327
UTLR,182,0.0,276
UTO,182,0.0,276
UTT,184,0.0,276
UTVR,178,0.0,327
UTZL,181,0.0,276
VB,233,0.0,668
VD,192,0.0,478
VDL,7,36.41935483870968,17
VDM,360,0.0,649
VEM,184,0.0,478
VG,127,0.0,249
VH,237,0.0,384
VHP,248,0.0,615
VK,16,36.41935483870968,17
VL,70,0.0,101
VLB,100,0.0,154
VNDC,212,0.0,405
VNDW,211,0.0,405
VP,157,0.0,478
VRY,93,0.0,154
VS,256,0.0,491
VSS,255,0.0,491
VST,234,0.0,469
VSV,194,0.0,512
VTN,186,0.0,281
VZ,241,0.0,614
WAD,219,0.0,361
WADN,220,0.0,361
WADT,218,0.0,361
WC,141,0.0,218
WD,195,0.0,276
WDN,230,0.0,551
WF,159,0.0,475
WFM,357,0.0,651
WH,213,0.0,554
WK,360,0.0,588
WL,176,0.0,495
WM,234,0.0,558
WP,212,0.0,288
WR,387,0.0,660
WS,365,0.0,651
WSM,349,0.0,637
WT,71,0.0,68
WTV,156,0.0,477
WV,282,0.0,568
WW,215,0.0,531
WWW,216,0.0,531
WZ,236,0.0,568
YPB,232,0.0,361
ZA,151,0.0,232
ZB,352,0.0,645
ZBM,144,0.0,203
ZD,228,0.0,555
ZDK,231,0.0,558
ZH,345,0.0,636
ZL,227,0.0,554
ZLSH,232,0.0,568
ZLW,172,0.0,471
ZP,180,0.0,478
ZTM,227,0.0,361
ZTMO,226,0.0,361
ZV,165,0.0,475
ZVB,180,0.0,476
ZVT,245,0.0,572
ZWD,189,0.0,570
ZZS,231,0.0,558
