Station Code,Distance from LG,Services from/to LG,Disruptions on path to LG
AC,203,0.0,312
AH,151,0.0,218
AHP,152,0.0,475
AHPR,154,0.0,477
AHZ,143,0.0,232
AKL,174,0.0,247
AKM,304,0.0,618
ALM,228,0.0,289
ALMB,234,0.0,420
ALMM,227,0.0,288
ALMO,236,0.0,420
ALMP,230,0.0,420
AMF,200,0.0,276
AMFS,203,0.0,516
AML,235,0.0,544
AMPO,225,0.0,288
AMR,257,0.0,561
AMRI,237,0.0,614
AMRN,258,0.0,636
ANA,287,0.0,647
APD,198,0.0,478
APDM,197,0.0,479
APDO,201,0.0,513
APG,367,0.0,648
APN,214,0.0,286
ARN,246,0.0,489
ASA,212,0.0,276
ASB,208,0.0,276
ASD,218,0.0,276
ASDL,225,0.0,555
ASDM,214,0.0,313
ASDZ,214,0.0,279
ASHD,209,0.0,290
ASN,305,0.0,568
ASS,222,0.0,534
ASSP,215,0.0,327
ATN,203,0.0,512
AVAT,206,0.0,522
BD,157,0.0,130
BDE,35,0.0,19
BDG,206,0.0,277
BDM,348,0.0,637
BDPB,162,0.0,453
BET,109,0.0,130
BF,352,0.0,637
BGN,194,0.0,458
BHDV,185,0.0,267
BHV,188,0.0,276
BK,30,0.0,20
BKF,276,0.0,619
BKG,275,0.0,615
BKL,191,0.0,279
BL,289,0.0,573
BLL,240,0.0,571
BMN,173,0.0,478
BMR,107,0.0,155
BN,230,0.0,545
BNC,183,0.0,498
BNK,185,0.0,327
BNN,186,0.0,514
BNZ,181,0.0,498
BP,346,0.0,585
BR,72,0.0,102
BRD,196,0.0,570
BRN,203,0.0,300
BSD,160,0.0,246
BSK,220,0.0,367
BSKS,221,0.0,390
BSMZ,202,0.0,277
BTL,119,0.0,206
BV,247,0.0,594
BZL,226,0.0,489
CAS,245,0.0,558
CK,117,0.0,183
CL,161,0.0,246
CO,275,0.0,631
CPS,218,0.0,525
CVM,3,37.54838709677419,1
DA,246,0.0,614
DB,189,0.0,371
DDN,220,0.0,493
