Station Code,Distance from KZ,Services from/to KZ,Disruptions on path to KZ
AC,27,44.354838709677416,296
AH,108,0.0,576
AHP,109,0.0,833
AHPR,111,0.0,833
AHZ,116,0.0,833
AKL,98,0.0,399
AKM,200,0.0,346
ALM,42,0.0,282
ALMB,48,0.0,413
ALMM,41,0.0,289
ALMO,50,0.0,413
ALMP,44,0.0,413
AMF,57,0.0,296
AMFS,60,0.0,536
AML,154,0.0,602
AMPO,39,0.0,289
AMR,27,4.419354838709677,13
AMRI,156,0.0,672
AMRN,28,0.935483870967742,88
ANA,57,0.935483870967742,99
APD,100,0.0,536
APDM,101,0.0,571
APDO,103,0.0,571
APG,263,0.0,376
APN,67,0.0,41
ARN,213,0.0,149
ASA,18,44.354838709677416,282
ASB,22,44.354838709677416,282
ASD,12,47.32258064516129,24
ASDL,11,0.0,24
ASDM,16,44.354838709677416,282
ASDZ,24,0.0,282
ASHD,23,44.354838709677416,296
ASN,201,0.0,296
ASS,8,47.32258064516129,3
ASSP,17,0.0,282
ATN,160,0.0,870
AVAT,63,0.0,542
BD,140,0.0,144
BDE,223,0.0,544
BDG,69,0.0,283
BDM,244,0.0,365
BDPB,135,0.0,266
BET,121,0.0,355
BF,248,0.0,365
BGN,161,0.0,265
BHDV,109,0.0,419
BHV,60,0.0,355
BK,216,0.0,545
BKF,50,0.0,67
BKG,49,0.0,63
BKL,39,44.354838709677416,423
BL,185,0.0,296
BLL,26,0.0,40
BMN,125,0.0,571
BMR,152,0.0,611
BN,163,0.0,672
BNC,76,0.0,537
BNK,59,6.096774193548387,355
BNN,73,0.0,536
BNZ,78,0.0,553
BP,242,0.0,553
BR,181,0.0,525
BRD,101,0.0,150
BRN,48,0.0,283
BSD,84,0.0,398
BSK,73,0.0,122
BSKS,74,0.0,145
BSMZ,36,0.0,300
BTL,111,0.0,428
BV,17,0.0,36
BZL,193,0.0,296
CAS,15,4.419354838709677,10
CK,142,0.0,608
CL,69,0.0,383
CO,178,0.0,316
CPS,87,35.45161290322581,368
CVM,222,0.0,60
DA,165,0.0,306
DB,63,6.096774193548387,355
DDN,158,0.0,586
DDR,110,0.0,144
