Station Code,Distance from ZTM,Services from/to ZTM,Disruptions on path to ZTM
AC,63,0.0,119
AH,106,0.0,73
AHP,107,0.0,330
AHPR,109,0.0,330
AHZ,114,0.0,330
AKL,83,0.0,260
AKM,212,0.0,377
ALM,95,0.0,102
ALMB,101,0.0,233
ALMM,94,0.0,252
ALMO,103,0.0,233
ALMP,97,0.0,233
AMF,69,0.032258064516129,73
AMFS,72,0.0,313
AML,166,0.032258064516129,379
AMPO,92,0.0,252
AMR,91,0.0,79
AMRI,168,0.0,449
AMRN,92,0.0,154
ANA,121,0.0,165
APD,112,0.032258064516129,313
APDM,113,0.0,348
APDO,115,0.0,348
APG,275,0.0,407
APN,34,0.0,108
ARN,158,0.0,205
ASA,72,0.0,99
ASB,68,0.0,85
ASD,75,0.0,29
ASDL,68,0.0,79
ASDM,74,0.0,99
ASDZ,67,0.0,79
ASHD,67,0.0,246
ASN,213,0.0,327
ASS,71,0.0,39
ASSP,75,0.0,113
ATN,158,0.0,367
AVAT,75,0.0,319
BD,85,0.0,200
BDE,193,0.0,63
BDG,42,0.0,189
BDM,256,0.0,396
BDPB,80,0.0,252
BET,118,0.0,73
BF,260,0.0,396
BGN,106,0.0,251
BHDV,72,0.0,258
BHV,57,0.0,73
BK,188,0.0,64
BKF,125,0.0,124
BKG,124,0.0,120
BKL,51,0.0,86
BL,197,0.0,327
BLL,59,0.0,39
BMN,128,0.0,333
BMR,150,0.0,365
BN,175,0.0,449
BNC,88,0.0,314
BNK,56,0.0,73
BNN,85,0.0,313
BNZ,90,0.0,330
BP,254,0.0,330
BR,178,0.0,243
BRD,46,0.0,206
BRN,72,0.0,97
BSD,81,0.0,116
BSK,28,0.0,85
BSKS,27,0.0,85
BSMZ,71,0.0,74
BTL,108,0.0,146
BV,69,0.0,41
BZL,138,0.0,282
CAS,79,0.0,76
CK,140,0.0,362
CL,66,27.06451612903226,101
CO,190,0.0,347
CPS,29,0.0,85
CVM,167,0.0,62
DA,177,0.0,449
DB,60,0.0,73
DDN,170,0.0,363
DDR,55,0.0,130
DDRS,58,0.0,247
DDZD,56,0.0,247
DEI,234,0.0,330
DID,125,0.0,330
DL,147,0.0,327
DLD,60,0.0,93
DLN,194,0.0,361
DMN,77,0.0,113
DMNZ,72,0.0,102
DN,150,0.0,215
DR,122,0.0,330
DRH,64,0.0,40
DRON,144,0.0,247
DRP,241,0.0,344
DT,21,0.0,29
DTC,136,0.0,350
DTCH,134,0.0,350
DTCP,22,0.0,130
DV,127,0.032258064516129,313
DVC,131,0.0,348
DVD,70,0.0,99
DVN,115,0.0,332
DVNK,24,0.0,32
DWE,247,0.0,330
DZ,279,0.0,425
DZW,278,0.0,425
EC,192,0.0,65
ED,89,0.0,73
EDC,91,0.0,95
EDN,196,0.0,63
EEM,286,0.0,424
EGH,166,0.0,61
EGHM,167,0.0,61
EHS,127,0.0,149
EHV,128,0.0,149
EKZ,128,0.0,132
EML,92,0.0,313
EMN,210,0.0,362
EMNZ,206,0.0,361
ES,183,0.032258064516129,415
ESK,179,0.0,415
EST,117,0.0,330
ETN,96,0.0,523
FN,247,0.0,330
FWD,244,0.0,330
GBG,183,0.0,347
GD,16,36.96774193548387,0
GDG,19,34.645161290322584,85
GDM,74,27.06451612903226,73
GDR,141,0.0,367
GERP,239,0.0,380
GK,260,0.0,395
GLN,176,0.0,62
GN,241,0.0,380
GND,69,0.0,248
GNN,245,0.0,395
GO,160,0.0,355
GP,134,0.0,211
GR,78,0.0,258
GS,143,0.0,205
GV,13,0.0,29
GVC,12,36.774193548387096,0
GVM,16,0.0,29
GVMW,14,0.0,44
GW,217,0.0,384
GZ,95,0.0,523
HAD,52,0.0,39
HB,165,0.0,61
HBZM,66,0.0,248
HD,96,0.0,316
HDB,177,0.0,334
HDE,117,0.0,313
HDG,240,0.0,330
HDR,133,0.0,174
HDRZ,132,0.0,174
HFD,51,0.0,29
HGL,175,0.032258064516129,396
HGLG,173,0.0,396
HGLO,177,0.0,415
HGV,183,0.0,327
HGZ,252,0.0,403
HIL,45,0.0,39
HK,72,0.0,59
HKS,120,0.0,116
HLG,256,0.0,331
HLGH,257,0.0,335
HLM,56,0.0,39
HLMS,57,0.0,39
