Station Code,Distance from EMN,Services from/to EMN,Disruptions on path to EMN
AC,186,0.0,395
AH,144,0.0,171
AHP,143,0.0,175
AHPR,141,0.0,174
AHZ,152,0.0,428
AKL,209,0.0,406
AKM,152,0.0,99
ALM,156,0.0,60
ALMB,150,0.0,60
ALMM,157,0.0,191
ALMO,148,0.0,49
ALMP,154,0.0,65
AMF,141,0.0,49
AMFS,138,0.0,49
AML,60,0.0,32
AMPO,159,0.0,192
AMR,225,0.0,334
AMRI,62,0.0,102
AMRN,226,0.0,409
ANA,255,0.0,420
APD,114,0.0,168
APDM,115,0.0,203
APDO,111,0.0,168
APG,215,0.0,129
APN,197,0.0,299
ARN,338,0.0,884
ASA,183,0.0,53
ASB,183,0.0,53
ASD,186,0.0,49
ASDL,193,0.0,307
ASDM,182,0.0,289
ASDZ,185,0.0,50
ASHD,184,0.0,67
ASN,153,0.0,49
ASS,190,0.0,307
ASSP,181,0.0,68
ATN,172,0.0,182
AVAT,135,0.0,55
BD,249,0.0,556
BDE,288,0.0,629
BDG,189,0.0,290
BDM,196,0.0,118
BDPB,254,0.0,879
BET,228,0.0,543
BF,200,0.0,118
BGN,286,0.0,884
BHDV,220,0.0,426
BHV,153,0.0,293
BK,281,0.0,630
BKF,244,0.0,392
BKG,243,0.0,388
BKL,174,0.0,362
BL,137,0.0,49
BLL,208,0.0,344
BMN,122,0.0,168
BMR,188,0.0,463
BN,69,0.0,102
BNC,160,0.0,290
BNK,170,0.0,362
BNN,157,0.0,289
BNZ,162,0.0,306
BP,194,0.0,66
BR,223,0.0,492
BRD,229,0.0,523
BRN,150,0.0,289
BSD,195,0.0,405
BSK,203,0.0,380
BSKS,204,0.0,403
BSMZ,162,0.0,50
BTL,218,0.0,543
BV,215,0.0,328
BZL,318,0.0,915
CAS,213,0.0,331
CK,178,0.0,460
CL,180,0.0,390
CO,20,38.516129032258064,1
CPS,207,0.0,447
CVM,298,0.0,647
DA,49,0.0,31
DB,174,0.0,362
DDN,79,0.0,121
DDR,237,0.0,437
DDRS,234,0.0,437
DDZD,238,0.0,554
DEI,174,0.0,66
DID,161,0.0,180
DL,63,38.516129032258064,28
DLD,150,0.0,289
DLN,16,20.93548387096774,1
DMN,179,0.0,67
DMNZ,179,0.0,50
DN,251,0.0,544
DR,128,0.0,168
DRH,213,0.0,345
DRON,107,0.0,49
DRP,181,0.0,80
DT,231,0.0,462
DTC,172,0.0,200
DTCH,170,0.0,200
DTCP,231,0.0,517
DV,99,0.0,102
DVC,95,0.0,109
DVD,181,0.0,50
DVN,151,0.0,177
DVNK,215,0.0,397
DWE,187,0.0,66
DZ,219,0.0,147
DZW,218,0.0,147
EC,261,0.0,627
ED,161,0.0,428
EDC,163,0.0,450
EDN,303,0.0,631
EEM,226,0.0,146
EGH,297,0.0,646
EGHM,298,0.0,646
EHS,237,0.0,619
EHV,238,0.0,543
EKZ,247,0.0,400
EML,118,0.0,52
EMN,0,0.0,0
EMNZ,4,38.516129032258064,0
ES,82,0.0,121
ESK,78,0.0,121
EST,155,0.0,428
ETN,260,0.0,879
FN,187,0.0,66
FWD,184,0.0,66
GBG,27,20.93548387096774,15
GD,194,0.0,362
GDG,191,0.0,362
GDM,188,0.0,362
GDR,177,0.0,217
GERP,179,0.0,102
GK,200,0.0,117
GLN,277,0.0,629
GN,181,0.0,102
GND,223,0.0,426
GNN,185,0.0,117
GO,89,0.0,154
GP,244,0.0,605
GR,214,0.0,424
GS,323,0.0,884
GV,223,0.0,447
GVC,222,0.0,365
GVM,223,0.0,482
GVMW,224,0.0,462
GW,157,0.0,106
GZ,239,0.0,558
HAD,209,0.0,328
HB,288,0.0,660
HBZM,226,0.0,436
HD,114,0.0,49
HDB,33,38.516129032258064,15
HDE,93,0.0,49
HDG,180,0.0,66
HDR,267,0.0,429
HDRZ,266,0.0,429
HFD,201,0.0,124
HGL,74,0.0,102
HGLG,76,0.0,121
HGLO,76,0.0,121
HGV,123,0.0,49
HGZ,192,0.0,125
HIL,216,0.0,328
HK,212,0.0,367
HKS,239,0.0,384
HLG,196,0.0,67
HLGH,197,0.0,71
HLM,205,0.0,307
HLMS,204,0.0,328
HLO,220,0.0,334
HM,251,0.0,586
HMBH,252,0.0,590
HMBV,248,0.0,605
HMH,250,0.0,605
HMN,169,0.0,442
HN,229,0.0,328
HNK,230,0.0,384
HNO,87,0.0,49
HNP,212,0.0,69
HON,80,0.0,109
HOR,163,0.0,50
HR,141,0.0,106
HRL,292,0.0,629
HRLW,294,0.0,646
HRN,175,0.0,102
HRT,233,0.0,544
HT,206,0.0,470
HTN,170,0.0,362
HTNC,171,0.0,390
HTO,205,0.0,470
HVL,147,0.0,289
HVS,157,0.0,49
HVSM,158,0.0,50
HVSP,158,0.0,50
HWD,232,0.0,410
HWZB,197,0.0,328
HZE,249,0.0,611
IJT,195,0.0,67
KBD,305,0.0,884
KBK,123,0.0,204
KLP,168,0.0,450
KMA,204,0.0,341
KMR,300,0.0,646
KMW,217,0.0,74
KPN,90,0.0,49
KPNZ,90,0.0,49
KRD,300,0.0,657
KRG,312,0.0,884
KTR,176,0.0,442
KW,189,0.0,123
KZ,198,0.0,331
LAA,223,0.0,394
LC,102,0.0,162
LDL,211,0.0,380
LDM,202,0.0,406
LEDN,212,0.0,387
LG,295,0.0,646
LLS,132,0.0,49
LLZM,207,0.0,447
LP,207,0.0,129
LTN,167,0.0,306
LTV,150,0.0,170
LUT,277,0.0,629
LW,170,0.0,49
LWC,173,0.0,66
MAS,169,0.0,362
MDB,342,0.0,911
MES,300,0.0,631
MG,180,0.0,66
MMLH,173,0.0,449
MP,103,0.0,49
MRB,41,36.87096774193548,28
MRN,182,0.0,394
MT,294,0.0,629
MTH,190,0.0,125
MTN,297,0.0,631
MTR,295,0.0,631
MZ,259,0.0,616
NDB,163,0.0,50
NH,285,0.0,660
NKK,130,0.0,52
NM,163,0.0,428
NMD,168,0.0,449
NMGO,166,0.0,449
NMH,166,0.0,449
NML,162,0.0,442
NS,102,0.0,49
NSCH,225,0.0,132
NVD,73,0.0,102
NVP,206,0.0,252
NWK,203,0.0,447
O,187,0.0,449
OBD,238,0.0,328
ODB,268,0.0,559
ODZ,85,0.0,121
OMN,52,38.516129032258064,28
OP,172,0.0,442
OST,96,0.0,49
OT,227,0.0,586
OTB,148,0.0,428
OVN,207,0.0,344
OW,188,0.0,470
PMO,211,0.0,307
PMR,210,0.0,328
PMW,209,0.0,331
PT,123,0.0,49
RAI,184,0.0,53
RAT,87,0.0,114
RB,302,0.0,915
RD,219,0.0,133
RH,134,0.0,171
RHN,205,0.0,397
RL,137,0.0,170
RLB,225,0.0,517
RM,248,0.0,578
RS,199,0.0,470
RSD,273,0.0,879
RSN,73,0.0,102
RSW,226,0.0,462
RTA,208,0.0,447
RTB,219,0.0,517
RTD,218,0.0,447
RTN,213,0.0,449
RTST,223,0.0,517
RTZ,222,0.0,517
RV,237,0.0,564
RVS,179,0.0,428
SBK,280,0.0,659
SD,154,0.0,303
SDA,208,0.0,123
SDM,222,0.0,517
SDT,227,0.0,436
SDTB,230,0.0,437
SGL,304,0.0,645
SGN,246,0.0,420
SHL,196,0.0,124
SK,192,0.0,66
SKND,191,0.0,66
SM,243,0.0,578
SN,282,0.0,660
SOG,302,0.0,646
SPTN,212,0.0,344
SPTZ,210,0.0,344
SRN,266,0.0,656
SSH,217,0.0,252
ST,155,0.0,303
STD,273,0.0,627
STM,203,0.0,129
STV,221,0.0,74
STZ,156,0.0,293
SWD,192,0.0,117
SWK,117,0.0,99
TB,228,0.0,543
TBG,178,0.0,217
TBR,233,0.0,556
TBU,229,0.0,556
TG,230,0.0,545
TL,188,0.0,445
TPSW,190,0.0,445
TWL,104,0.0,168
