Station Code,distance_ZDK,services_per_day_ZDK,n_of_disruptions_ZDK
PMO,12,31.967741935483872,3
PMR,11,31.967741935483872,2
PMW,10,31.967741935483872,0
PT,76,0,526
RAI,24,0,322
RAT,142,0,441
RB,178,0,180
RD,268,0,516
RH,119,0,823
RHN,95,0,390
RL,141,0,560
RLB,98,0,153
RM,184,1.2903225806451613,490
RS,107,0,431
RSD,149,0,144
RSN,142,0,589
RSW,72,0,118
RTA,98,0,440
RTB,92,0,144
RTD,91,0,74
RTN,96,0,144
RTST,96,0,153
RTZ,95,0,153
RV,195,0,539
RVS,127,0,449
SBK,216,0,571
SD,53,0,297
SDA,257,0,506
SDM,87,0,219
SDT,117,0,510
SDTB,118,0,263
SGL,240,0,557
SGN,53,0,92
SHL,24,25.35483870967742,24
SK,241,0,444
SKND,240,0,444
SM,189,0,539
SN,218,0,572
SOG,238,0,558
SPTN,28,0,58
SPTZ,29,0,79
SRN,202,0,568
SSH,45,19.129032258064516,202
ST,54,0,297
STD,209,1.2903225806451613,539
STM,252,0,512
STV,270,0,452
STZ,55,0,297
SWD,241,0,500
SWK,166,0,491
TB,122,0,428
TBG,145,0,857
TBR,127,0,441
TBU,123,0,441
TG,189,0,575
TL,90,0,479
TPSW,88,0,479
TWL,111,0,558
UHM,265,0,516
UHZ,262,0,516
UST,257,0,515
UT,52,1.2903225806451613,282
UTG,16,0,38
UTLN,56,0,355
UTLR,55,0,355
UTO,55,0,355
UTT,57,0,355
UTVR,53,0,355
UTZL,50,0,299
VB,71,0,103
VD,131,0,558
VDL,232,0,558
VDM,257,0,513
VEM,115,0,560
VG,104,0,428
VH,45,0,104
VHP,164,0,451
VK,241,0,558
VL,184,0,574
VLB,160,0,883
VNDC,87,0,389
VNDW,86,0,389
VP,115,0,823
VRY,167,0,884
VS,224,0,182
VSS,223,0,182
VST,58,19.129032258064516,169
VSV,152,0,857
VTN,59,0,360
VZ,161,0,659
WAD,78,0,195
WADN,77,0,195
WADT,79,0,195
WC,134,0,452
WD,68,0,355
WDN,150,0,596
WF,101,0,563
WFM,254,0,515
WH,133,0,599
WK,257,0,447
WL,134,0,840
WM,9,0,3
WP,27,0,297
WR,284,0,524
WS,262,0,515
WSM,246,0,501
WT,160,1.2903225806451613,490
WTV,114,0,822
WV,179,0,427
WW,164,0,572
WWW,163,0,572
WZ,115,0,536
YPB,75,0,106
ZA,112,0,482
ZB,249,0,509
ZBM,87,0,479
ZD,3,31.548387096774192,0
ZDK,0,0,0
ZH,242,0,506
ZL,124,0,424
ZLSH,129,0,438
ZLW,126,0,261
ZP,119,0,558
ZTM,80,0,103
ZTMO,81,0,106
ZV,123,0,820
ZVB,134,0,266
ZVT,32,0,62
ZWD,109,0,258
ZZS,6,0,3
