Station Code,Distance from WP,Services from/to WP,Disruptions on path to WP
AC,16,0.0,0
AH,82,0.0,292
AHP,83,0.0,549
AHPR,85,0.0,551
AHZ,90,0.0,549
AKL,80,0.0,210
AKM,174,0.0,316
ALM,16,77.06451612903226,1
ALMB,22,62.064516129032256,132
ALMM,15,77.06451612903226,0
ALMO,24,62.064516129032256,132
ALMP,18,62.064516129032256,132
AMF,31,38.2258064516129,12
AMFS,34,32.96774193548387,252
AML,128,0.0,318
AMPO,13,77.06451612903226,0
AMR,53,0.0,300
AMRI,130,0.0,388
AMRN,54,0.0,375
ANA,83,0.0,386
APD,74,0.0,252
APDM,75,0.0,287
APDO,77,0.0,287
APG,237,0.0,346
APN,68,0.0,153
ARN,211,0.0,396
ASA,11,0.0,12
ASB,11,0.0,12
ASD,14,76.35483870967742,15
ASDL,21,53.774193548387096,294
ASDM,10,76.29032258064517,1
ASDZ,13,52.54838709677419,12
ASHD,12,0.0,26
ASN,175,0.0,266
ASS,18,53.774193548387096,273
ASSP,9,76.35483870967742,1
ATN,134,0.0,586
AVAT,37,32.96774193548387,258
BD,124,0.0,171
BDE,205,0.0,272
BDG,60,0.0,86
BDM,218,0.0,335
BDPB,129,0.0,494
BET,103,0.0,201
BF,222,0.0,335
BGN,159,0.0,365
BHDV,91,0.0,230
BHV,36,0.0,12
BK,198,0.0,272
BKF,72,0.0,358
BKG,71,0.0,354
BKL,38,0.0,29
BL,159,0.0,151
BLL,36,0.0,310
BMN,99,0.0,287
BMR,126,0.0,584
BN,137,0.0,388
BNC,50,0.0,253
BNK,41,0.0,85
BNN,47,0.0,252
BNZ,52,0.0,269
BP,216,0.0,163
BR,161,0.0,613
BRD,100,0.0,255
BRN,22,38.2258064516129,12
BSD,66,0.0,209
BSK,74,0.0,234
BSKS,75,0.0,257
BSMZ,10,55.03225806451613,11
BTL,93,0.0,158
BV,43,0.0,333
BZL,191,0.0,396
CAS,41,0.0,297
CK,116,0.0,581
CL,51,0.0,113
CO,152,0.0,286
CPS,78,0.0,170
CVM,215,0.0,289
DA,139,0.0,388
DB,45,0.0,85
DDN,132,0.0,302
DDR,108,0.0,243
DDRS,105,0.0,241
DDZD,109,0.0,360
DEI,196,0.0,163
DID,101,0.0,549
DL,109,0.0,266
DLD,34,0.0,26
DLN,156,0.0,300
DMN,7,76.35483870967742,0
DMNZ,7,52.54838709677419,0
DN,135,0.0,224
DR,98,0.0,549
DRH,41,0.0,329
DRON,65,36.87096774193548,146
DRP,203,0.0,177
DT,77,0.0,180
DTC,112,0.0,569
DTCH,110,0.0,569
DTCP,78,0.0,281
DV,89,0.0,252
DVC,93,0.0,318
DVD,9,52.54838709677419,9
DVN,91,0.0,551
DVNK,56,21.806451612903224,146
DWE,209,0.0,163
DZ,241,0.0,364
DZW,240,0.0,364
EC,178,0.0,269
ED,65,0.0,270
EDC,63,0.0,269
EDN,220,0.0,273
EEM,248,0.0,363
EGH,214,0.0,288
EGHM,215,0.0,288
EHS,112,0.0,277
EHV,113,0.0,158
EKZ,75,0.0,366
EML,54,0.0,255
EMN,172,0.0,301
EMNZ,168,0.0,300
ES,145,0.0,354
ESK,141,0.0,354
EST,93,0.0,549
ETN,135,0.0,494
FN,209,0.0,163
FWD,206,0.0,163
GBG,145,0.0,286
GD,65,0.0,85
GDG,62,0.0,85
GDM,59,0.0,166
GDR,117,0.0,586
GERP,201,0.0,319
GK,222,0.0,334
GLN,194,0.0,271
GN,203,0.0,319
GND,94,0.0,230
GNN,207,0.0,334
GO,122,0.0,294
GP,119,0.0,220
GR,85,0.0,228
GS,196,0.0,396
GV,69,0.0,165
GVC,68,21.806451612903224,136
GVM,64,21.806451612903224,231
GVMW,70,0.0,180
GW,179,0.0,153
GZ,114,0.0,173
HAD,37,0.0,310
HB,205,0.0,302
HBZM,97,0.0,240
HD,58,0.0,255
HDB,139,0.0,273
HDE,79,0.0,252
HDG,202,0.0,163
HDR,95,0.0,395
HDRZ,94,0.0,395
HFD,29,105.38709677419357,136
HGL,137,0.0,335
HGLG,135,0.0,335
HGLO,139,0.0,354
HGV,145,0.0,146
HGZ,214,0.0,342
HIL,44,0.0,350
HK,40,0.0,333
HKS,67,0.0,350
HLG,218,0.0,164
HLGH,219,0.0,168
HLM,33,0.0,273
HLMS,32,0.0,294
HLO,48,0.0,300
HM,126,0.0,220
HMBH,127,0.0,224
HMBV,123,0.0,220
HMH,125,0.0,220
HMN,90,0.0,212
HN,57,0.0,294
HNK,58,0.0,350
HNO,109,0.0,266
HNP,234,0.0,166
HON,108,0.0,318
HOR,21,16.774193548387096,12
HR,163,0.0,146
HRL,209,0.0,271
HRLW,211,0.0,288
HRN,197,0.0,319
HRT,153,0.0,252
HT,81,0.0,85
HTN,41,0.0,85
HTNC,42,0.0,113
HTO,82,0.0,158
HVL,37,0.0,252
HVS,15,55.03225806451613,11
HVSM,14,55.03225806451613,44
HVSP,16,16.774193548387096,12
HWD,60,0.0,376
HWZB,25,0.0,294
HZE,124,0.0,226
IJT,217,0.0,164
KBD,178,0.0,396
KBK,83,0.0,288
KLP,67,0.0,85
KMA,32,0.0,307
KMR,217,0.0,288
KMW,239,0.0,171
KPN,112,0.0,266
KPNZ,82,36.87096774193548,147
KRD,217,0.0,299
KRG,185,0.0,396
KTR,83,0.0,209
KW,211,0.0,340
KZ,26,0.0,297
LAA,67,21.806451612903224,146
LC,109,0.0,287
LDL,54,0.0,146
LDM,73,0.0,210
LEDN,53,41.80645161290322,136
LG,212,0.0,288
LLS,40,40.70967741935484,132
LLZM,78,0.0,170
LP,229,0.0,346
LTN,57,0.0,269
