Station Code,Distance from EML,Services from/to EML,Disruptions on path to EML
AC,68,0.0,346
AH,74,0.0,280
AHP,75,0.0,537
AHPR,77,0.0,537
AHZ,82,0.0,537
AKL,91,0.0,357
AKM,120,0.0,67
ALM,70,0.0,253
ALMB,76,0.0,384
ALMM,69,0.0,252
ALMO,78,0.0,384
ALMP,72,0.0,384
AMF,23,35.83870967741935,0
AMFS,20,35.83870967741935,11
AML,88,0.0,38
AMPO,67,0.0,252
AMR,107,0.0,539
AMRI,90,0.0,108
AMRN,108,0.0,614
ANA,137,0.0,625
APD,66,0.0,240
APDM,67,0.0,275
APDO,69,0.0,275
APG,183,0.0,97
APN,79,0.0,250
ARN,222,0.0,510
ASA,65,0.0,244
ASB,65,0.0,244
ASD,68,0.0,254
ASDL,75,0.0,512
ASDM,64,0.0,240
ASDZ,67,0.0,241
ASHD,66,0.0,258
ASN,121,0.0,17
ASS,72,0.0,512
ASSP,63,0.0,259
ATN,126,0.0,574
AVAT,17,35.83870967741935,3
BD,135,0.0,399
BDE,216,0.0,502
BDG,71,0.0,241
BDM,164,0.0,86
BDPB,140,0.0,722
BET,114,0.0,313
BF,168,0.0,86
BGN,170,0.0,509
BHDV,102,0.0,377
BHV,35,35.483870967741936,244
BK,209,0.0,503
BKF,126,0.0,597
BKG,125,0.0,593
BKL,56,0.0,313
BL,105,0.0,17
BLL,90,0.0,549
BMN,91,0.0,275
BMR,118,0.0,315
BN,97,0.0,108
BNC,42,0.0,241
BNK,52,0.0,313
BNN,39,0.0,240
BNZ,44,0.0,257
BP,162,0.0,34
BR,153,0.0,344
BRD,111,0.0,474
BRN,32,0.0,240
BSD,77,0.0,356
BSK,85,0.0,331
BSKS,86,0.0,354
BSMZ,44,0.0,241
BTL,104,0.0,386
BV,97,0.0,533
BZL,202,0.0,540
CAS,95,0.0,536
CK,108,0.0,312
CL,62,0.0,341
CO,98,0.0,37
CPS,89,0.0,398
CVM,226,0.0,520
DA,85,0.0,27
DB,56,0.0,313
DDN,107,0.0,127
DDR,119,0.0,388
DDRS,116,0.0,388
DDZD,120,0.0,505
DEI,142,0.0,34
DID,93,0.0,537
DL,55,0.0,17
DLD,32,35.483870967741936,240
DLN,102,0.0,51
DMN,61,0.0,258
DMNZ,61,0.0,241
DN,146,0.0,455
DR,90,0.0,537
DRH,95,0.0,550
DRON,75,0.0,17
DRP,149,0.0,48
DT,113,0.0,413
DTC,104,0.0,557
DTCH,102,0.0,557
DTCP,113,0.0,468
DV,74,0.0,27
DVC,78,0.0,93
DVD,63,0.0,241
DVN,83,0.0,539
DVNK,97,0.0,348
DWE,155,0.0,34
DZ,187,0.0,115
DZW,186,0.0,115
EC,189,0.0,500
ED,57,0.0,258
