Station Code,Distance from IJT,Services from/to IJT,Disruptions on path to IJT
AC,231,0.0,364
AH,196,0.0,111
AHP,195,0.0,115
AHPR,193,0.0,114
AHZ,204,0.0,368
AKL,254,0.0,375
AKM,43,0.0,20
ALM,201,0.0,43
ALMB,195,0.0,43
ALMM,202,0.0,174
ALMO,193,0.0,32
ALMP,199,0.0,48
AMF,186,0.0,18
AMFS,183,0.0,32
AML,165,0.0,53
AMPO,204,0.0,175
AMR,270,0.0,317
AMRI,167,0.0,123
AMRN,271,0.0,392
ANA,300,0.0,403
APD,166,0.0,32
APDM,167,0.0,67
APDO,163,0.0,108
APG,113,0.0,45
APN,242,0.0,268
ARN,385,0.0,528
ASA,228,0.0,36
ASB,228,0.0,36
ASD,231,0.0,32
ASDL,238,0.0,290
ASDM,227,0.0,258
ASDZ,230,0.0,33
ASHD,229,0.0,50
ASN,107,0.0,33
ASS,235,0.0,290
ASSP,226,0.0,51
ATN,224,0.0,122
AVAT,180,0.0,38
BD,298,0.0,417
BDE,340,0.0,569
BDG,234,0.0,259
BDM,94,0.0,34
BDPB,303,0.0,740
BET,277,0.0,331
BF,98,0.0,34
BGN,333,0.0,527
BHDV,265,0.0,395
BHV,198,0.0,262
BK,333,0.0,570
BKF,289,0.0,375
BKG,288,0.0,371
BKL,219,0.0,331
BL,123,0.0,86
BLL,253,0.0,327
BMN,174,0.0,108
BMR,240,0.0,403
BN,174,0.0,123
BNC,205,0.0,259
BNK,215,0.0,331
BNN,202,0.0,258
BNZ,207,0.0,275
BP,49,0.0,18
BR,275,0.0,432
BRD,274,0.0,492
BRN,195,0.0,258
BSD,240,0.0,374
BSK,248,0.0,349
BSKS,249,0.0,372
BSMZ,207,0.0,33
BTL,267,0.0,404
BV,260,0.0,311
BZL,365,0.0,558
CAS,258,0.0,314
CK,230,0.0,400
CL,225,0.0,359
CO,175,0.0,52
CPS,252,0.0,416
CVM,350,0.0,587
DA,162,0.0,42
DB,219,0.0,331
DDN,184,0.0,142
DDR,282,0.0,406
DDRS,279,0.0,406
DDZD,283,0.0,523
DEI,29,0.0,18
DID,213,0.0,120
DL,132,0.0,32
DLD,195,0.0,258
DLN,179,0.0,66
DMN,224,0.0,50
DMNZ,224,0.0,33
DN,303,0.0,484
DR,180,0.0,108
DRH,258,0.0,328
DRON,152,0.0,32
DRP,36,0.0,32
DT,276,0.0,431
DTC,224,0.0,140
DTCH,222,0.0,140
DTCP,276,0.0,486
DV,151,0.0,42
DVC,155,0.0,108
DVD,226,0.0,33
DVN,203,0.0,117
DVNK,260,0.0,366
DWE,42,0.0,18
DZ,117,0.0,63
DZW,116,0.0,63
EC,313,0.0,567
ED,213,0.0,368
EDC,215,0.0,390
EDN,355,0.0,571
EEM,124,0.0,62
EGH,349,0.0,586
EGHM,350,0.0,586
EHS,286,0.0,407
EHV,287,0.0,407
EKZ,292,0.0,383
EML,163,0.0,35
EMN,195,0.0,67
EMNZ,191,0.0,66
ES,187,0.0,142
ESK,183,0.0,142
EST,207,0.0,368
ETN,309,0.0,740
FN,42,0.0,18
FWD,39,0.0,18
GBG,168,0.0,52
GD,239,0.0,331
GDG,236,0.0,331
GDM,233,0.0,331
GDR,229,0.0,157
GERP,81,0.0,33
GK,60,0.0,41
GLN,329,0.0,569
GN,79,0.0,18
GND,268,0.0,395
GNN,83,0.0,33
GO,194,0.0,175
GP,293,0.0,469
GR,259,0.0,393
GS,370,0.0,528
GV,268,0.0,416
GVC,267,0.0,334
GVM,268,0.0,451
GVMW,269,0.0,431
GW,38,0.0,18
GZ,288,0.0,419
HAD,254,0.0,311
HB,340,0.0,600
HBZM,271,0.0,405
HD,159,0.0,32
HDB,162,0.0,39
HDE,138,0.0,32
HDG,35,0.0,18
HDR,312,0.0,412
HDRZ,311,0.0,412
HFD,246,0.0,107
HGL,179,0.0,123
HGLG,181,0.0,142
HGLO,181,0.0,142
HGV,112,0.0,75
HGZ,94,0.0,56
HIL,261,0.0,311
HK,257,0.0,350
HKS,284,0.0,367
HLG,51,0.0,19
HLGH,52,0.0,23
HLM,250,0.0,290
HLMS,249,0.0,311
HLO,265,0.0,317
HM,300,0.0,469
HMBH,301,0.0,473
HMBV,297,0.0,469
HMH,299,0.0,469
HMN,221,0.0,382
HN,274,0.0,311
HNK,275,0.0,367
HNO,132,0.0,32
HNP,17,21.096774193548388,0
HON,170,0.0,108
HOR,208,0.0,33
HR,54,0.0,18
HRL,344,0.0,569
HRLW,346,0.0,586
HRN,85,0.0,33
HRT,285,0.0,484
HT,255,0.0,331
HTN,215,0.0,331
HTNC,216,0.0,359
HTO,256,0.0,404
HVL,192,0.0,258
HVS,202,0.0,32
HVSM,203,0.0,33
HVSP,203,0.0,33
HWD,277,0.0,393
HWZB,242,0.0,311
HZE,298,0.0,475
IJT,0,0.0,0
KBD,352,0.0,528
KBK,175,0.0,68
KLP,220,0.0,390
KMA,249,0.0,324
KMR,352,0.0,586
KMW,22,21.096774193548388,5
KPN,135,0.0,32
KPNZ,135,0.0,32
KRD,352,0.0,597
KRG,359,0.0,528
KTR,228,0.0,382
KW,91,0.0,54
KZ,243,0.0,314
LAA,268,0.0,363
LC,184,0.0,108
LDL,256,0.0,349
LDM,247,0.0,375
LEDN,257,0.0,356
LG,347,0.0,586
LLS,177,0.0,18
LLZM,252,0.0,416
LP,105,0.0,45
LTN,212,0.0,275
LTV,202,0.0,110
LUT,329,0.0,569
LW,25,21.06451612903226,1
LWC,28,0.0,18
MAS,214,0.0,331
MDB,389,0.0,555
MES,352,0.0,571
MG,15,21.06451612903226,1
MMLH,225,0.0,389
MP,92,0.0,25
MRB,154,0.0,39
MRN,227,0.0,363
MT,346,0.0,569
MTH,92,0.0,56
MTN,349,0.0,571
MTR,347,0.0,571
MZ,308,0.0,480
NDB,208,0.0,33
NH,337,0.0,600
NKK,175,0.0,35
NM,215,0.0,368
NMD,220,0.0,389
NMGO,218,0.0,389
NMH,218,0.0,389
NML,214,0.0,382
NS,147,0.0,32
NSCH,127,0.0,63
NVD,152,0.0,41
NVP,251,0.0,235
NWK,248,0.0,416
O,239,0.0,389
OBD,283,0.0,311
ODB,313,0.0,528
ODZ,190,0.0,142
OMN,143,0.0,39
OP,224,0.0,382
OST,141,0.0,32
OT,276,0.0,447
OTB,200,0.0,368
OVN,252,0.0,327
OW,240,0.0,410
PMO,256,0.0,290
PMR,255,0.0,311
PMW,254,0.0,314
PT,168,0.0,32
RAI,229,0.0,36
RAT,138,0.0,32
RB,349,0.0,528
RD,117,0.0,49
RH,186,0.0,111
RHN,250,0.0,366
RL,189,0.0,110
RLB,270,0.0,486
RM,300,0.0,518
RS,251,0.0,410
RSD,320,0.0,523
RSN,168,0.0,53
RSW,271,0.0,431
RTA,253,0.0,416
RTB,264,0.0,486
RTD,263,0.0,416
RTN,258,0.0,418
RTST,268,0.0,486
RTZ,267,0.0,486
RV,289,0.0,504
RVS,231,0.0,368
SBK,332,0.0,599
SD,199,0.0,272
SDA,110,0.0,54
SDM,267,0.0,486
SDT,272,0.0,405
SDTB,275,0.0,406
SGL,356,0.0,585
SGN,291,0.0,403
SHL,241,0.0,107
SK,3,21.06451612903226,0
SKND,4,21.06451612903226,1
SM,295,0.0,518
SN,334,0.0,600
SOG,354,0.0,586
SPTN,257,0.0,327
SPTZ,255,0.0,327
SRN,318,0.0,596
SSH,262,0.0,235
ST,200,0.0,272
STD,325,0.0,567
STM,101,0.0,45
STV,26,21.096774193548388,5
STZ,201,0.0,262
SWD,90,0.0,33
SWK,78,0.0,18
TB,277,0.0,404
TBG,230,0.0,157
TBR,282,0.0,417
TBU,278,0.0,417
TG,282,0.0,485
TL,240,0.0,385
TPSW,242,0.0,385
TWL,156,0.0,108
UHM,114,0.0,49
UHZ,111,0.0,49
UST,106,0.0,48
UT,207,0.0,258
UTG,254,0.0,349
UTLN,211,0.0,331
UTLR,210,0.0,331
UTO,204,0.0,258
UTT,212,0.0,331
UTVR,208,0.0,331
UTZL,209,0.0,331
VB,264,0.0,416
VD,179,0.0,108
VDL,348,0.0,586
VDM,110,0.0,61
VEM,171,0.0,108
VG,259,0.0,404
VH,265,0.0,366
VHP,160,0.0,42
VK,357,0.0,586
VL,277,0.0,484
VLB,247,0.0,431
VNDC,242,0.0,365
VNDW,241,0.0,365
VP,190,0.0,114
VRY,254,0.0,432
VS,395,0.0,555
VSS,394,0.0,528
VST,262,0.0,451
VSV,233,0.0,141
VTN,214,0.0,336
VZ,167,0.0,43
WAD,247,0.0,416
WADN,248,0.0,416
WADT,246,0.0,416
WC,224,0.0,368
WD,223,0.0,258
WDN,160,0.0,53
WF,204,0.0,368
WFM,103,0.0,48
WH,134,0.0,32
WK,13,21.096774193548388,0
WL,219,0.0,140
WM,247,0.0,314
WP,217,0.0,44
WR,137,0.0,72
WS,115,0.0,63
WSM,95,0.0,34
WT,315,0.0,469
WTV,199,0.0,117
WV,65,0.0,18
WW,212,0.0,122
WWW,211,0.0,122
WZ,129,0.0,32
YPB,260,0.0,334
ZA,218,0.0,382
ZB,102,0.0,57
ZBM,242,0.0,374
ZD,241,0.0,311
ZDK,244,0.0,314
ZH,67,0.0,18
ZL,120,0.0,18
ZLSH,125,0.0,32
ZLW,297,0.0,523
ZP,167,0.0,108
ZTM,255,0.0,331
ZTMO,254,0.0,416
ZV,208,0.0,120
ZVB,305,0.0,528
ZVT,258,0.0,327
ZWD,281,0.0,591
ZZS,244,0.0,314
