Station Code,Distance from BSKS,Services from/to BSKS,Disruptions on path to BSKS
AC,57,0.0,147
AH,100,0.0,187
AHP,101,0.0,444
AHPR,103,0.0,444
AHZ,108,0.0,444
AKL,83,0.0,285
AKM,206,0.0,418
ALM,89,0.0,131
ALMB,95,0.0,262
ALMM,88,0.0,280
ALMO,97,0.0,262
ALMP,91,0.0,262
AMF,63,0.0,114
AMFS,66,0.0,354
AML,160,0.0,420
AMPO,86,0.0,280
AMR,86,0.0,161
AMRI,162,0.0,490
AMRN,87,0.0,236
ANA,116,0.0,247
APD,106,0.0,354
APDM,107,0.0,389
APDO,109,0.0,389
APG,269,0.0,448
APN,7,56.58064516129032,23
ARN,158,0.0,160
ASA,66,0.0,128
ASB,62,0.0,114
ASD,70,0.0,121
ASDL,63,0.0,171
ASDM,68,0.0,128
ASDZ,62,0.0,171
ASHD,61,0.0,274
ASN,207,0.0,368
ASS,66,0.0,121
ASSP,69,0.0,142
ATN,152,0.0,481
AVAT,69,0.0,360
BD,85,0.0,155
BDE,214,0.0,376
BDG,15,0.0,104
BDM,250,0.0,437
BDPB,80,0.0,277
BET,112,0.0,187
BF,254,0.0,437
BGN,106,0.0,276
BHDV,72,0.0,283
BHV,51,0.0,187
BK,207,0.0,377
BKF,120,0.0,206
BKG,119,0.0,202
BKL,45,0.0,114
BL,191,0.0,368
BLL,54,0.0,121
BMN,122,0.0,447
BMR,144,0.0,479
BN,169,0.0,490
BNC,82,0.0,355
BNK,50,0.0,187
BNN,79,0.0,354
BNZ,84,0.0,371
BP,248,0.0,371
BR,172,0.0,357
BRD,46,0.0,161
BRN,66,0.0,211
BSD,75,0.0,230
BSK,1,56.58064516129032,0
BSKS,0,0.0,0
BSMZ,65,0.0,188
BTL,102,0.0,260
BV,64,0.0,123
BZL,138,0.0,307
CAS,74,0.0,158
CK,134,0.0,476
CL,60,0.0,215
CO,184,0.0,388
CPS,24,0.0,85
CVM,192,0.0,154
DA,171,0.0,490
DB,54,0.0,187
DDN,164,0.0,404
DDR,55,0.0,155
DDRS,58,0.0,272
DDZD,56,0.0,272
DEI,228,0.0,371
DID,119,0.0,444
DL,141,0.0,368
DLD,54,0.0,207
DLN,188,0.0,402
DMN,71,0.0,142
DMNZ,66,0.0,131
DN,144,0.0,329
DR,116,0.0,444
DRH,59,0.0,122
DRON,138,0.0,276
DRP,235,0.0,385
DT,46,0.0,136
DTC,130,0.0,464
DTCH,128,0.0,464
DTCP,47,0.0,237
DV,121,0.0,354
DVC,125,0.0,389
DVD,64,0.0,128
DVN,109,0.0,446
DVNK,25,0.0,121
DWE,241,0.0,371
DZ,273,0.0,466
DZW,272,0.0,466
EC,187,0.0,374
ED,83,0.0,187
EDC,85,0.0,209
EDN,221,0.0,155
EEM,280,0.0,465
EGH,191,0.0,153
EGHM,192,0.0,153
EHS,121,0.0,263
EHV,122,0.0,263
EKZ,123,0.0,214
EML,86,0.0,354
EMN,204,0.0,403
EMNZ,200,0.0,402
ES,177,0.0,456
ESK,173,0.0,456
EST,111,0.0,444
ETN,96,0.0,478
FN,241,0.0,371
FWD,238,0.0,371
GBG,177,0.0,388
GD,11,56.58064516129032,0
GDG,14,0.0,85
GDM,68,0.0,187
GDR,135,0.0,481
GERP,233,0.0,421
GK,254,0.0,436
GLN,201,0.0,154
GN,235,0.0,421
GND,69,0.0,273
GNN,239,0.0,436
GO,154,0.0,396
GP,128,0.0,325
GR,78,0.0,283
GS,143,0.0,160
GV,38,0.0,121
GVC,37,0.0,121
GVM,33,0.0,206
GVMW,39,0.0,136
GW,211,0.0,425
GZ,95,0.0,478
HAD,47,0.0,121
HB,190,0.0,153
HBZM,66,0.0,273
HD,90,0.0,357
HDB,171,0.0,375
HDE,111,0.0,354
HDG,234,0.0,371
HDR,128,0.0,256
HDRZ,127,0.0,256
HFD,46,0.0,121
HGL,169,0.0,437
HGLG,167,0.0,437
HGLO,171,0.0,456
HGV,177,0.0,368
HGZ,246,0.0,444
HIL,40,0.0,121
HK,67,0.0,141
HKS,115,0.0,198
HLG,250,0.0,372
HLGH,251,0.0,376
HLM,51,0.0,121
HLMS,52,0.0,121
HLO,81,0.0,141
HM,135,0.0,325
HMBH,136,0.0,329
HMBV,132,0.0,325
HMH,134,0.0,325
HMN,99,0.0,233
HN,105,0.0,142
HNK,106,0.0,198
HNO,141,0.0,368
HNP,266,0.0,374
HON,140,0.0,389
HOR,54,0.0,187
HR,195,0.0,425
HRL,186,0.0,136
HRLW,188,0.0,153
HRN,229,0.0,421
HRT,162,0.0,357
HT,90,0.0,187
HTN,50,0.0,187
HTNC,51,0.0,215
HTO,91,0.0,260
HVL,69,0.0,354
HVS,60,0.0,187
HVSM,61,0.0,188
HVSP,59,0.0,187
HWD,93,0.0,237
HWZB,59,0.0,121
HZE,133,0.0,331
IJT,249,0.0,372
KBD,125,0.0,160
KBK,115,0.0,390
KLP,76,0.0,187
KMA,75,0.0,142
KMR,194,0.0,153
KMW,271,0.0,379
KPN,144,0.0,368
KPNZ,144,0.0,368
KRD,194,0.0,164
KRG,132,0.0,160
KTR,92,0.0,230
KW,243,0.0,442
KZ,74,0.0,145
LAA,36,0.0,121
LC,141,0.0,389
LDL,21,0.0,104
