Station Code,distance_HR,services_per_day_HR,n_of_disruptions_HR
AC,177,0,363
AH,142,0,93
AHP,141,0,97
AHPR,139,0,96
AHZ,150,0,350
AKL,200,0,452
AKM,11,29.64516129032258,0
ALM,147,17.70967741935484,14
ALMB,141,0,14
ALMM,148,0,145
ALMO,139,0.03225806451612903,14
ALMP,145,0,19
AMF,132,17.29032258064516,14
AMFS,129,0,14
AML,111,0,26
AMPO,150,0,146
AMR,216,0,430
AMRI,113,0,96
AMRN,217,0,505
ANA,246,0,516
APD,112,0,14
APDM,113,0,49
APDO,109,0,90
APG,117,0,44
APN,188,0,264
ARN,331,0,638
ASA,174,0,148
ASB,174,0,148
ASD,177,1.096774193548387,145
ASDL,184,0,424
ASDM,173,0,153
ASDZ,176,16.548387096774192,145
ASHD,175,0,162
ASN,88,0,57
ASS,181,0,403
ASSP,172,0,153
ATN,170,0,104
AVAT,126,0,20
BD,244,0,413
BDE,286,0,552
BDG,180,0,255
BDM,98,0,33
BDPB,249,0,736
BET,223,0,443
BF,102,0,33
BGN,279,0,607
BHDV,211,0,472
BHV,144,0,258
BK,279,0,552
BKF,235,0,488
BKG,234,0,484
BKL,165,0,330
BL,72,0,62
BLL,199,0,440
BMN,120,0,90
BMR,186,0,385
BN,120,0,96
BNC,151,0,255
BNK,161,0,327
BNN,148,0,254
BNZ,153,0,271
BP,53,0,17
BR,221,0,414
BRD,220,0,497
BRN,141,0,254
BSD,186,0,451
BSK,194,0,345
BSKS,195,0,368
BSMZ,153,0,255
BTL,213,0,400
BV,206,0,463
BZL,311,0,638
CAS,204,0,427
CK,176,0,382
CL,171,0,355
CO,121,0,34
CPS,198,0,412
CVM,296,0,569
DA,108,0,24
DB,165,0,327
DDN,130,0,115
DDR,228,0,485
DDRS,225,0,483
DDZD,229,0,602
DEI,33,0,17
DID,159,0,102
DL,78,0,14
DLD,141,0,254
DLN,125,0,48
DMN,170,0,152
DMNZ,170,0,152
DN,249,0,466
DR,126,0,90
DRH,204,0,459
DRON,98,0.7096774193548387,14
DRP,40,0,31
DT,222,0,427
DTC,170,0,122
DTCH,168,0,122
DTCP,222,0,482
DV,97,0,24
DVC,101,0,90
DVD,172,0,145
DVN,149,0,99
DVNK,206,0,362
DWE,46,0,17
DZ,121,0,62
DZW,120,0,62
EC,259,0,549
ED,159,0,350
EDC,161,0,372
EDN,301,0,553
EEM,128,0,61
EGH,295,0,568
EGHM,296,0,568
EHS,232,0,519
EHV,233,0,400
EKZ,238,0,496
EML,109,0,17
EMN,141,0,49
EMNZ,137,0,48
ES,133,0,115
ESK,129,0,115
EST,153,0,350
ETN,255,0,736
FN,46,0,17
FWD,43,0,17
GBG,114,0,34
GD,185,15.483870967741936,327
GDG,182,0,255
GDM,179,0,408
GDR,175,0,139
GERP,85,0,32
GK,64,0,40
GLN,275,0,551
GN,83,0,17
GND,214,0,472
GNN,87,0,32
GO,140,0,148
GP,239,0,462
GR,205,0,470
GS,316,0,638
GV,214,0,412
GVC,213,16.516129032258064,412
GVM,214,0,447
GVMW,215,0,427
GW,16,29.64516129032258,0
GZ,234,0,415
HAD,200,0,440
HB,286,0,582
HBZM,217,0,482
HD,105,0,14
HDB,108,0,21
HDE,84,0,14
HDG,39,0,17
HDR,258,0,525
HDRZ,257,0,525
HFD,192,0.12903225806451613,269
HGL,125,0,96
HGLG,127,0,115
HGLO,127,0,115
HGV,58,0,57
HGZ,98,0,55
HIL,207,0,480
HK,203,0,463
HKS,230,0,480
HLG,55,0,18
HLGH,56,0,22
HLM,196,0,403
HLMS,195,0,424
HLO,211,0,430
HM,246,0,462
HMBH,247,0,466
HMBV,243,0,462
HMH,245,0,462
HMN,167,0,364
HN,220,0,424
HNK,221,0,480
HNO,78,0,14
HNP,71,0,20
HON,116,0,90
HOR,154,0,255
HR,0,0,0
HRL,290,0,551
HRLW,292,0,568
HRN,89,0,55
HRT,231,0,466
HT,201,0,327
HTN,161,0,327
HTNC,162,0,355
HTO,202,0,400
HVL,138,0,254
HVS,148,0,254
HVSM,149,0,255
HVSP,149,0,255
HWD,223,0,506
HWZB,188,0,424
HZE,244,0,468
IJT,54,0,18
KBD,298,0,638
KBK,121,0,50
KLP,166,0,372
KMA,195,0,437
KMR,298,0,568
KMW,76,0,25
KPN,81,0,14
KPNZ,81,0.7096774193548387,14
KRD,298,0,579
KRG,305,0,638
KTR,174,0,364
KW,95,0,76
KZ,189,0,427
LAA,214,1.1290322580645162,441
LC,130,0,90
LDL,202,0,345
LDM,193,0,452
LEDN,203,16.516129032258064,352
LG,293,0,568
LLS,123,18.451612903225808,0
LLZM,198,0,412
LP,109,0,67
LTN,158,0,271
LTV,148,0,92
LUT,275,0,551
LW,29,63.96774193548387,0
LWC,32,0,17
MAS,160,0,327
MDB,335,0,638
MES,298,0,553
MG,39,0,17
MMLH,171,0,371
MP,38,63.54838709677419,7
MRB,100,0,21
MRN,173,0,359
MT,292,0,551
MTH,96,0,78
MTN,295,0,553
MTR,293,0,553
MZ,254,0,473
NDB,154,0,255
NH,283,0,582
NKK,121,0,17
NM,161,0,350
NMD,166,0,371
NMGO,164,0,371
NMH,164,0,371
NML,160,0,364
NS,93,0.03225806451612903,14
NSCH,131,0,85
NVD,98,0,14
NVP,197,0,397
NWK,194,0,412
O,185,0,371
OBD,229,0,516
ODB,259,0,607
ODZ,136,0,115
OMN,89,0,21
OP,170,0,364
OST,87,0,14
OT,222,0,443
OTB,146,0,350
OVN,198,0,440
OW,186,0,392
PMO,202,0,425
PMR,201,0,424
PMW,200,0,427
PT,114,0.03225806451612903,31
RAI,175,0,148
RAT,84,0,14
RB,295,0,638
RD,121,0,71
RH,132,0,93
RHN,196,0,362
RL,135,0,92
RLB,216,0,491
RM,246,0,500
RS,197,0,392
RSD,266,0,602
RSN,114,0,26
RSW,217,0,427
RTA,199,15.483870967741936,412
RTB,210,0,482
RTD,209,15.483870967741936,412
RTN,204,0,414
RTST,214,0,491
RTZ,213,0,491
RV,235,0,486
RVS,177,0,350
SBK,278,0,581
SD,145,0,268
SDA,114,0,76
SDM,213,0,482
SDT,218,0,482
SDTB,221,0,483
SGL,302,0,567
SGN,237,0,516
SHL,187,16.548387096774192,219
SK,51,0,17
SKND,50,0,17
SM,241,0,500
SN,280,0,582
SOG,300,0,568
SPTN,203,0,458
SPTZ,201,0,458
SRN,264,0,578
SSH,208,0,397
ST,146,0,268
STD,271,0,549
STM,105,0,67
STV,80,0,25
STZ,147,0,258
SWD,94,0,55
SWK,24,63.54838709677419,0
TB,223,0,400
TBG,176,0,139
TBR,228,0,413
TBU,224,0,413
TG,228,0,467
TL,186,0,367
TPSW,188,0,367
TWL,102,0,90
UHM,118,0,71
UHZ,115,0,71
UST,110,0,70
UT,153,17.29032258064516,254
UTG,200,0,462
UTLN,157,0,327
UTLR,156,0,327
UTO,150,0,278
UTT,158,0,327
UTVR,154,0,327
UTZL,155,0,327
VB,210,0,412
VD,125,0,90
VDL,294,0,568
VDM,114,0,83
VEM,117,0,90
VG,205,0,400
VH,211,0,362
VHP,106,0,24
VK,303,0,568
VL,223,0,466
VLB,193,0,413
VNDC,188,0,361
VNDW,187,0,361
VP,136,0,96
VRY,200,0,414
VS,341,0,640
VSS,340,0,640
VST,208,0,447
VSV,179,0,123
VTN,160,0,332
VZ,113,0,25
WAD,193,0,412
WADN,194,0,412
WADT,192,0,412
WC,170,0,350
WD,169,0,254
WDN,106,0,26
WF,150,0,350
WFM,107,0,70
WH,80,0,14
WK,67,0,20
WL,165,0,122
WM,193,0,427
WP,163,0,146
WR,141,0,94
WS,119,0,85
WSM,99,0,56
WT,261,0,462
WTV,145,0,99
WV,11,28.93548387096774,0
WW,158,0,104
WWW,157,0,104
WZ,75,0,14
YPB,206,0,412
ZA,164,0,364
ZB,106,0,79
ZBM,188,0,451
ZD,187,0,424
ZDK,190,0,427
ZH,71,0,17
ZL,66,57.67741935483871,0
ZLSH,71,0,14
ZLW,243,0,602
ZP,113,0,90
ZTM,201,0,412
ZTMO,200,0,412
ZV,154,0,102
ZVB,251,0,607
ZVT,204,0,441
ZWD,227,0,596
ZZS,190,0,427
