Station Code,distance_HLM,services_per_day_HLM,n_of_disruptions_HLM
AC,34,0,272
AH,115,0.0967741935483871,539
AHP,116,0,796
AHPR,118,0,798
AHZ,123,0,796
AKL,105,0,456
AKM,207,0,410
ALM,49,0,258
ALMB,55,0,389
ALMM,48,0,279
ALMO,57,0,389
ALMP,51,0,389
AMF,64,0,259
AMFS,67,0,499
AML,161,0,565
AMPO,46,0,279
AMR,35,32.70967741935484,42
AMRI,163,0,635
AMRN,36,27.29032258064516,117
ANA,65,0.0967741935483871,128
APD,107,0,499
APDM,108,0,534
APDO,110,0,534
APG,270,0,488
APN,44,0,57
ARN,190,17.677419354838708,272
ASA,25,1.3225806451612903,258
ASB,29,1.2258064516129032,258
ASD,19,102.83870967741936,0
ASDL,18,0,21
ASDM,23,0,258
ASDZ,31,0,258
ASHD,30,0,272
ASN,208,0,408
ASS,15,114.19354838709677,0
ASSP,24,0,272
ATN,167,0,833
AVAT,70,0,505
BD,117,0,236
BDE,230,0,518
BDG,52,0,138
BDM,251,0,477
BDPB,112,0,358
BET,128,0,447
BF,255,0,477
BGN,138,27.483870967741936,241
BHDV,104,0,366
BHV,67,0,331
BK,223,0,518
BKF,69,0,85
BKG,68,0,81
BKL,56,0,275
BL,192,0,408
BLL,3,43.774193548387096,0
BMN,132,0,534
BMR,159,0,831
BN,170,0,635
BNC,83,0,500
BNK,66,0,331
BNN,80,0,499
BNZ,85,0,516
BP,249,0,420
BR,188,0,498
BRD,78,0,251
BRN,55,0,259
BSD,91,0,455
BSK,50,0,138
BSKS,51,0,161
BSMZ,43,0,290
BTL,118,0,404
BV,13,35.70967741935484,20
BZL,170,17.677419354838708,272
CAS,23,32.70967741935484,39
CK,149,0,828
CL,76,0,359
CO,185,0,437
CPS,75,0,246
CVM,240,0,535
DA,172,0,635
DB,70,0.0967741935483871,331
DDN,165,0,549
DDR,87,28.580645161290324,236
DDRS,90,0,353
DDZD,88,0,353
DEI,229,0,420
DID,134,0,796
DL,142,0,417
DLD,67,0,273
DLN,189,0,451
DMN,26,0,272
DMNZ,29,0,298
DN,160,0,470
DR,131,0,796
DRH,8,35.61290322580645,19
DRON,98,0,403
DRP,236,0,434
DT,53,30.0,65
DTC,145,0,816
DTCH,143,0,816
DTCP,54,0,166
DV,122,0,499
DVC,126,0,565
DVD,27,1.1935483870967742,295
DVN,124,0,798
DVNK,32,18.322580645161292,50
DWE,242,0,420
DZ,274,0,506
DZW,273,0,506
EC,203,0,515
ED,98,0.0967741935483871,517
EDC,96,0,516
EDN,245,0,519
EEM,281,0,505
EGH,239,0,534
EGHM,240,0,534
EHS,137,0,523
EHV,138,0.03225806451612903,404
EKZ,72,0,93
EML,87,0,502
EMN,205,0,452
EMNZ,201,0,451
ES,178,0,601
ESK,174,0,601
EST,126,0,796
ETN,128,0,559
FN,242,0,420
FWD,239,0,420
GBG,178,0,437
GD,62,1.1935483870967742,161
GDG,65,0,246
GDM,84,0,412
GDR,150,0,833
GERP,234,0,461
GK,255,0,476
GLN,219,0,517
GN,236,0,461
GND,101,0,356
GNN,240,0,476
GO,155,0,541
GP,144,0,466
GR,110,0,474
GS,175,26.838709677419356,272
GV,45,30.032258064516128,50
GVC,44,27.903225806451612,50
GVM,40,18.322580645161292,135
GVMW,46,0,65
GW,212,0,410
GZ,127,0,559
HAD,4,90.80645161290323,0
HB,230,0,548
HBZM,98,0,356
HD,91,0,502
HDB,172,0,424
HDE,112,0,499
HDG,235,0,420
HDR,77,0.0967741935483871,137
HDRZ,76,0.0967741935483871,137
HFD,35,0,71
HGL,170,0,582
HGLG,168,0,582
HGLO,172,0,601
HGV,178,0,403
HGZ,247,0,484
HIL,11,52.45161290322581,40
HK,16,35.61290322580645,38
HKS,64,0,77
HLG,251,0,421
HLGH,252,0,425
HLM,0,0,0
HLMS,1,67.48387096774194,0
HLO,30,32.70967741935484,42
HM,151,0,466
HMBH,152,0,470
HMBV,148,0,466
HMH,150,0,466
HMN,115,0,458
HN,54,27.193548387096776,21
HNK,55,0,77
HNO,142,0,414
HNP,267,0,423
HON,141,0,565
HOR,54,0,259
HR,196,0,403
HRL,234,0,517
HRLW,236,0,534
HRN,230,0,467
HRT,178,0,498
HT,106,0.03225806451612903,331
HTN,66,0,331
HTNC,67,0,359
HTO,107,0,404
HVL,70,0,499
HVS,48,0,258
HVSM,47,0,323
HVSP,49,0,259
HWD,42,27.29032258064516,118
HWZB,8,67.48387096774194,0
HZE,149,0,472
IJT,250,0,421
KBD,157,17.677419354838708,272
KBK,116,0,535
KLP,92,0.03225806451612903,331
KMA,24,0,39
KMR,242,0,534
KMW,272,0,428
KPN,145,0,414
KPNZ,115,0,404
KRD,242,0,545
KRG,164,17.741935483870968,272
KTR,108,0,455
KW,244,0,488
KZ,23,0,24
LAA,43,48.193548387096776,50
LC,142,0,534
LDL,30,0,50
LDM,98,0,456
LEDN,29,90.80645161290323,40
LG,237,0,534
LLS,73,0,389
LLZM,59,0,82
LP,262,0,494
LTN,90,0,516
LTV,160,0,536
LUT,219,0,517
LW,225,0,403
LWC,228,0,420
MAS,51,0,272
MDB,194,26.838709677419356,272
MES,242,0,519
MG,235,0,420
MMLH,144,0,817
MP,158,0,414
MRB,164,0,421
MRN,78,0,363
MT,236,0.03225806451612903,517
MTH,245,0,490
MTN,239,0,519
MTR,237,0,519
MZ,159,0,477
NDB,42,0,279
NH,227,0,548
NKK,75,0,499
NM,134,0.0967741935483871,796
NMD,139,0,817
NMGO,137,0,817
NMH,137,0,817
NML,133,0,810
NS,103,0,499
NSCH,280,0,497
NVD,162,0,414
NVP,40,0,199
NWK,71,0,246
O,125,0,404
OBD,48,27.193548387096776,128
ODB,118,0.03225806451612903,358
ODZ,181,0,601
OMN,153,0,421
OP,112,0,458
OST,132,0,565
OT,127,0,447
OTB,111,0,539
OVN,2,42.0,0
OW,124,0,407
PMO,36,0,22
PMR,35,0,21
PMW,34,0,24
PT,82,0,502
RAI,30,0,298
RAT,148,0,414
RB,154,17.677419354838708,272
RD,274,0,498
RH,125,0,799
RHN,101,0,366
RL,147,0,536
RLB,74,0,245
RM,190,0.03225806451612903,466
RS,113,0,407
RSD,125,28.161290322580644,236
RSN,148,0,565
RSW,48,0,65
RTA,76,0,246
RTB,68,28.580645161290324,236
RTD,67,30.0,166
RTN,72,0,236
RTST,72,0,245
RTZ,71,0,245
RV,201,0,515
RVS,133,0,425
SBK,222,0,547
SD,59,0,273
SDA,263,0,488
SDM,63,29.870967741935484,166
SDT,97,0,355
SDTB,94,0,355
SGL,246,0,533
SGN,56,0.0967741935483871,128
SHL,30,0,21
SK,247,0,420
SKND,246,0,420
SM,195,0,515
SN,224,0,548
SOG,244,0,534
SPTN,7,43.03225806451613,18
SPTZ,5,43.03225806451613,18
SRN,208,0,544
SSH,37,0,50
ST,60,0,273
STD,215,0.03225806451612903,515
STM,258,0,494
STV,276,0,428
STZ,61,0,273
SWD,247,0,482
SWK,172,0,464
TB,128,0,404
TBG,151,0,833
TBR,133,0,417
TBU,129,0,417
TG,195,0,551
TL,96,0,455
TPSW,94,0,455
TWL,117,0,534
UHM,271,0,498
UHZ,268,0,498
UST,263,0,497
UT,58,0.22580645161290322,258
UTG,19,35.61290322580645,38
UTLN,62,0,331
UTLR,61,0,331
UTO,61,0,331
UTT,63,0,331
UTVR,59,0,331
UTZL,56,0,275
VB,47,0,79
VD,137,0,534
VDL,238,0,534
VDM,263,0,495
VEM,121,0,536
VG,110,0,404
VH,21,52.45161290322581,43
VHP,170,0,424
VK,247,0,534
VL,190,0,550
VLB,166,0,859
VNDC,93,0,365
VNDW,92,0,365
VP,121,0,799
VRY,173,0,860
VS,200,26.838709677419356,274
VSS,199,17.677419354838708,274
VST,34,18.322580645161292,135
VSV,158,0,833
VTN,65,0,336
VZ,167,0,635
WAD,54,0,161
WADN,53,0,161
WADT,55,0,161
WC,140,0,428
WD,63,0.03225806451612903,147
WDN,156,0,572
WF,107,0,539
WFM,260,0,497
WH,139,0,575
WK,263,0,423
WL,140,0,816
WM,26,0,64
WP,33,0,273
WR,290,0,506
WS,268,0,497
WSM,252,0,483
WT,166,0.03225806451612903,466
WTV,120,0,798
WV,185,0,403
WW,170,0,548
WWW,169,0,548
WZ,121,0,512
YPB,51,0,82
ZA,118,0,458
ZB,255,0,491
ZBM,93,0,455
ZD,21,0.06451612903225806,21
ZDK,24,0,24
ZH,248,0,482
ZL,130,0,400
ZLSH,135,0,414
ZLW,102,0.06451612903225806,353
ZP,125,0,534
ZTM,56,0,79
ZTMO,57,0,82
ZV,129,0,796
ZVB,110,0.03225806451612903,358
ZVT,8,42.16129032258065,1
ZWD,85,0,350
ZZS,24,0,24
