Station Code,Distance from NKK,Services from/to NKK,Disruptions on path to NKK
AC,56,0.0,346
AH,62,0.0,280
AHP,63,0.0,537
AHPR,65,0.0,537
AHZ,70,0.0,537
AKL,79,0.0,357
AKM,132,0.0,64
ALM,58,0.0,253
ALMB,64,0.0,384
ALMM,57,0.0,252
ALMO,66,0.0,384
ALMP,60,0.0,384
AMF,11,36.83870967741935,0
AMFS,8,35.83870967741935,8
AML,100,0.0,35
AMPO,55,0.0,252
AMR,95,0.0,539
AMRI,102,0.0,105
AMRN,96,0.0,614
ANA,125,0.0,625
APD,54,0.0,240
APDM,55,0.0,275
APDO,57,0.0,275
APG,195,0.0,94
APN,67,0.0,250
ARN,210,0.0,510
ASA,53,0.0,244
ASB,53,0.0,244
ASD,56,0.0,254
ASDL,63,0.0,512
ASDM,52,0.0,240
ASDZ,55,0.0,241
ASHD,54,0.0,258
ASN,133,0.0,14
ASS,60,0.0,512
ASSP,51,0.0,259
ATN,114,0.0,574
AVAT,5,35.83870967741935,0
BD,123,0.0,399
BDE,204,0.0,502
BDG,59,0.0,241
BDM,176,0.0,83
BDPB,128,0.0,722
BET,102,0.0,313
BF,180,0.0,83
BGN,158,0.0,509
BHDV,90,0.0,377
BHV,23,35.483870967741936,244
BK,197,0.0,503
BKF,114,0.0,597
BKG,113,0.0,593
BKL,44,0.0,313
BL,117,0.0,14
BLL,78,0.0,549
BMN,79,0.0,275
BMR,106,0.0,315
BN,109,0.0,105
BNC,30,0.0,241
BNK,40,0.0,313
BNN,27,0.0,240
BNZ,32,0.0,257
BP,174,0.0,31
BR,141,0.0,344
BRD,99,0.0,474
BRN,20,0.0,240
BSD,65,0.0,356
BSK,73,0.0,331
BSKS,74,0.0,354
BSMZ,32,0.0,241
BTL,92,0.0,386
BV,85,0.0,533
BZL,190,0.0,540
CAS,83,0.0,536
CK,96,0.0,312
CL,50,0.0,341
CO,110,0.0,34
CPS,77,0.0,398
CVM,214,0.0,520
DA,97,0.0,24
DB,44,0.0,313
DDN,112,0.0,290
DDR,107,0.0,388
DDRS,104,0.0,388
DDZD,108,0.0,505
DEI,154,0.0,31
DID,81,0.0,537
DL,67,0.0,14
DLD,20,35.483870967741936,240
DLN,114,0.0,48
DMN,49,0.0,258
DMNZ,49,0.0,241
DN,134,0.0,455
DR,78,0.0,537
DRH,83,0.0,550
DRON,87,0.0,14
DRP,161,0.0,45
DT,101,0.0,413
DTC,92,0.0,557
DTCH,90,0.0,557
DTCP,101,0.0,468
DV,69,0.0,240
DVC,73,0.0,275
DVD,51,0.0,241
DVN,71,0.0,539
DVNK,85,0.0,348
DWE,167,0.0,31
DZ,199,0.0,112
DZW,198,0.0,112
EC,177,0.0,500
ED,45,0.0,258
EDC,43,0.0,257
EDN,219,0.0,504
EEM,206,0.0,111
EGH,213,0.0,519
EGHM,214,0.0,519
EHS,111,0.0,389
EHV,112,0.0,389
EKZ,117,0.0,605
EML,12,36.67741935483871,0
EMN,130,0.0,49
EMNZ,126,0.0,48
ES,122,0.0,124
ESK,118,0.0,124
EST,73,0.0,537
ETN,134,0.0,722
FN,167,0.0,31
FWD,164,0.0,31
GBG,103,0.0,34
GD,64,0.967741935483871,313
GDG,61,0.0,313
GDM,58,0.0,313
GDR,97,0.0,574
GERP,159,0.0,67
GK,180,0.0,82
GLN,193,0.0,502
GN,161,0.0,67
GND,93,0.0,377
GNN,165,0.0,82
GO,102,0.0,282
GP,118,0.0,451
GR,84,0.0,375
GS,195,0.0,510
GV,93,0.0,398
GVC,92,0.0,316
GVM,93,0.0,433
GVMW,94,0.0,413
GW,137,0.0,71
GZ,113,0.0,401
HAD,79,0.0,533
HB,204,0.0,533
HBZM,96,0.0,387
HD,16,36.67741935483871,0
HDB,97,0.0,21
HDE,37,36.67741935483871,3
HDG,160,0.0,31
HDR,137,0.0,634
HDRZ,136,0.0,634
HFD,71,0.0,315
HGL,114,0.0,105
HGLG,115,0.0,323
HGLO,116,0.0,124
HGV,103,0.0,14
HGZ,172,0.0,90
HIL,86,0.0,533
HK,82,0.0,572
HKS,109,0.0,589
HLG,176,0.0,32
HLGH,177,0.0,36
HLM,75,0.0,512
HLMS,74,0.0,533
HLO,90,0.0,539
HM,125,0.0,451
HMBH,126,0.0,455
HMBV,122,0.0,451
HMH,124,0.0,451
HMN,87,0.0,551
HN,99,0.0,533
HNK,100,0.0,589
HNO,67,0.0,14
HNP,192,0.0,34
HON,88,0.0,275
HOR,33,0.0,241
HR,121,0.0,71
HRL,208,0.0,502
HRLW,210,0.0,519
HRN,155,0.0,67
HRT,151,0.0,396
HT,80,0.0,313
HTN,40,0.0,313
HTNC,41,0.0,341
HTO,81,0.0,386
HVL,17,0.0,240
HVS,27,0.0,240
HVSM,28,0.0,241
HVSP,28,0.0,241
HWD,102,0.0,615
HWZB,67,0.0,533
HZE,123,0.0,457
IJT,175,0.0,32
KBD,177,0.0,510
KBK,63,0.0,276
KLP,52,0.0,280
KMA,74,0.0,546
KMR,216,0.0,519
KMW,197,0.0,39
KPN,70,0.0,14
KPNZ,70,0.0,14
KRD,216,0.0,530
KRG,184,0.0,510
KTR,82,0.0,356
KW,169,0.0,88
KZ,68,0.0,536
LAA,93,0.0,345
LC,89,0.0,275
LDL,81,0.0,331
LDM,72,0.0,357
LEDN,82,0.0,338
LG,211,0.0,519
LLS,82,0.0,384
LLZM,77,0.0,398
LP,187,0.0,94
LTN,37,0.0,257
LTV,107,0.0,277
LUT,193,0.0,502
LW,150,0.0,14
LWC,153,0.0,31
MAS,39,0.0,313
MDB,214,0.0,537
MES,216,0.0,504
MG,160,0.0,31
MMLH,91,0.0,301
MP,83,0.0,14
MRB,89,0.0,21
MRN,52,0.0,345
MT,210,0.0,502
MTH,170,0.0,90
MTN,213,0.0,504
MTR,211,0.0,504
MZ,133,0.0,462
NDB,33,0.0,241
NH,201,0.0,533
NKK,0,0.0,0
NM,81,0.0,280
NMD,86,0.0,301
NMGO,84,0.0,301
NMH,84,0.0,301
NML,80,0.0,551
NS,28,36.67741935483871,3
NSCH,205,0.0,97
NVD,87,0.0,23
NVP,76,0.0,443
NWK,73,0.0,398
O,99,0.0,386
OBD,108,0.0,533
ODB,138,0.0,510
ODZ,125,0.0,124
OMN,78,0.0,21
OP,86,0.0,359
OST,76,0.0,14
OT,101,0.0,429
OTB,58,0.0,280
OVN,77,0.0,549
OW,98,0.0,386
PMO,81,0.0,512
PMR,80,0.0,533
PMW,79,0.0,536
PT,7,36.67741935483871,0
RAI,54,0.0,244
RAT,73,0.0,14
RB,174,0.0,510
RD,199,0.0,98
RH,72,0.0,538
RHN,75,0.0,348
RL,94,0.0,277
RLB,95,0.0,468
RM,164,0.0,451
RS,87,0.0,386
RSD,145,0.0,505
RSN,95,0.0,275
RSW,96,0.0,413
RTA,78,0.967741935483871,398
RTB,89,0.0,468
RTD,88,0.967741935483871,398
RTN,83,0.0,400
RTST,93,0.0,468
RTZ,92,0.0,468
RV,155,0.0,416
RVS,97,0.0,537
SBK,196,0.0,532
SD,24,0.0,254
SDA,188,0.0,88
SDM,92,0.0,468
SDT,97,0.0,387
SDTB,100,0.0,388
SGL,220,0.0,518
SGN,116,0.0,625
SHL,66,0.0,315
SK,172,0.0,31
SKND,171,0.0,31
SM,161,0.0,430
SN,198,0.0,533
SOG,218,0.0,519
SPTN,82,0.0,549
SPTZ,80,0.0,549
SRN,182,0.0,529
SSH,87,0.0,443
ST,25,0.0,254
STD,189,0.0,500
STM,183,0.0,94
STV,201,0.0,39
STZ,26,0.0,244
SWD,172,0.0,82
SWK,97,0.0,64
TB,102,0.0,386
TBG,98,0.0,574
TBR,107,0.0,399
TBU,103,0.0,399
TG,148,0.0,397
TL,70,0.0,356
TPSW,68,0.0,356
TWL,64,0.0,275
UHM,196,0.0,98
UHZ,193,0.0,98
UST,188,0.0,97
UT,32,36.516129032258064,240
UTG,79,0.0,571
UTLN,36,0.0,313
UTLR,35,0.0,313
UTO,29,35.483870967741936,240
UTT,37,0.0,313
UTVR,33,0.0,313
UTZL,34,0.0,313
VB,89,0.0,398
VD,84,0.0,275
VDL,212,0.0,519
VDM,188,0.0,95
VEM,68,0.0,277
VG,84,0.0,386
VH,90,0.0,348
VHP,95,0.0,24
VK,221,0.0,519
VL,143,0.0,396
VLB,113,0.0,343
VNDC,67,0.0,347
VNDW,66,0.0,347
VP,68,0.0,538
VRY,120,0.0,344
VS,220,0.0,537
VSS,219,0.0,510
VST,87,0.0,433
VSV,105,0.0,574
VTN,39,0.0,318
VZ,102,0.0,25
WAD,72,0.0,398
WADN,73,0.0,398
WADT,71,0.0,398
WC,90,0.0,537
WD,48,0.0,240
WDN,95,0.0,35
WF,54,0.0,280
WFM,185,0.0,97
WH,69,0.0,14
WK,188,0.0,34
WL,87,0.0,557
WM,72,0.0,536
WP,42,0.0,252
WR,215,0.0,106
WS,193,0.0,97
WSM,177,0.0,83
WT,140,0.0,451
WTV,67,0.0,539
WV,110,0.0,14
WW,117,0.0,289
WWW,116,0.0,289
WZ,46,36.67741935483871,16
YPB,85,0.0,316
ZA,84,0.0,551
ZB,180,0.0,91
ZBM,67,0.0,356
ZD,66,0.0,533
ZDK,69,0.0,536
ZH,173,0.0,82
ZL,55,36.67741935483871,0
ZLSH,60,0.0,14
ZLW,122,0.0,505
ZP,72,0.0,275
ZTM,80,0.0,313
ZTMO,79,0.0,398
ZV,76,0.0,537
ZVB,130,0.0,510
ZVT,83,0.0,549
ZWD,106,0.0,573
ZZS,69,0.0,536
