Station Code,Distance from ANA,Services from/to ANA,Disruptions on path to ANA
AC,84,0.1612903225806451,385
AH,165,32.903225806451616,652
AHP,166,0.0,909
AHPR,168,0.0,911
AHZ,173,0.8064516129032258,909
AKL,155,0.0,569
AKM,257,0.0,523
ALM,99,0.0,371
ALMB,105,0.0,502
ALMM,98,0.0,392
ALMO,107,0.0,502
ALMP,101,0.0,502
AMF,114,0.0,372
AMFS,117,0.0,612
AML,211,0.0,678
AMPO,96,0.0,392
AMR,30,37.29032258064516,11
AMRI,213,0.0,748
AMRN,29,37.29032258064516,10
ANA,0,0.0,0
APD,157,0.0,612
APDM,158,0.0,647
APDO,160,0.0,647
APG,320,0.0,607
APN,109,0.0,222
ARN,255,0.0,437
ASA,75,34.54838709677419,371
ASB,79,0.3870967741935484,371
ASD,69,36.83870967741935,113
ASDL,68,0.0,113
ASDM,73,0.1612903225806451,371
ASDZ,81,0.0,371
ASHD,80,0.1612903225806451,385
ASN,258,0.0,527
ASS,65,36.83870967741935,92
ASSP,74,0.0,385
ATN,217,0.0,946
AVAT,120,0.0,618
BD,182,0.0,401
BDE,280,0.0,631
BDG,117,0.0,303
BDM,301,0.0,596
BDPB,177,0.0,523
BET,178,0.0,560
BF,305,0.0,596
BGN,203,0.0,406
BHDV,166,0.0,589
BHV,117,0.0,444
BK,273,0.0,631
BKF,55,0.0,74
BKG,54,0.0,70
BKL,106,0.1612903225806451,388
BL,242,0.0,521
BLL,62,0.0,110
BMN,182,0.0,647
BMR,209,0.0,944
BN,220,0.0,748
BNC,133,0.0,613
BNK,116,0.1612903225806451,444
BNN,130,0.0,612
BNZ,135,0.0,629
BP,299,0.0,533
BR,238,0.0,611
BRD,143,0.0,416
BRN,105,0.0,372
BSD,141,0.0,568
BSK,115,0.0,303
BSKS,116,0.0,326
BSMZ,93,0.0,403
BTL,168,0.0,517
BV,52,0.0967741935483871,90
BZL,235,0.0,437
CAS,42,36.83870967741935,86
CK,199,0.0,941
CL,126,0.0,472
CO,235,0.0,547
CPS,140,0.0,411
CVM,290,0.0,648
DA,222,0.0,748
DB,120,33.064516129032256,444
DDN,215,0.0,662
DDR,152,0.0,401
DDRS,155,0.0,518
DDZD,153,0.0,518
DEI,279,0.0,533
DID,184,0.0,909
DL,192,0.0,527
DLD,117,0.0,386
DLN,239,0.0,561
DMN,76,0.0,385
DMNZ,79,0.0,411
DN,210,0.0,583
DR,181,0.0,909
DRH,57,0.0,108
DRON,148,0.0,516
DRP,286,0.0,547
DT,118,0.0,230
DTC,195,0.0,929
DTCH,193,0.0,929
DTCP,119,0.0,331
DV,172,0.0,612
DVC,176,0.0,678
DVD,77,0.3548387096774194,408
DVN,174,0.0,911
DVNK,97,0.0,215
DWE,292,0.0,533
DZ,324,0.0,625
DZW,323,0.0,625
EC,253,0.0,628
ED,148,32.903225806451616,630
EDC,146,0.0,629
EDN,295,0.0,632
EEM,331,0.0,624
EGH,289,0.0,647
EGHM,290,0.0,647
EHS,187,0.0,636
EHV,188,1.1612903225806452,517
EKZ,58,0.0,82
EML,137,0.0,615
EMN,255,0.0,562
EMNZ,251,0.0,561
ES,228,0.0,714
ESK,224,0.0,714
EST,176,0.8387096774193549,909
ETN,193,0.0,724
FN,292,0.0,533
FWD,289,0.0,533
GBG,228,0.0,547
GD,127,0.0,326
GDG,130,0.0,411
GDM,134,0.0,525
GDR,200,0.0,946
GERP,284,0.0,580
GK,305,0.0,595
GLN,269,0.0,630
GN,286,0.0,580
GND,166,0.0,521
GNN,290,0.0,595
GO,205,0.0,654
GP,194,0.0,579
GR,160,0.0,587
GS,240,0.0,437
GV,110,0.0,215
GVC,109,0.0,215
GVM,105,0.0,300
GVMW,111,0.0,230
GW,262,0.0,523
GZ,189,0.0,532
HAD,69,0.0,165
HB,280,0.0,661
HBZM,163,0.0,521
HD,141,0.0,615
HDB,222,0.0,534
HDE,162,0.0,612
HDG,285,0.0,533
HDR,12,38.83870967741935,0
HDRZ,11,38.83870967741935,0
HFD,85,0.0,163
HGL,220,0.0,695
HGLG,218,0.0,695
HGLO,222,0.0,714
HGV,228,0.0,516
HGZ,297,0.0,603
HIL,76,0.0,205
HK,49,0.0,90
HKS,50,0.0,66
HLG,301,0.0,534
HLGH,302,0.0,538
HLM,65,0.0967741935483871,128
HLMS,66,0.0,165
HLO,35,35.67741935483871,86
HM,201,0.0,579
HMBH,202,0.0,583
HMBV,198,0.0,579
HMH,200,0.0,579
HMN,165,0.0,571
HN,40,2.548387096774193,10
HNK,41,0.0,66
