Station Code,Distance from WF,Services from/to WF,Disruptions on path to WF
DLD,52,0.0,280
DLN,136,0.0,427
DMN,81,0.0,298
DMNZ,81,0.0,298
DN,115,0.0,373
DR,24,0.0,257
DRH,115,0.0,595
DRON,116,0.0,350
DRP,190,0.0,381
DT,119,0.0,195
DTC,38,0.0,277
DTCH,36,0.0,277
DTCP,119,0.0,250
DV,53,0.0,260
DVC,57,0.0,326
DVD,81,0.0,95
DVN,17,0.0,259
DVNK,103,0.0,203
DWE,196,0.0,367
DZ,228,0.0,448
DZW,227,0.0,448
EC,125,0.0,456
ED,9,27.70967741935484,0
EDC,11,0.0,22
EDN,167,0.0,460
EEM,235,0.0,447
EGH,161,0.0,475
EGHM,162,0.0,475
EHS,101,0.0,491
EHV,102,0.0,372
EKZ,149,0.0,632
EML,66,0.0,283
EMN,152,0.0,428
EMNZ,148,0.0,427
ES,90,0.0,327
ESK,86,0.0,327
EST,19,0.0,257
ETN,124,0.0,708
FN,196,0.0,367
FWD,193,0.0,367
GBG,125,0.0,413
GD,82,0.0,95
GDG,79,0.0,95
GDM,64,0.0,274
GDR,43,0.0,294
GERP,188,0.0,403
GK,209,0.0,418
GLN,141,0.0,458
GN,190,0.0,403
GND,99,0.0,338
GNN,194,0.0,418
GO,67,0.0,267
GP,108,0.0,434
GR,90,0.0,336
GS,187,0.0,744
GV,111,0.0,180
GVC,110,0.0,180
GVM,111,0.0,288
GVMW,112,0.0,195
GW,166,0.0,357
GZ,103,0.0,387
HAD,111,0.0,576
HB,152,0.0,489
HBZM,102,0.0,348
HD,70,0.0,283
HDB,119,0.0,400
HDE,91,0.0,280
HDG,189,0.0,367
HDR,169,0.032258064516129,661
HDRZ,168,0.032258064516129,661
HFD,101,0.0,159
HGL,82,0.0,308
HGLG,80,0.0,308
HGLO,84,0.0,327
HGV,132,0.0,350
HGZ,201,0.0,426
HIL,118,0.0,203
HK,114,0.0,599
HKS,141,0.0,616
HLG,205,0.0,368
HLGH,206,0.0,372
HLM,107,0.0,539
HLMS,106,0.0,560
HLO,122,0.032258064516129,566
HM,115,0.0,434
HMBH,116,0.0,438
HMBV,112,0.0,434
HMH,114,0.0,434
HMN,33,0.0,271
HN,131,0.0,560
HNK,132,0.0,616
HNO,96,0.0,350
HNP,221,0.0,370
HON,72,0.0,326
HOR,62,0.0,95
HR,150,0.0,350
HRL,156,0.0,458
HRLW,158,0.0,475
HRN,184,0.0,403
HRT,97,0.0,373
HT,70,0.0,299
HTN,56,0.0,98
HTNC,57,0.0,126
HTO,69,0.0,299
HVL,37,0.0,40
HVS,59,0.0,280
HVSM,60,0.0,281
HVSP,60,0.0,281
HWD,134,0.032258064516129,642
HWZB,99,0.0,560
HZE,113,0.0,440
IJT,204,0.0,368
KBD,169,0.0,744
KBK,46,0.0,260
KLP,16,0.0,22
KMA,106,0.0,573
KMR,164,0.0,475
KMW,226,0.0,375
KPN,99,0.0,350
KPNZ,99,0.0,350
