Station Code,distance_HON,services_per_day_HON,n_of_disruptions_HON
TB,148,0,441
TBG,98,0,115
TBR,153,0,454
TBU,149,0,454
TG,150,0,443
TL,108,0,343
TPSW,110,0,343
TWL,24,27.903225806451612,66
UHM,191,0,174
UHZ,188,0,174
UST,183,0,173
UT,98,0,306
UTG,145,0,624
UTLN,102,0,379
UTLR,101,0,379
UTO,95,0,330
UTT,103,0,379
UTVR,99,0,379
UTZL,100,0,379
VB,155,0,464
VD,47,0,66
VDL,216,0,544
VDM,183,0,171
VEM,39,0,66
VG,130,0,441
VH,156,0,414
VHP,33,0,78
VK,225,0,544
VL,145,0,442
VLB,115,0,389
VNDC,133,0,413
VNDW,132,0,413
VP,58,0,72
VRY,122,0,390
VS,268,0,815
VSS,267,0,815
VST,153,0,499
VSV,101,0,99
VTN,105,0,384
VZ,26,0,77
WAD,138,0,464
WADN,139,0,464
WADT,137,0,464
WC,92,0,326
WD,114,0,306
WDN,15,30.612903225806452,7
WF,72,0,326
WFM,180,0,173
WH,36,0,76
WK,183,0,110
WL,87,0,98
WM,138,0,589
WP,108,0,318
WR,210,0,182
WS,188,0,173
WSM,172,0,159
WT,186,0,503
WTV,67,0,75
WV,105,0,90
WW,80,0,80
WWW,79,0,80
WZ,59,0,90
YPB,151,0,464
ZA,86,0,340
ZB,175,0,167
ZBM,129,0,386
ZD,132,0,586
ZDK,135,0,589
ZH,168,0,158
ZL,50,0,76
ZLSH,55,0,90
ZLW,184,0,795
ZP,35,1.6774193548387097,66
ZTM,146,0,464
ZTMO,145,0,464
ZV,76,0,78
ZVB,192,0,800
ZVT,149,0,603
ZWD,171,0,537
ZZS,135,0,589
