Station Code,Distance from DA,Services from/to DA,Disruptions on path to DA
AC,153,0.0,482
AH,95,0.0,139
AHP,94,0.0,143
AHPR,92,0.0,142
AHZ,103,0.0,396
AKL,172,0.0,457
AKM,119,0.0,74
ALM,123,0.0,35
ALMB,117,0.0,35
ALMM,124,0.0,166
ALMO,115,0.0,24
ALMP,121,0.0,40
AMF,108,0.0,136
AMFS,105,0.0,24
AML,11,25.451612903225808,0
AMPO,126,0.0,167
AMR,192,0.0,675
AMRI,13,0.0,70
AMRN,193,0.0,750
ANA,222,0.0,761
APD,65,0.0,136
APDM,66,0.0,171
APDO,62,0.0,136
APG,182,0.0,104
APN,164,0.0,386
ARN,289,0.0,852
ASA,150,0.0,380
ASB,150,0.0,380
ASD,153,0.0,390
ASDL,160,0.0,648
ASDM,149,0.0,376
ASDZ,152,0.0,377
ASHD,151,0.0,394
ASN,120,0.0,24
ASS,157,0.0,648
ASSP,148,0.0,395
ATN,123,0.0,150
AVAT,102,0.0,30
BD,200,0.0,524
BDE,239,0.0,597
BDG,156,0.0,377
BDM,163,0.0,93
BDPB,205,0.0,847
BET,179,0.0,511
BF,167,0.0,93
BGN,237,0.0,852
BHDV,183,0.0,477
BHV,120,0.0,380
BK,232,0.0,598
BKF,211,0.0,733
BKG,210,0.0,729
BKL,141,0.0,449
BL,104,0.0,24
BLL,175,0.0,685
BMN,73,0.0,136
BMR,139,0.0,431
BN,20,0.0,70
BNC,127,0.0,377
BNK,137,0.0,449
BNN,124,0.0,376
BNZ,125,0.0,419
BP,161,0.0,41
BR,174,0.0,460
BRD,196,0.0,610
BRN,117,0.0,376
BSD,158,0.0,456
BSK,170,0.0,467
BSKS,171,0.0,490
BSMZ,129,0.0,377
BTL,169,0.0,511
BV,182,0.0,669
BZL,269,0.0,883
CAS,180,0.0,672
CK,129,0.0,428
CL,147,0.0,477
CO,29,0.0,16
CPS,174,0.0,534
CVM,249,0.0,615
DA,0,0.0,0
DB,141,0.0,449
DDN,30,0.0,89
DDR,200,0.0,488
DDRS,197,0.0,488
DDZD,201,0.0,605
DEI,141,0.0,41
DID,112,0.0,148
DL,30,0.0,3
DLD,117,0.0,376
DLN,33,0.0,30
DMN,146,0.0,394
DMNZ,146,0.0,377
DN,202,0.0,512
DR,79,0.0,136
DRH,180,0.0,686
DRON,74,0.0,24
DRP,148,0.0,55
DT,198,0.0,549
DTC,123,0.0,168
DTCH,121,0.0,168
DTCP,198,0.0,604
DV,50,0.0,70
DVC,46,0.0,77
DVD,148,0.0,377
DVN,102,0.0,145
DVNK,182,0.0,484
DWE,154,0.0,41
DZ,186,0.0,122
DZW,185,0.0,122
EC,212,0.0,595
ED,112,0.0,396
EDC,114,0.0,418
EDN,254,0.0,599
EEM,193,0.0,121
EGH,248,0.0,614
EGHM,249,0.0,614
EHS,188,0.0,587
EHV,189,0.0,511
EKZ,214,0.0,741
EML,85,0.0,27
EMN,49,0.0,31
EMNZ,45,0.0,30
ES,33,0.0,89
ESK,29,0.0,89
EST,106,0.0,396
ETN,211,0.0,847
FN,154,0.0,41
FWD,151,0.0,41
GBG,22,0.0,16
GD,161,0.0,449
GDG,158,0.0,449
GDM,151,0.0,413
GDR,128,0.0,185
GERP,146,0.0,77
GK,167,0.0,92
GLN,228,0.0,597
GN,148,0.0,77
GND,186,0.0,477
GNN,152,0.0,92
GO,40,0.0,122
GP,195,0.0,573
GR,177,0.0,475
GS,274,0.0,852
GV,190,0.0,534
GVC,189,0.0,452
GVM,190,0.0,569
GVMW,191,0.0,549
GW,124,0.0,81
GZ,190,0.0,526
HAD,176,0.0,669
HB,239,0.0,628
HBZM,189,0.0,487
HD,81,0.0,24
HDB,16,23.580645161290324,3
HDE,60,0.0,24
HDG,147,0.0,41
HDR,234,0.0,770
HDRZ,233,0.0,770
HFD,168,0.0,451
HGL,25,0.0,70
HGLG,27,0.0,89
HGLO,27,0.0,89
HGV,90,0.0,24
HGZ,159,0.0,100
HIL,183,0.0,669
HK,179,0.0,708
HKS,206,0.0,725
HLG,163,0.0,42
HLGH,164,0.0,46
HLM,172,0.0,648
HLMS,171,0.0,669
HLO,187,0.0,675
HM,202,0.0,554
HMBH,203,0.0,558
HMBV,199,0.0,573
HMH,201,0.0,573
HMN,120,0.0,410
HN,196,0.0,669
HNK,197,0.0,725
HNO,44,0.0,82
HNP,179,0.0,44
HON,31,0.0,77
HOR,130,0.0,377
HR,108,0.0,81
HRL,243,0.0,597
HRLW,245,0.0,614
HRN,142,0.0,77
HRT,184,0.0,512
HT,157,0.0,438
HTN,137,0.0,449
HTNC,138,0.0,477
HTO,156,0.0,438
HVL,114,0.0,376
HVS,124,0.0,376
HVSM,125,0.0,377
HVSP,125,0.0,377
HWD,199,0.0,751
HWZB,164,0.0,669
HZE,200,0.0,579
IJT,162,0.0,42
KBD,256,0.0,852
KBK,74,0.0,172
KLP,119,0.0,418
KMA,171,0.0,682
KMR,251,0.0,614
KMW,184,0.0,49
KPN,57,0.0,24
KPNZ,57,0.0,24
KRD,251,0.0,625
KRG,263,0.0,852
KTR,127,0.0,410
KW,156,0.0,98
KZ,165,0.0,672
LAA,190,0.0,481
LC,53,0.0,130
LDL,178,0.0,467
LDM,165,0.0,457
LEDN,179,0.0,474
LG,246,0.0,614
LLS,99,0.0,24
LLZM,174,0.0,534
LP,174,0.0,104
LTN,120,0.0,419
LTV,101,0.0,138
LUT,228,0.0,597
LW,137,0.0,24
LWC,140,0.0,41
MAS,136,0.0,449
MDB,293,0.0,879
MES,251,0.0,599
MG,147,0.0,41
MMLH,124,0.0,417
MP,70,0.0,24
MRB,8,25.32258064516129,0
MRN,149,0.0,481
MT,245,0.0,597
MTH,157,0.0,100
MTN,248,0.0,599
MTR,246,0.0,599
MZ,210,0.0,584
NDB,130,0.0,377
NH,236,0.0,628
NKK,97,0.0,27
NM,114,0.0,396
NMD,119,0.0,417
NMGO,117,0.0,417
NMH,117,0.0,417
NML,113,0.0,410
NS,69,0.0,24
NSCH,192,0.0,107
NVD,24,0.0,70
NVP,173,0.0,579
NWK,170,0.0,534
O,138,0.0,417
OBD,205,0.0,669
ODB,231,0.0,852
ODZ,36,0.0,89
OMN,19,0.0,3
OP,123,0.0,410
OST,60,0.0,136
OT,178,0.0,554
OTB,99,0.0,396
OVN,174,0.0,685
OW,139,0.0,438
PMO,178,0.0,648
PMR,177,0.0,669
PMW,176,0.0,672
PT,90,0.0,24
RAI,151,0.0,380
RAT,38,0.0,82
RB,253,0.0,883
RD,186,0.0,108
RH,85,0.0,139
RHN,172,0.0,484
RL,88,0.0,138
RLB,192,0.0,604
RM,199,0.0,546
RS,150,0.0,438
RSD,224,0.0,847
RSN,24,0.0,70
RSW,193,0.0,549
RTA,175,0.0,534
RTB,186,0.0,604
RTD,185,0.0,534
RTN,180,0.0,536
RTST,190,0.0,604
RTZ,189,0.0,604
RV,188,0.0,532
RVS,130,0.0,396
SBK,231,0.0,627
SD,121,0.0,390
SDA,175,0.0,98
SDM,189,0.0,604
SDT,190,0.0,487
SDTB,193,0.0,488
SGL,255,0.0,613
SGN,213,0.0,761
SHL,163,0.0,451
SK,159,0.0,41
SKND,158,0.0,41
SM,194,0.0,546
SN,233,0.0,628
SOG,253,0.0,614
SPTN,179,0.0,685
SPTZ,177,0.0,685
SRN,217,0.0,624
SSH,184,0.0,579
ST,122,0.0,390
STD,224,0.0,595
STM,170,0.0,104
STV,188,0.0,49
STZ,123,0.0,380
SWD,159,0.0,92
SWK,84,0.0,74
TB,179,0.0,511
TBG,129,0.0,185
TBR,184,0.0,524
TBU,180,0.0,524
TG,181,0.0,513
TL,139,0.0,413
TPSW,141,0.0,413
TWL,55,0.0,136
UHM,183,0.0,108
UHZ,180,0.0,108
UST,175,0.0,107
UT,129,0.0,376
UTG,176,0.0,707
UTLN,133,0.0,449
UTLR,132,0.0,449
UTO,126,0.0,376
UTT,134,0.0,449
UTVR,130,0.0,449
UTZL,131,0.0,449
VB,186,0.0,534
VD,78,0.0,136
VDL,247,0.0,614
VDM,175,0.0,105
VEM,70,0.0,136
VG,161,0.0,511
VH,187,0.0,484
VHP,2,25.32258064516129,0
VK,256,0.0,614
VL,176,0.0,512
VLB,146,0.0,459
VNDC,164,0.0,483
VNDW,163,0.0,483
VP,89,0.0,142
VRY,153,0.0,460
VS,299,0.0,879
VSS,298,0.0,852
VST,184,0.0,569
VSV,132,0.0,169
VTN,136,0.0,454
VZ,5,25.451612903225808,0
WAD,169,0.0,534
WADN,170,0.0,534
WADT,168,0.0,534
WC,123,0.0,396
WD,145,0.0,376
WDN,16,0.0,70
WF,103,0.0,396
WFM,172,0.0,107
WH,56,0.0,24
WK,175,0.0,44
WL,118,0.0,168
WM,169,0.0,672
WP,139,0.0,388
WR,202,0.0,116
WS,180,0.0,107
WSM,164,0.0,93
WT,217,0.0,554
WTV,98,0.0,145
WV,97,0.0,24
WW,111,0.0,150
WWW,110,0.0,150
WZ,51,0.0,24
YPB,182,0.0,452
ZA,117,0.0,410
ZB,167,0.0,101
ZBM,160,0.0,456
ZD,163,0.0,669
ZDK,166,0.0,672
ZH,160,0.0,92
ZL,42,0.0,10
ZLSH,47,0.0,24
ZLW,215,0.0,865
ZP,66,0.0,136
ZTM,177,0.0,449
ZTMO,176,0.0,534
ZV,107,0.0,148
ZVB,223,0.0,870
ZVT,180,0.0,685
ZWD,202,0.0,605
ZZS,166,0.0,672
