Station Code,distance_HLG,services_per_day_HLG,n_of_disruptions_HLG
UTVR,209,0,345
UTZL,210,0,345
VB,265,0,430
VD,180,0,108
VDL,349,0,586
VDM,111,0,84
VEM,172,0,108
VG,260,0,418
VH,266,0,380
VHP,161,0,42
VK,358,0,586
VL,278,0,484
VLB,248,0,431
VNDC,243,0,379
VNDW,242,0,379
VP,191,0,114
VRY,255,0,432
VS,396,0,658
VSS,395,0,658
VST,263,0,465
VSV,234,0,141
VTN,215,0,350
VZ,168,0,43
WAD,248,0,430
WADN,249,0,430
WADT,247,0,430
WC,225,0,368
WD,224,0,272
WDN,161,0,44
WF,205,0,368
WFM,104,0,71
WH,135,0,32
WK,64,0,21
WL,220,0,140
WM,248,0,445
WP,218,0,164
WR,138,0,95
WS,116,0,86
WSM,96,0,57
WT,316,0,480
WTV,200,0,117
WV,66,0,18
WW,213,0,122
WWW,212,0,122
WZ,130,0,32
YPB,261,0,430
ZA,219,0,382
ZB,103,0,80
ZBM,243,0,469
ZD,242,0,442
ZDK,245,0,445
ZH,68,0,18
ZL,121,0,18
ZLSH,126,0,32
ZLW,298,0,620
ZP,168,0,108
ZTM,256,0,430
ZTMO,255,0,430
ZV,209,0,120
ZVB,306,0,625
ZVT,259,0,459
ZWD,282,0,614
ZZS,245,0,445
