Station Code,Distance from DID,Services from/to DID,Disruptions on path to DID
AC,101,0.0,366
AH,19,55.483870967741936,0
AHP,18,55.483870967741936,3
AHPR,20,0.0,5
AHZ,27,0.0,257
AKL,96,0.0,318
AKM,170,0.0,152
ALM,117,0.0,550
ALMB,123,0.0,681
ALMM,116,0.0,549
ALMO,125,0.0,681
ALMP,119,0.0,681
AMF,70,0.0,297
AMFS,73,0.0,537
AML,101,0.0,78
AMPO,114,0.0,549
AMR,154,0.0,823
AMRI,103,0.0,148
AMRN,155,0.0,898
ANA,184,0.0,909
APD,64,0.0,12
APDM,63,0.0,13
APDO,67,0.0,47
APG,233,0.0,182
APN,112,0.0,340
ARN,213,0.0,744
ASA,110,0.0,330
ASB,106,0.0,330
ASD,115,0.0,538
ASDL,122,0.0,817
ASDM,111,0.0,556
ASDZ,112,0.0,333
ASHD,107,0.0,344
ASN,171,0.0,102
ASS,119,0.0,796
ASSP,110,0.0,556
ATN,33,35.54838709677419,17
AVAT,76,0.0,543
BD,124,0.0,385
BDE,163,0.0,459
BDG,104,0.0,331
BDM,214,0.0,171
BDPB,129,0.0,708
BET,103,0.0,415
BF,218,0.0,171
BGN,161,0.0,713
BHDV,107,0.0,338
BHV,82,0.0,541
BK,156,0.0,459
BKF,173,0.0,881
BKG,172,0.0,877
BKL,89,0.0,333
BL,155,0.0,107
BLL,137,0.0,833
BMN,39,0.0,12
BMR,63,0.0,292
BN,96,0.0,79
BNC,51,0.0,280
BNK,69,0.0,311
BNN,54,0.0,296
BNZ,49,0.0,280
BP,212,0.0,119
BR,98,0.0,321
BRD,133,0.0,468
BRN,79,0.0,537
BSD,82,0.0,317
BSK,118,0.0,421
BSKS,119,0.0,444
BSMZ,91,0.0,538
BTL,93,0.0,372
BV,144,0.0,856
BZL,193,0.0,744
CAS,142,0.0,820
CK,53,0.0,289
CL,83,0.0,317
CO,141,0.0,165
CPS,122,0.0,415
CVM,173,0.0,476
DA,112,0.0,148
DB,65,0.0,279
DDN,86,0.0,27
DDR,124,0.0,351
DDRS,121,0.0,349
DDZD,125,0.0,468
DEI,192,0.0,119
DID,0,0.0,0
DL,105,0.0,102
DLD,79,0.0,537
DLN,145,0.0,179
DMN,108,0.0,555
DMNZ,108,0.0,555
DN,126,0.0,373
DR,33,0.0,9
DRH,142,0.0,852
DRON,125,0.0,102
DRP,199,0.0,133
DT,146,0.0,430
DTC,11,57.83870967741935,0
DTCH,9,57.83870967741935,0
DTCP,146,0.0,485
DV,62,0.0,12
DVC,66,0.0,78
DVD,108,0.0,330
DVN,10,55.483870967741936,0
DVNK,130,0.0,438
DWE,205,0.0,119
DZ,237,0.0,200
DZW,236,0.0,200
EC,136,0.0,456
ED,36,0.0,257
EDC,38,0.0,279
EDN,178,0.0,460
EEM,244,0.0,199
EGH,172,0.0,475
EGHM,173,0.0,475
EHS,112,0.0,491
EHV,113,0.0,372
EKZ,176,0.0,889
EML,93,0.0,540
EMN,161,0.0,180
EMNZ,157,0.0,179
ES,99,0.0,79
ESK,95,0.0,79
EST,30,0.0,257
ETN,135,0.0,708
FN,205,0.0,119
FWD,202,0.0,119
GBG,134,0.0,165
GD,109,0.0,330
GDG,106,0.0,330
GDM,75,0.0,274
GDR,16,36.354838709677416,17
GERP,197,0.0,155
GK,218,0.0,170
GLN,152,0.0,458
GN,199,0.0,155
GND,110,0.0,338
GNN,203,0.0,170
GO,76,0.0,19
GP,119,0.0,434
GR,101,0.0,336
GS,198,0.0,744
GV,138,0.0,415
GVC,137,0.0,415
GVM,138,0.0,523
GVMW,139,0.0,430
GW,175,0.0,159
GZ,114,0.0,387
HAD,138,0.0,833
HB,163,0.0,489
HBZM,113,0.0,348
HD,97,0.0,540
HDB,128,0.0,152
HDE,111,0.0,102
HDG,198,0.0,119
HDR,196,0.0,918
HDRZ,195,0.0,918
HFD,128,0.0,394
HGL,91,0.0,60
HGLG,89,0.0,60
HGLO,93,0.0,79
HGV,141,0.0,102
HGZ,210,0.0,178
HIL,145,0.0,438
HK,141,0.0,856
HKS,168,0.0,873
HLG,214,0.0,120
HLGH,215,0.0,124
HLM,134,0.0,796
HLMS,133,0.0,817
HLO,149,0.0,823
HM,126,0.0,434
HMBH,127,0.0,438
HMBV,123,0.0,434
HMH,125,0.0,434
HMN,44,0.0,271
HN,158,0.0,817
HNK,159,0.0,873
HNO,105,0.0,102
HNP,230,0.0,122
HON,81,0.0,78
HOR,89,0.0,330
HR,159,0.0,102
HRL,167,0.0,458
HRLW,169,0.0,475
HRN,193,0.0,155
HRT,108,0.0,373
HT,81,0.0,299
HTN,83,0.0,355
HTNC,84,0.0,383
HTO,80,0.0,299
HVL,64,0.0,297
HVS,86,0.0,537
HVSM,87,0.0,538
HVSP,87,0.0,538
HWD,161,0.0,899
HWZB,126,0.0,817
HZE,124,0.0,440
IJT,213,0.0,120
KBD,180,0.0,744
KBK,55,0.0,12
KLP,43,0.0,279
KMA,133,0.0,830
KMR,175,0.0,475
KMW,235,0.0,127
KPN,108,0.0,102
KPNZ,108,0.0,102
KRD,175,0.0,486
KRG,187,0.0,744
KTR,51,0.0,271
KW,207,0.0,176
KZ,127,0.0,820
LAA,138,0.0,444
LC,63,0.0,12
LDL,126,0.0,421
LDM,89,0.0,318
LEDN,127,0.0,428
LG,170,0.0,475
LLS,141,0.0,681
LLZM,122,0.0,415
LP,225,0.0,182
LTN,44,0.0,280
LTV,55,0.0,36
LUT,152,0.0,458
LW,188,0.0,102
LWC,191,0.0,119
MAS,84,0.0,330
MDB,217,0.0,744
MES,175,0.0,460
MG,198,0.0,119
MMLH,48,0.0,278
MP,121,0.0,102
MRB,120,0.0,149
MRN,73,0.0,311
MT,169,0.0,458
MTH,208,0.0,178
MTN,172,0.0,460
MTR,170,0.0,460
MZ,134,0.0,445
NDB,92,0.0,538
NH,160,0.0,489
NKK,81,0.0,537
NM,38,0.0,257
NMD,43,0.0,278
NMGO,41,0.0,278
NMH,41,0.0,278
NML,37,0.0,271
NS,109,0.0,537
NSCH,243,0.0,185
NVD,104,0.0,85
NVP,133,0.0,522
NWK,118,0.0,415
O,62,0.0,278
OBD,167,0.0,909
ODB,155,0.0,713
ODZ,102,0.0,79
OMN,116,0.0,109
OP,47,0.0,271
OST,72,0.0,78
