Station Code,Distance from NMH,Services from/to NMH,Disruptions on path to NMH
AC,104,0.0,384
AH,22,0.0,21
AHP,23,0.0,278
AHPR,25,0.0,278
AHZ,14,0.0,35
AKL,77,0.0,82
AKM,175,0.0,421
ALM,120,0.0,314
ALMB,126,0.0,445
ALMM,119,0.0,313
ALMO,128,0.0,445
ALMP,122,0.0,445
AMF,73,0.0,61
AMFS,76,0.0,301
AML,106,0.0,347
AMPO,117,0.0,313
AMR,157,0.0,600
AMRI,108,0.0,417
AMRN,158,0.0,675
ANA,187,0.0,686
APD,69,0.0,281
APDM,68,0.0,282
APDO,72,0.0,316
APG,238,0.0,451
APN,115,0.0,361
ARN,178,0.0,456
ASA,113,0.0,351
ASB,109,0.0,351
ASD,118,0.0,315
ASDL,125,0.0,573
ASDM,114,0.0,301
ASDZ,115,0.0,365
ASHD,108,0.0,511
ASN,176,0.0,371
ASS,122,0.0,573
ASSP,113,0.0,320
ATN,74,0.0,315
AVAT,79,0.0,307
BD,89,0.0,128
BDE,122,0.0,180
BDG,107,0.0,352
BDM,219,0.0,440
BDPB,94,0.0,451
BET,68,0.0,115
BF,223,0.0,440
BGN,126,0.0,456
BHDV,88,0.0,102
BHV,85,0.0,305
BK,115,0.0,181
BKF,176,0.0,658
BKG,175,0.0,654
BKL,92,0.0,351
BL,160,0.0,371
BLL,140,0.0,610
BMN,44,0.0,281
BMR,22,47.2258064516129,14
BN,101,0.0,348
BNC,54,0.0,44
BNK,72,0.0,75
BNN,57,0.0,60
BNZ,52,0.0,44
BP,217,0.0,388
BR,57,39.0,43
BRD,114,0.0,230
BRN,82,0.0,301
BSD,63,0.0,81
BSK,121,0.0,442
BSKS,122,0.0,465
BSMZ,94,0.0,302
BTL,58,0.0,115
BV,147,0.0,594
BZL,158,0.0,487
CAS,145,0.0,597
CK,12,47.2258064516129,11
CL,64,0.0,81
CO,146,0.0,434
CPS,125,0.0,436
CVM,132,0.0,198
DA,117,0.0,417
DB,68,0.0,43
DDN,91,0.0,296
DDR,105,0.0,113
DDRS,102,0.0,113
DDZD,106,0.0,230
DEI,197,0.0,388
DID,41,0.0,278
DL,110,0.0,371
DLD,82,0.0,301
DLN,150,0.0,448
DMN,111,0.0,319
DMNZ,111,0.0,302
DN,85,0.0,95
DR,38,0.0,278
DRH,145,0.0,611
DRON,130,0.0,371
DRP,204,0.0,402
DT,139,0.0,230
DTC,52,0.0,298
DTCH,50,0.0,298
DTCP,138,0.0,300
DV,67,0.0,281
DVC,71,0.0,347
DVD,111,0.0,351
DVN,31,0.0,280
DVNK,133,0.0,459
DWE,210,0.0,388
DZ,242,0.0,469
DZW,241,0.0,469
EC,95,0.0,178
ED,39,0.0,21
EDC,41,0.0,43
EDN,137,0.0,182
EEM,249,0.0,468
EGH,131,0.0,197
EGHM,132,0.0,197
EHS,77,0.0,191
EHV,78,0.0,115
EKZ,179,0.0,666
EML,96,0.0,301
EMN,166,0.0,449
EMNZ,162,0.0,448
ES,104,0.0,348
ESK,100,0.0,348
EST,11,0.0,21
ETN,100,0.0,451
FN,210,0.0,388
FWD,207,0.0,388
GBG,139,0.0,434
GD,112,0.0,351
GDG,109,0.0,351
GDM,56,0.0,38
GDR,57,0.0,315
GERP,202,0.0,424
GK,223,0.0,439
GLN,111,0.0,180
GN,204,0.0,424
GND,91,0.0,102
GNN,208,0.0,439
GO,81,0.0,288
GP,84,0.0,177
GR,82,0.0,100
GS,163,0.0,456
GV,141,0.0,436
GVC,140,0.0,354
GVM,141,0.0,544
GVMW,142,0.0,451
GW,180,0.0,428
GZ,79,0.0,130
HAD,141,0.0,594
HB,122,0.0,211
HBZM,94,0.0,112
HD,100,0.0,304
HDB,133,0.0,421
HDE,116,0.0,371
HDG,203,0.0,388
HDR,199,0.0,695
HDRZ,198,0.0,695
HFD,131,0.0,439
HGL,96,0.0,329
HGLG,94,0.0,329
HGLO,98,0.0,348
HGV,146,0.0,371
HGZ,215,0.0,447
HIL,148,0.0,459
HK,144,0.0,633
HKS,171,0.0,650
HLG,219,0.0,389
HLGH,220,0.0,393
HLM,137,0.0,573
HLMS,136,0.0,594
HLO,152,0.0,600
HM,91,0.0,158
HMBH,92,0.0,162
HMBV,88,0.0,177
HMH,90,0.0,177
HMN,25,0.0,35
HN,161,0.0,594
HNK,162,0.0,650
HNO,110,0.0,371
HNP,235,0.0,391
HON,86,0.0,281
HOR,92,0.0,351
HR,164,0.0,428
HRL,126,0.0,180
HRLW,128,0.0,197
HRN,198,0.0,424
HRT,67,0.0,95
HT,46,0.0,42
HTN,74,0.0,134
HTNC,73,0.0,134
HTO,45,0.0,42
HVL,67,0.0,61
HVS,89,0.0,301
HVSM,90,0.0,302
HVSP,90,0.0,302
HWD,164,0.0,676
HWZB,129,0.0,594
HZE,89,0.0,183
IJT,218,0.0,389
KBD,145,0.0,456
KBK,60,0.0,281
KLP,46,0.0,43
KMA,136,0.0,607
KMR,134,0.0,197
KMW,240,0.0,396
KPN,113,0.0,371
KPNZ,113,0.0,371
KRD,134,0.0,208
KRG,152,0.0,456
KTR,32,0.0,35
KW,212,0.0,445
KZ,130,0.0,597
LAA,141,0.0,383
LC,68,0.0,281
LDL,129,0.0,442
LDM,70,0.0,82
LEDN,130,0.0,449
LG,129,0.0,197
LLS,144,0.0,445
LLZM,125,0.0,436
LP,230,0.0,451
LTN,47,0.0,44
LTV,86,0.0,283
LUT,111,0.0,180
LW,193,0.0,371
LWC,196,0.0,388
MAS,87,0.0,351
MDB,182,0.0,483
MES,134,0.0,182
MG,203,0.0,388
MMLH,7,47.2258064516129,0
MP,126,0.0,371
MRB,125,0.0,418
MRN,76,0.0,75
MT,128,0.0,180
MTH,213,0.0,447
MTN,131,0.0,182
MTR,129,0.0,182
MZ,99,0.0,188
NDB,95,0.0,302
NH,119,0.0,211
NKK,84,0.0,301
NM,3,47.193548387096776,0
NMD,8,0.0,21
