Station Code,Distance from BK,Services from/to BK,Disruptions on path to BK
AC,189,0.0,201
AH,137,0.0,202
AHP,138,0.0,459
AHPR,140,0.0,459
AHZ,129,0.0,216
AKL,160,0.0,212
AKM,290,0.0,602
ALM,214,0.0,254
ALMB,220,0.0,385
ALMM,213,0.0,253
ALMO,222,0.0,385
ALMP,216,0.0,385
AMF,186,0.0,241
AMFS,189,0.0,481
AML,221,0.0,528
AMPO,211,0.0,253
AMR,243,0.0,526
AMRI,223,0.0,598
AMRN,244,0.0,601
ANA,273,0.0,612
APD,184,0.0,462
APDM,183,0.0,463
APDO,187,0.0,497
APG,353,0.0,632
APN,200,0.0,251
ARN,232,0.0,442
ASA,198,0.0,241
ASB,194,0.0,241
ASD,204,0.0,241
ASDL,211,0.0,499
ASDM,200,0.0,278
ASDZ,200,0.0,255
ASHD,193,0.0,328
ASN,291,0.0,552
ASS,208,0.0,499
ASSP,201,0.0,292
ATN,189,0.0,496
AVAT,192,0.0,487
BD,143,0.0,114
BDE,7,37.67741935483871,0
BDG,192,0.0,242
BDM,334,0.0,621
BDPB,148,0.0,437
BET,95,0.0,114
BF,338,0.0,621
BGN,180,0.0,442
BHDV,171,0.0,232
BHV,174,0.0,241
BK,0,0.0,0
BKF,262,0.0,584
BKG,261,0.0,580
BKL,177,0.0,168
BL,275,0.0,552
BLL,223,0.0,45
BMN,159,0.0,462
BMR,93,0.0,139
BN,216,0.0,529
BNC,169,0.0,225
BNK,171,0.0,292
BNN,172,0.0,241
BNZ,167,0.0,225
BP,332,0.0,569
BR,58,0.0,86
BRD,182,0.0,554
BRN,189,0.0,265
BSD,146,0.0,211
BSK,206,0.0,332
BSKS,207,0.0,355
BSMZ,188,0.0,242
BTL,105,0.0,52
BV,233,0.0,520
BZL,212,0.0,473
CAS,231,0.0,523
CK,103,0.0,167
CL,147,0.0,211
CO,261,0.0,615
CPS,204,0.0,509
CVM,33,0.0,21
DA,232,0.0,598
DB,175,0.0,336
DDN,206,0.0,477
DDR,173,0.0,437
DDRS,176,0.0,554
DDZD,172,0.0,460
DEI,312,0.0,569
DID,156,0.0,459
DL,225,0.0,552
DLD,177,0.0,261
DLN,265,0.0,629
DMN,203,0.0,292
DMNZ,198,0.0,244
DN,86,0.0,86
DR,153,0.0,459
DRH,228,0.0,46
DRON,245,0.0,552
DRP,319,0.0,583
DT,181,0.0,20
DTC,167,0.0,479
DTCH,165,0.0,479
DTCP,182,0.0,121
DV,182,0.0,462
DVC,186,0.0,528
DVD,196,0.0,241
DVN,146,0.0,461
DVNK,188,0.0,38
DWE,325,0.0,569
DZ,357,0.0,650
DZW,356,0.0,650
EC,20,35.645161290322584,5
ED,154,0.0,202
EDC,156,0.0,224
EDN,22,0.0,33
EEM,364,0.0,649
EGH,32,0.0,20
EGHM,33,0.0,20
EHS,86,0.0,114
EHV,85,0.0,52
EKZ,265,0.0,592
EML,209,0.0,481
EMN,281,0.0,630
EMNZ,277,0.0,629
ES,219,0.0,529
ESK,215,0.0,529
EST,126,0.0,202
ETN,154,0.0,437
