Station Code,Distance from PMO,Services from/to PMO,Disruptions on path to PMO
AC,40,0.0,272
AH,121,0.0,552
AHP,122,0.0,809
AHPR,124,0.0,809
AHZ,129,0.0,809
AKL,111,0.0,375
AKM,213,0.0,322
ALM,55,0.0,258
ALMB,61,0.0,389
ALMM,54,0.0,265
ALMO,63,0.0,389
ALMP,57,0.0,389
AMF,70,0.0,272
AMFS,73,0.0,512
AML,167,0.0,578
AMPO,52,0.0,265
AMR,42,0.0,67
AMRI,169,0.0,648
AMRN,41,0.0,66
ANA,58,0.0,66
APD,113,0.0,512
APDM,114,0.0,547
APDO,116,0.0,547
APG,276,0.0,352
APN,80,0.0,38
ARN,226,0.0,146
ASA,31,1.3548387096774193,258
ASB,35,1.3548387096774193,258
ASD,25,2.225806451612903,0
ASDL,24,25.35483870967742,21
ASDM,29,0.0,258
ASDZ,37,0.0,258
ASHD,36,0.0,272
ASN,214,0.0,272
ASS,21,32.193548387096776,0
ASSP,30,0.0,258
ATN,173,0.0,846
AVAT,76,0.0,518
BD,153,0.0,141
BDE,236,0.0,520
BDG,82,0.0,259
BDM,257,0.0,341
BDPB,148,0.0,263
BET,134,0.0,331
BF,261,0.0,341
BGN,174,0.0,262
BHDV,122,0.0,395
BHV,73,0.0,331
BK,229,0.0,521
BKF,33,1.8064516129032255,64
BKG,32,1.8064516129032255,60
BKL,52,0.0,399
BL,198,0.0,272
BLL,39,0.0,40
BMN,138,0.0,547
BMR,165,0.0,587
BN,176,0.0,648
BNC,89,0.0,513
BNK,72,0.0,331
BNN,86,0.0,512
BNZ,91,0.0,529
BP,255,0.0,529
BR,194,0.0,501
BRD,114,0.0,147
BRN,61,0.0,259
BSD,97,0.0,374
BSK,86,0.0,119
BSKS,87,0.0,142
BSMZ,49,0.0,276
BTL,124,0.0,404
BV,34,0.0,3
BZL,206,0.0,293
CAS,32,0.0,3
CK,155,0.0,584
CL,82,0.0,359
CO,191,0.0,292
CPS,100,0.0,344
CVM,235,0.0,57
DA,178,0.0,282
DB,76,0.0,331
DDN,171,0.0,562
DDR,123,0.0,141
DDRS,126,0.0,258
DDZD,124,0.0,258
DEI,235,0.0,529
DID,140,0.0,809
DL,148,0.0,272
DLD,73,0.0,273
DLN,195,0.0,306
DMN,32,0.0,258
DMNZ,35,0.0,298
DN,166,0.0,473
DR,137,0.0,809
DRH,39,0.0,21
DRON,104,0.0,403
DRP,242,0.0,543
DT,89,0.0,39
DTC,151,0.0,829
DTCH,149,0.0,829
DTCP,90,0.0,140
DV,128,0.0,512
DVC,132,0.0,547
DVD,33,0.0,295
DVN,130,0.0,811
DVNK,68,19.12903225806452,21
DWE,248,0.0,529
DZ,280,0.0,370
DZW,279,0.0,370
EC,209,0.0,518
ED,104,0.0,530
EDC,102,0.0,529
EDN,251,0.0,522
EEM,287,0.0,369
EGH,234,0.0,56
EGHM,235,0.0,56
EHS,143,0.0,407
EHV,144,1.3548387096774193,407
EKZ,36,1.8064516129032255,72
EML,93,0.0,512
EMN,211,0.0,307
EMNZ,207,0.0,306
ES,184,0.0,614
ESK,180,0.0,614
EST,132,0.0,809
ETN,164,0.0,464
FN,248,0.0,529
FWD,245,0.0,529
GBG,184,0.0,292
GD,87,0.0,259
GDG,84,0.0,259
GDM,90,0.0,331
GDR,156,0.0,846
GERP,240,0.0,325
GK,261,0.0,340
GLN,225,0.0,520
GN,242,0.0,325
GND,125,0.0,395
GNN,246,0.0,340
GO,161,0.0,554
GP,150,0.0,469
GR,116,0.0,393
GS,211,0.0,146
GV,81,0.0,24
GVC,80,19.12903225806452,24
GVM,76,19.12903225806452,21
GVMW,82,0.0,39
GW,218,0.0,329
GZ,145,0.0,419
HAD,40,0.0,21
HB,233,0.0,56
HBZM,128,0.0,405
HD,97,0.0,515
HDB,178,0.0,279
HDE,118,0.0,512
HDG,241,0.0,529
HDR,70,0.0,75
HDRZ,69,0.0,75
HFD,41,25.35483870967742,71
HGL,176,0.0,595
HGLG,174,0.0,595
HGLO,178,0.0,614
HGV,184,0.0,272
HGZ,253,0.0,348
HIL,47,0.0,21
HK,31,0.0,39
HKS,28,1.8064516129032255,56
HLG,257,0.0,530
HLGH,258,0.0,534
HLM,36,0.0,3
HLMS,35,0.0,21
HLO,39,0.0,6
HM,157,0.0,469
HMBH,158,0.0,473
HMBV,154,0.0,469
HMH,156,0.0,469
HMN,121,0.0,377
HN,18,32.03225806451613,0
HNK,19,22.580645161290324,56
HNO,148,0.0,272
HNP,273,0.0,532
HON,147,0.0,547
HOR,60,0.0,258
HR,202,0.0,329
HRL,229,0.0,39
HRLW,231,0.0,56
HRN,236,0.0,325
HRT,184,0.0,501
HT,112,1.3548387096774193,331
HTN,72,0.0,331
HTNC,73,0.0,359
HTO,113,0.0,404
HVL,76,0.0,512
HVS,54,0.0,258
HVSM,53,0.0,309
HVSP,55,0.0,259
HWD,35,0.0,56
HWZB,28,0.0,21
HZE,155,0.0,475
IJT,256,0.0,530
KBD,193,0.0,146
KBK,122,0.0,548
KLP,98,0.0,331
KMA,23,0.0,13
KMR,237,0.0,56
KMW,278,0.0,537
KPN,151,0.0,3
KPNZ,121,0.0,404
KRD,237,0.0,67
KRG,200,0.0,146
KTR,114,0.0,374
KW,250,0.0,346
KZ,17,0.0,3
LAA,79,19.12903225806452,24
LC,148,0.0,547
LDL,66,0.0,31
LDM,104,0.0,375
LEDN,65,19.12903225806452,21
LG,232,0.0,56
LLS,79,0.0,389
LLZM,95,0.0,53
LP,268,0.0,352
LTN,96,0.0,529
LTV,166,0.0,549
LUT,225,0.0,520
LW,231,0.0,512
LWC,234,0.0,529
MAS,57,0.0,272
MDB,230,0.0,173
MES,248,0.0,522
MG,241,0.0,529
MMLH,150,0.0,573
MP,164,0.0,272
MRB,170,0.0,279
MRN,84,0.0,363
MT,242,1.3548387096774193,520
MTH,251,0.0,348
MTN,245,0.0,522
MTR,243,0.0,522
MZ,165,0.0,480
NDB,48,0.0,265
NH,233,0.0,551
NKK,81,0.0,512
NM,140,0.0,552
NMD,145,0.0,573
NMGO,143,0.0,573
NMH,143,0.0,573
NML,139,0.0,823
NS,109,0.0,512
NSCH,286,0.0,355
NVD,168,0.0,281
NVP,46,19.12903225806452,71
NWK,96,0.0,344
O,131,0.0,404
OBD,29,0.0,56
ODB,154,0.0,263
ODZ,187,0.0,614
OMN,159,0.0,279
OP,118,0.0,377
OST,138,0.0,578
OT,133,0.0,447
OTB,117,0.0,552
OVN,38,0.0,40
OW,130,0.0,404
PMO,0,0.0,0
PMR,1,31.548387096774192,0
PMW,2,31.548387096774192,1
PT,88,0.0,512
RAI,36,0.0,298
RAT,154,0.0,272
RB,190,0.0,263
RD,280,0.0,356
RH,131,0.0,810
RHN,107,0.0,366
RL,153,0.0,549
RLB,110,0.0,141
RM,196,1.3548387096774193,469
RS,119,0.0,404
RSD,161,0.0,141
RSN,154,0.0,547
RSW,84,0.0,39
RTA,101,0.0,344
RTB,104,0.0,141
RTD,103,0.0,71
RTN,106,0.0,346
RTST,108,0.0,141
RTZ,107,0.0,141
RV,207,0.0,518
RVS,139,0.0,425
SBK,228,0.0,550
SD,65,0.0,273
SDA,269,0.0,346
SDM,99,0.0,140
SDT,129,0.0,405
SDTB,130,0.0,258
SGL,245,0.0,56
SGN,49,0.0,66
SHL,36,25.35483870967742,21
SK,253,0.0,529
SKND,252,0.0,529
SM,201,0.0,518
SN,230,0.0,551
SOG,239,0.0,56
SPTN,40,0.0,22
SPTZ,41,0.0,40
SRN,214,0.0,547
SSH,57,19.12903225806452,71
ST,66,0.0,273
STD,221,1.3548387096774193,518
STM,264,0.0,352
STV,282,0.0,537
STZ,67,0.0,273
SWD,253,0.0,340
SWK,178,0.0,322
TB,134,0.0,404
TBG,157,0.0,846
TBR,139,0.0,417
TBU,135,0.0,417
TG,201,0.0,470
TL,102,0.0,374
TPSW,100,0.0,374
TWL,123,0.0,547
UHM,277,0.0,356
UHZ,274,0.0,356
UST,269,0.0,355
UT,64,1.3548387096774193,258
UTG,28,0.0,38
UTLN,68,0.0,331
UTLR,67,0.0,331
UTO,67,0.0,331
UTT,69,0.0,331
UTVR,65,0.0,331
UTZL,62,0.0,275
VB,83,0.0,53
VD,143,0.0,547
VDL,233,0.0,56
VDM,269,0.0,353
VEM,127,0.0,549
VG,116,0.0,404
VH,57,0.0,21
VHP,176,0.0,282
VK,242,0.0,56
VL,196,0.0,469
VLB,172,0.0,615
VNDC,99,0.0,365
VNDW,98,0.0,365
VP,127,0.0,810
VRY,179,0.0,616
VS,236,0.0,173
VSS,235,0.0,146
VST,70,19.12903225806452,21
VSV,164,0.0,846
VTN,71,0.0,336
VZ,173,0.0,648
WAD,90,0.0,142
WADN,89,0.0,142
WADT,91,0.0,142
WC,146,0.0,428
WD,71,0.0,258
WDN,162,0.0,554
WF,113,0.0,552
WFM,266,0.0,355
WH,145,0.0,588
WK,269,0.0,532
WL,146,0.0,829
WM,21,0.0,3
WP,39,0.0,259
WR,296,0.0,364
WS,274,0.0,355
WSM,258,0.0,341
WT,172,1.3548387096774193,469
WTV,126,0.0,811
WV,191,0.0,272
WW,176,0.0,561
WWW,175,0.0,561
WZ,127,0.0,525
YPB,87,0.0,56
ZA,124,0.0,377
ZB,261,0.0,349
ZBM,99,0.0,374
ZD,15,31.548387096774192,0
ZDK,12,31.548387096774192,3
ZH,254,0.0,340
ZL,136,0.0,258
ZLSH,141,0.0,3
ZLW,138,0.0,258
ZP,131,0.0,547
ZTM,92,0.0,53
ZTMO,93,0.0,53
ZV,135,0.0,809
ZVB,146,0.0,263
ZVT,44,0.0,40
ZWD,121,0.0,246
ZZS,18,0.0,3
