Station Code,distance_RLB,services_per_day_RLB,n_of_disruptions_RLB
STZ,81,0,261
SWD,267,0,559
SWK,192,0,541
TB,64,0,539
TBG,154,0,604
TBR,59,0,558
TBU,63,0,560
TG,158,0,686
TL,74,0,293
TPSW,72,0,293
TWL,137,0,512
UHM,291,0,575
UHZ,288,0,575
UST,283,0,574
UT,63,0,164
UTG,93,0,320
UTLN,67,0,237
UTLR,60,0,187
UTO,66,0,237
UTT,58,0,182
UTVR,64,0,237
UTZL,65,0,237
VB,33,0,224
VD,157,0,512
VDL,201,0,669
VDM,283,0,572
VEM,141,0,514
VG,88,0,366
VH,53,0,205
VHP,190,0,501
VK,210,0,669
VL,153,0,685
VLB,147,0,373
VNDC,98,0,271
VNDW,97,0,271
VP,124,0,570
VRY,154,0,374
VS,126,0,254
VSS,125,0,254
VST,40,0,198
VSV,161,0,604
VTN,56,0,173
VZ,187,0,613
WAD,39,0,164
WADN,40,0,164
WADT,38,0,164
WC,118,0,390
WD,47,0,172
WDN,176,0,550
WF,113,0,259
WFM,280,0,574
WH,159,0,553
WK,283,0,511
WL,143,0,587
WM,100,0,346
WP,96,0,249
WR,310,0,583
WS,288,0,574
WSM,272,0,560
WT,129,0,601
WTV,123,0,569
WV,205,0,491
WW,182,0,623
WWW,183,0,623
WZ,141,0,490
YPB,37,0,227
ZA,96,0,296
ZB,275,0,568
ZBM,71,0,293
ZD,95,0,150
ZDK,98,0,153
ZH,268,0,559
ZL,150,0,477
ZLSH,155,0,491
ZLW,28,0,216
ZP,145,0,512
ZTM,42,0,224
ZTMO,43,0,227
ZV,132,0,567
ZVB,36,0,221
ZVT,82,0,283
ZWD,11,60.12903225806452,99
ZZS,98,0,153
