Station Code,Distance from HDRZ,Services from/to HDRZ,Disruptions on path to HDRZ
NVP,101,0.0,172
NWK,147,0.0,341
O,186,0.0,526
OBD,40,2.548387096774193,19
ODB,194,0.0,383
ODZ,242,0.0,736
OMN,214,0.0,401
OP,173,0.0,499
OST,193,0.0,700
OT,188,0.0,569
OTB,172,0.0,674
OVN,78,0.0,135
OW,185,0.0,526
PMO,69,0.0,75
PMR,70,0.0,75
PMW,71,0.0,76
PT,143,0.0,634
RAI,91,0.0,420
RAT,209,0.0,394
RB,230,0.0,383
RD,335,0.0,478
RH,186,0.0,932
RHN,162,0.1612903225806451,488
RL,208,0.0,671
RLB,150,0.0,331
RM,251,1.1612903225806452,591
RS,174,0.0,526
RSD,201,0.0,331
RSN,209,0.0,669
RSW,124,0.0,160
RTA,152,0.0,341
RTB,144,0.0,331
RTD,143,0.0,261
RTN,148,0.0,331
RTST,148,0.0,331
RTZ,147,0.0,331
RV,262,0.0,640
RVS,194,0.0,547
SBK,281,0.0,177
SD,120,0.0,395
SDA,324,0.0,468
SDM,139,0.0,261
SDT,173,0.0,378
SDTB,170,0.0,378
SGL,285,0.0,177
SGN,20,40.064516129032256,9
SHL,91,0.0,122
SK,308,0.0,651
SKND,307,0.0,651
SM,256,0.0,640
SN,279,0.0,177
SOG,279,0.0,177
SPTN,69,0.0,117
SPTZ,71,0.0,118
SRN,269,0.0,669
SSH,112,0.0,172
ST,121,0.0,395
STD,276,1.1612903225806452,640
STM,319,0.0,474
STV,337,0.0,659
STZ,122,0.0,395
SWD,308,0.0,462
SWK,233,0.0,444
TB,189,0.0,526
TBG,212,0.0,968
TBR,194,0.0,539
TBU,190,0.0,539
TG,256,0.0,592
TL,157,0.0,496
TPSW,155,0.0,496
TWL,178,0.0,669
UHM,332,0.0,478
UHZ,329,0.0,478
UST,324,0.0,477
UT,119,34.58064516129032,380
UTG,57,0.8709677419354839,98
UTLN,123,0.0,453
UTLR,122,0.0,453
UTO,122,0.0,453
UTT,124,0.0,453
UTVR,120,0.1612903225806451,453
UTZL,117,0.1612903225806451,397
VB,123,0.0,174
VD,198,0.0,669
VDL,273,0.0,177
VDM,324,0.0,475
VEM,182,0.0,671
VG,171,0.0,526
VH,97,0.0,178
VHP,231,0.0,404
VK,282,0.0,177
VL,251,0.0,591
VLB,227,0.0,737
VNDC,154,0.1612903225806451,487
VNDW,153,0.1612903225806451,487
VP,182,0.0,932
VRY,234,0.0,738
VS,276,0.0,363
VSS,275,0.0,336
VST,110,0.0,230
VSV,219,0.0,968
VTN,126,0.0,458
VZ,228,0.0,770
WAD,130,0.0,256
WADN,129,0.0,256
WADT,131,0.0,256
WC,201,0.0,550
WD,126,0.0,380
WDN,217,0.0,676
WF,168,0.0,674
WFM,321,0.0,477
WH,200,0.0,710
WK,324,0.0,654
WL,201,0.0,951
WM,64,0.9032258064516128,98
WP,94,0.0,381
WR,351,0.0,486
WS,329,0.0,477
WSM,313,0.0,463
WT,227,1.1612903225806452,591
WTV,181,0.0,933
WV,246,0.0,394
WW,231,0.0,683
WWW,230,0.0,683
WZ,182,0.0,647
YPB,127,0.0,177
ZA,179,0.0,499
ZB,316,0.0,471
ZBM,154,0.0,496
ZD,70,36.83870967741935,98
ZDK,73,0.0,101
ZH,309,0.0,462
ZL,191,0.0,380
ZLSH,196,0.0,101
ZLW,178,0.0,378
ZP,186,0.0,669
ZTM,132,0.0,174
ZTMO,133,0.0,174
ZV,190,0.0,931
ZVB,186,0.0,383
ZVT,84,0.0,135
ZWD,161,0.0,436
ZZS,67,0.8709677419354839,108
