Station Code,distance_VSV,services_per_day_VSV,n_of_disruptions_VSV
AC,125,0,403
AH,43,35.58064516129032,37
AHP,42,35.58064516129032,40
AHPR,44,0,42
AHZ,51,0,294
AKL,120,0,355
AKM,190,0,173
ALM,141,0,587
ALMB,147,0,718
ALMM,140,0,586
ALMO,149,0,718
ALMP,143,0,718
AMF,94,0,334
AMFS,97,0,574
AML,121,0,99
AMPO,138,0,586
AMR,178,0,860
AMRI,123,0,169
AMRN,179,0,935
ANA,208,0,946
APD,84,0,33
APDM,83,0,34
APDO,87,0,68
APG,253,0,203
APN,136,0,377
ARN,237,0,781
ASA,134,0,367
ASB,130,0,367
ASD,139,0,575
ASDL,146,0,854
ASDM,135,0,593
ASDZ,136,0,370
ASHD,131,0,381
ASN,191,0,123
ASS,143,0,833
ASSP,134,0,593
ATN,9,35.54838709677419,0
AVAT,100,0,580
BD,148,0,422
BDE,187,0,496
BDG,128,0,368
BDM,234,0,192
BDPB,153,0,745
BET,127,0,452
BF,238,0,192
BGN,185,0,750
BHDV,131,0,375
BHV,106,0,578
BK,180,0,496
BKF,197,0,918
BKG,196,0,914
BKL,113,0,370
BL,175,0,128
BLL,161,0,870
BMN,63,0,49
BMR,87,0,329
BN,116,0,100
BNC,75,0,317
BNK,93,0,348
BNN,78,0,333
BNZ,73,0,317
BP,232,0,140
BR,122,0,358
BRD,157,0,505
BRN,103,0,574
BSD,106,0,354
BSK,142,0,458
BSKS,143,0,481
BSMZ,115,0,575
BTL,117,0,409
BV,168,0,893
BZL,217,0,781
CAS,166,0,857
CK,77,0,326
CL,107,0,354
CO,161,0,186
CPS,146,0,452
CVM,197,0,513
DA,132,0,169
DB,89,0,316
DDN,106,0,48
DDR,148,0,388
DDRS,145,0,386
DDZD,149,0,505
DEI,212,0,140
DID,24,35.58064516129032,17
DL,125,0,123
DLD,103,0,574
DLN,165,0,200
DMN,132,0,592
DMNZ,132,0,592
DN,150,0,410
DR,57,0,46
DRH,166,0,889
DRON,145,0,123
DRP,219,0,154
DT,170,0,467
DTC,13,35.58064516129032,0
DTCH,15,35.58064516129032,17
DTCP,170,0,522
DV,82,0,33
DVC,86,0,99
DVD,132,0,367
DVN,34,35.58064516129032,37
DVNK,154,0,475
DWE,225,0,140
DZ,257,0,221
DZW,256,0,221
EC,160,0,493
ED,60,0,294
EDC,62,0,316
EDN,202,0,497
EEM,264,0,220
EGH,196,0,512
EGHM,197,0,512
EHS,136,0,528
EHV,137,0,409
EKZ,200,0,926
EML,117,0,577
EMN,181,0,201
EMNZ,177,0,200
ES,119,0,100
ESK,115,0,100
EST,54,0,294
ETN,159,0,745
FN,225,0,140
FWD,222,0,140
GBG,154,0,186
GD,133,0,367
GDG,130,0,367
GDM,99,0,311
GDR,8,35.58064516129032,0
GERP,217,0,176
GK,238,0,191
GLN,176,0,495
GN,219,0,176
GND,134,0,375
GNN,223,0,191
GO,96,0,40
GP,143,0,471
GR,125,0,373
GS,222,0,781
GV,162,0,452
GVC,161,0,452
GVM,162,0,560
GVMW,163,0,467
GW,195,0,130
GZ,138,0,424
HAD,162,0,870
HB,187,0,526
HBZM,137,0,385
HD,121,0,577
HDB,148,0,173
HDE,131,0,123
HDG,218,0,140
HDR,220,0,955
HDRZ,219,0,955
HFD,152,0,431
HGL,111,0,81
HGLG,109,0,81
HGLO,113,0,100
HGV,161,0,123
HGZ,230,0,199
HIL,169,0,475
HK,165,0,893
HKS,192,0,910
HLG,234,0,141
HLGH,235,0,145
HLM,158,0,833
HLMS,157,0,854
HLO,173,0,860
HM,150,0,471
HMBH,151,0,475
HMBV,147,0,471
HMH,149,0,471
HMN,68,0,308
HN,182,0,854
HNK,183,0,910
HNO,125,0,123
HNP,250,0,143
HON,101,0,99
HOR,113,0,367
HR,179,0,123
HRL,191,0,495
HRLW,193,0,512
HRN,213,0,176
HRT,132,0,410
HT,105,0,336
HTN,107,0,392
HTNC,108,0,420
HTO,104,0,336
HVL,88,0,334
HVS,110,0,574
HVSM,111,0,575
HVSP,111,0,575
HWD,185,0,936
HWZB,150,0,854
HZE,148,0,477
IJT,233,0,141
KBD,204,0,781
KBK,75,0,33
KLP,67,0,316
KMA,157,0,867
KMR,199,0,512
KMW,255,0,148
KPN,128,0,123
KPNZ,128,0,123
KRD,199,0,523
KRG,211,0,781
