Station Code,Distance from AMF,Services from/to AMF,Disruptions on path to AMF
AC,45,0.0,109
AH,51,0.0,40
AHP,52,0.0,297
AHPR,54,0.0,299
AHZ,59,0.0,297
AKL,68,0.0,198
AKM,143,1.1935483870967742,64
ALM,47,0.032258064516129,13
ALMB,53,0.0,144
ALMM,46,0.0,12
ALMO,55,0.0,144
ALMP,49,0.0,144
AMF,0,0.0,0
AMFS,3,105.93548387096774,0
AML,97,41.96774193548387,66
AMPO,44,0.0,12
AMR,84,0.0,286
AMRI,99,0.0,136
AMRN,85,0.0,361
ANA,114,0.0,372
APD,43,52.70967741935484,0
APDM,44,0.0,35
APDO,46,0.0,35
APG,206,0.0,94
APN,56,0.0,10
ARN,199,0.0,384
ASA,42,0.0,4
ASB,42,0.0,4
ASD,45,74.51612903225806,1
ASDL,52,18.677419354838708,280
ASDM,41,37.096774193548384,19
ASDZ,44,36.193548387096776,4
ASHD,43,0.0,18
ASN,144,18.32258064516129,14
ASS,49,18.677419354838708,259
ASSP,40,37.12903225806452,19
ATN,103,0.0,334
AVAT,6,69.64516129032258,6
BD,112,0.0,159
BDE,193,0.0,260
BDG,48,0.0,1
BDM,187,0.0,83
BDPB,117,0.0,482
BET,91,0.0,189
BF,191,0.0,83
BGN,147,0.0,353
BHDV,79,0.0,218
BHV,12,35.516129032258064,4
BK,186,0.0,260
BKF,103,0.0,344
BKG,102,0.0,340
BKL,33,0.0,76
BL,128,1.903225806451613,19
BLL,67,0.0,296
BMN,68,0.0,35
BMR,95,0.0,332
BN,106,0.0,136
BNC,19,61.87096774193548,1
BNK,29,0.0,73
BNN,16,61.87096774193548,0
BNZ,21,61.87096774193548,17
BP,185,0.0,31
BR,130,0.0,361
BRD,88,0.0,243
BRN,9,38.41935483870968,0
BSD,54,0.0,197
BSK,62,0.0,91
BSKS,63,0.0,114
BSMZ,21,37.61290322580645,1
BTL,81,0.0,146
BV,74,0.0,319
BZL,179,0.0,384
CAS,72,0.0,283
CK,85,0.0,329
CL,39,0.0,101
CO,121,0.0,34
CPS,66,0.0,158
CVM,203,0.0,277
DA,108,0.0,136
DB,33,0.0,73
DDN,101,0.0,50
DDR,96,0.0,231
DDRS,93,0.0,229
DDZD,97,0.0,348
DEI,165,0.0,31
DID,70,0.0,297
DL,78,0.0,14
DLD,9,35.645161290322584,0
DLN,125,0.0,48
DMN,38,37.12903225806452,18
DMNZ,38,0.032258064516129,18
DN,123,0.0,212
DR,67,0.0,297
DRH,72,0.0,315
DRON,96,0.0,158
DRP,172,0.0,45
DT,90,0.0,173
DTC,81,0.0,317
DTCH,79,0.0,317
DTCP,90,0.0,228
DV,58,51.2258064516129,0
DVC,62,0.0,66
DVD,40,33.87096774193548,1
DVN,60,0.0,299
DVNK,74,0.0,108
DWE,178,0.0,31
DZ,210,0.0,112
DZW,209,0.0,112
EC,166,0.0,257
ED,34,38.25806451612903,18
EDC,32,38.25806451612903,17
EDN,208,0.0,261
EEM,217,0.0,111
EGH,202,0.0,276
EGHM,203,0.0,276
EHS,100,0.0,265
EHV,101,0.0,146
EKZ,106,0.0,352
EML,23,36.67741935483871,3
EMN,141,0.0,49
EMNZ,137,0.0,48
ES,114,35.354838709677416,102
ESK,110,0.5806451612903226,102
EST,62,0.0,297
ETN,123,0.0,482
FN,178,0.0,31
FWD,175,0.0,31
GBG,114,0.0,34
GD,53,72.93548387096774,73
GDG,50,0.0,73
GDM,47,0.0,154
GDR,86,0.0,334
GERP,170,1.935483870967742,67
GK,191,0.0,82
GLN,182,0.0,259
GN,172,18.32258064516129,67
GND,82,0.0,218
GNN,176,0.0,82
GO,91,0.0,42
GP,107,0.0,208
GR,73,0.0,216
GS,184,0.0,384
GV,82,0.0,158
GVC,81,38.25806451612903,158
GVM,82,0.0,193
GVMW,83,0.0,173
GW,148,1.1935483870967742,71
GZ,102,0.0,161
HAD,68,0.0,296
HB,193,0.0,290
HBZM,85,0.0,228
HD,27,36.67741935483871,3
HDB,108,0.0,21
HDE,48,36.70967741935484,0
HDG,171,0.0,31
HDR,126,0.0,381
HDRZ,125,0.0,381
HFD,60,18.677419354838708,128
HGL,106,41.96774193548387,83
HGLG,104,0.0,83
HGLO,108,0.0,102
HGV,114,2.096774193548387,14
HGZ,183,0.0,90
HIL,75,0.0,336
HK,71,0.0,319
HKS,98,0.0,336
HLG,187,0.0,32
HLGH,188,0.0,36
HLM,64,0.0,259
HLMS,63,0.0,280
HLO,79,0.0,286
HM,114,0.0,208
HMBH,115,0.0,212
HMBV,111,0.0,208
HMH,113,0.0,208
HMN,76,0.0,311
HN,88,0.0,280
HNK,89,0.0,336
HNO,78,0.0,14
HNP,203,0.0,34
HON,77,0.0,66
HOR,22,0.0,1
HR,132,18.516129032258064,14
HRL,197,0.0,259
HRLW,199,0.0,276
HRN,166,1.903225806451613,67
HRT,140,0.0,413
HT,69,0.0,73
HTN,29,0.0,73
HTNC,30,0.0,101
HTO,70,0.0,146
HVL,6,61.87096774193548,0
HVS,16,112.96774193548389,0
HVSM,17,37.61290322580645,1
HVSP,17,0.0,1
HWD,91,0.0,362
HWZB,56,0.0,280
HZE,112,0.0,214
IJT,186,0.0,32
KBD,166,0.0,384
KBK,52,0.0,36
KLP,41,0.0,40
KMA,63,0.0,293
KMR,205,0.0,276
KMW,208,0.0,39
KPN,81,0.0,14
KPNZ,81,0.0,14
KRD,205,0.0,287
KRG,173,0.0,384
KTR,71,0.0,197
KW,180,0.0,88
KZ,57,0.0,283
LAA,82,0.0,187
LC,78,0.0,35
LDL,70,0.0,91
LDM,61,0.0,198
LEDN,71,7.0,98
LG,200,0.0,276
LLS,71,0.0,144
LLZM,66,0.0,158
LP,198,0.0,94
LTN,26,38.25806451612903,17
LTV,96,0.0,37
LUT,182,0.0,259
LW,161,18.516129032258064,14
LWC,164,0.0,31
MAS,28,0.0,73
MDB,203,0.0,384
MES,205,0.0,261
MG,171,0.0,31
MMLH,80,0.0,318
MP,94,20.451612903225808,14
MRB,100,0.0,21
MRN,41,0.0,105
MT,199,0.0,259
MTH,181,0.0,90
MTN,202,0.0,261
MTR,200,0.0,261
MZ,122,0.0,219
NDB,22,37.61290322580645,1
NH,190,0.0,290
