Station Code,Distance from TPSW,Services from/to TPSW,Disruptions on path to TPSW
AC,60,0.0,149
AH,46,0.0,17
AHP,47,0.0,274
AHPR,49,0.0,274
AHZ,38,0.0,17
AKL,31,0.0,44
AKM,199,0.0,417
ALM,85,0.0,129
ALMB,91,0.0,260
ALMM,84,0.0,128
ALMO,93,0.0,260
ALMP,87,0.0,260
AMF,57,0.0,116
AMFS,60,0.0,356
AML,130,0.0,343
AMPO,82,0.0,128
AMR,114,0.0,401
AMRI,132,0.0,413
AMRN,115,0.0,476
ANA,144,0.0,487
APD,93,0.0,277
APDM,92,0.0,278
APDO,96,0.0,312
APG,262,0.0,447
APN,71,0.0,126
ARN,162,0.0,197
ASA,69,0.0,116
ASB,65,0.0,43
ASD,75,0.0,116
ASDL,82,0.0,374
ASDM,71,0.0,153
ASDZ,71,0.0,57
ASHD,64,0.0,276
ASN,200,0.0,367
ASS,79,0.0,374
ASSP,72,0.0,167
ATN,98,0.0,311
AVAT,63,0.0,362
BD,75,0.0,129
BDE,156,0.0,210
BDG,63,0.0,117
BDM,243,0.0,436
BDPB,80,0.0,452
BET,54,0.0,116
BF,247,0.0,436
BGN,110,0.0,196
BHDV,42,0.0,64
BHV,45,0.0,116
BK,149,0.0,211
BKF,133,0.0,459
BKG,132,0.0,455
BKL,48,0.0,116
BL,184,0.0,367
BLL,97,0.0,411
BMN,68,0.0,277
BMR,68,0.0,52
BN,125,0.0,344
BNC,76,0.0,357
BNK,42,0.0,124
BNN,73,0.0,356
BNZ,76,0.0,297
BP,241,0.0,384
BR,103,0.0,81
BRD,68,0.0,192
BRN,60,0.0,140
BSD,17,0.0,43
BSK,77,0.0,207
BSKS,78,0.0,230
BSMZ,59,0.0,117
BTL,44,0.0,116
BV,104,0.0,395
BZL,142,0.0,227
CAS,102,0.0,398
CK,58,0.0,49
CL,18,36.64516129032258,43
CO,170,0.0,430
CPS,81,0.0,201
CVM,166,0.0,228
DA,141,0.0,413
DB,46,0.0,168
DDN,115,0.0,292
DDR,59,0.0,75
DDRS,56,0.0,75
DDZD,60,0.0,192
DEI,221,0.0,384
DID,65,0.0,274
DL,134,0.0,367
DLD,48,0.0,136
DLN,174,0.0,444
DMN,74,0.0,167
DMNZ,69,0.0,119
DN,86,0.0,163
DR,62,0.0,274
DRH,102,0.0,412
DRON,134,0.0,274
DRP,228,0.0,398
DT,93,0.0,192
DTC,76,0.0,294
DTCH,74,0.0,294
DTCP,92,0.0,262
DV,91,0.0,277
DVC,95,0.0,343
DVD,67,0.0,116
DVN,55,0.0,276
DVNK,89,0.0,224
DWE,234,0.0,384
DZ,266,0.0,465
DZW,265,0.0,465
EC,129,0.0,208
ED,63,0.0,274
EDC,65,0.0,296
EDN,171,0.0,212
EEM,273,0.0,464
EGH,165,0.0,227
EGHM,166,0.0,227
EHS,63,0.0,192
EHV,64,0.0,116
EKZ,136,0.0,467
EML,80,0.0,356
EMN,190,0.0,445
EMNZ,186,0.0,444
ES,128,0.0,344
ESK,124,0.0,344
EST,35,0.0,3
ETN,86,0.0,452
FN,234,0.0,384
FWD,231,0.0,384
GBG,163,0.0,430
GD,68,34.41935483870968,116
