Station Code,Distance from VG,Services from/to VG,Disruptions on path to VG
OTB,70,0.0,354
OVN,112,0.0,441
OW,22,0.935483870967742,73
PMO,116,0.0,404
PMR,115,0.0,425
PMW,114,0.0,428
PT,91,0.0,386
RAI,86,0.0,149
RAT,157,0.0,400
RB,99,0.0,415
RD,283,0.0,484
RH,76,0.0,355
RHN,93,0.0,276
RL,117,0.0,359
RLB,88,0.0,364
RM,80,0.0,43
RS,11,0.935483870967742,73
RSD,70,0.0,379
RSN,137,0.0,357
RSW,114,0.0,366
RTA,98,0.0,231
RTB,94,0.0,265
RTD,95,0.0,265
RTN,100,0.0,335
RTST,90,0.0,265
RTZ,91,0.0,265
RV,91,0.0,92
RVS,31,0.0,94
SBK,112,0.0,124
SD,72,0.0,170
SDA,272,0.0,474
SDM,99,0.0,335
SDT,65,0.0,147
SDTB,68,0.0,148
SGL,136,0.0,110
SGN,151,0.0,517
SHL,98,0.0,160
SK,256,0.0,403
SKND,255,0.0,403
SM,85,0.0,92
SN,114,0.0,125
SOG,134,0.0,111
SPTN,117,0.0,441
SPTZ,115,0.0,441
SRN,98,0.0,121
SSH,110,0.0,254
ST,71,0.0,170
STD,105,0.0,92
STM,267,0.0,480
STV,285,0.0,411
STZ,70,0.0,170
SWD,256,0.0,468
SWK,181,0.0,450
TB,25,0.0,43
TBG,102,0.0,391
TBR,30,0.0,56
TBU,26,0.0,56
TG,85,0.0,106
TL,38,0.0,116
TPSW,36,0.0,116
TWL,116,0.0,423
UHM,280,0.0,484
UHZ,277,0.0,484
UST,272,0.0,483
UT,52,0.0,73
UTG,114,0.0,463
UTLN,48,0.0,197
UTLR,55,0.0,146
UTO,55,0.0,146
UTT,57,0.0,146
UTVR,51,0.0,197
UTZL,54,0.0,146
VB,109,0.0,231
VD,107,0.0,357
VDL,128,0.0,111
VDM,272,0.0,481
VEM,99,0.0,357
VG,0,0.0,0
VH,110,0.0,254
VHP,163,0.0,494
VK,137,0.0,111
VL,80,0.0,105
VLB,79,0.0,157
VNDC,85,0.0,275
VNDW,84,0.0,275
VP,72,0.0,355
VRY,86,0.0,158
VS,145,0.0,411
VSS,144,0.0,384
VST,107,0.0,339
VSV,109,0.0,391
VTN,59,0.0,151
VZ,156,0.0,493
WAD,92,0.0,231
WADN,93,0.0,231
WADT,91,0.0,231
WC,38,0.0,97
WD,68,0.0,146
WDN,145,0.0,364
WF,74,0.0,354
WFM,269,0.0,483
WH,128,0.0,433
WK,272,0.0,406
WL,91,0.0,374
WM,107,0.0,428
WP,85,0.0,158
WR,299,0.0,492
WS,277,0.0,483
WSM,261,0.0,469
WT,56,0.0,43
WTV,71,0.0,356
WV,194,0.0,400
WW,130,0.0,410
WWW,131,0.0,410
WZ,130,0.0,399
YPB,105,0.0,149
ZA,60,0.0,119
ZB,264,0.0,477
ZBM,17,0.0,73
ZD,101,0.0,425
ZDK,104,0.0,428
ZH,257,0.0,468
ZL,139,0.0,386
ZLSH,144,0.0,400
ZLW,61,0.0,397
ZP,95,0.0,357
ZTM,100,0.0,146
ZTMO,99,0.0,231
ZV,80,0.0,354
ZVB,69,0.0,402
ZVT,118,0.0,441
ZWD,77,0.0,265
ZZS,104,0.0,428
