Station Code,Distance from SPTZ,Services from/to SPTZ,Disruptions on path to SPTZ
OP,117,0.0,414
OST,137,0.0,615
OT,132,0.0,484
OTB,116,0.0,589
OVN,7,7.193548387096774,37
OW,129,0.0,441
PMO,41,0.0,40
PMR,40,0.0,58
PMW,39,0.0,40
PT,87,0.0,549
RAI,35,0.0,335
RAT,153,0.0,309
RB,159,0.0,248
RD,279,0.0,393
RH,130,0.0,847
RHN,106,0.0,403
RL,152,0.0,586
RLB,79,0.0,196
RM,195,0.0,506
RS,118,0.0,441
RSD,130,0.0,196
RSN,153,0.0,584
RSW,53,0.0,25
RTA,81,0.0,206
RTB,73,0.0,196
RTD,72,0.0,126
RTN,77,0.0,196
RTST,77,0.0,196
RTZ,76,0.0,196
RV,206,0.0,555
RVS,138,0.0,462
SBK,210,0.0,42
SD,64,0.0,310
SDA,268,0.0,383
SDM,68,0.0,126
SDT,102,0.0,243
SDTB,99,0.0,243
SGL,214,0.0,42
SGN,51,0.0,109
SHL,35,0.0,58
SK,252,0.0,566
SKND,251,0.0,566
SM,200,0.0,555
SN,208,0.0,42
SOG,208,0.0,42
SPTN,2,43.03225806451613,0
SPTZ,0,0.0,0
SRN,213,0.0,584
SSH,42,0.0,10
ST,65,0.0,310
STD,217,0.0,42
STM,263,0.0,389
STV,281,0.0,574
STZ,66,0.0,310
SWD,252,0.0,377
SWK,177,0.0,359
TB,133,0.0,441
TBG,156,0.0,883
TBR,138,0.0,454
TBU,134,0.0,454
TG,200,0.0,507
TL,101,0.0,411
TPSW,99,0.0,411
TWL,122,0.0,584
UHM,276,0.0,393
UHZ,273,0.0,393
UST,268,0.0,392
UT,63,0.0,295
UTG,14,35.61290322580645,20
UTLN,67,0.0,368
UTLR,66,0.0,368
UTO,66,0.0,368
UTT,68,0.0,368
UTVR,64,0.0,368
UTZL,61,0.0,312
VB,52,0.0,39
VD,142,0.0,584
VDL,202,0.0,42
VDM,268,0.0,390
VEM,126,0.0,586
VG,115,0.0,441
VH,26,0.9032258064516128,0
