Station Code,Distance from WDN,Services from/to WDN,Disruptions on path to WDN
OTB,83,0.0,267
OVN,158,0.0,591
OW,123,0.0,309
PMO,162,0.0,554
PMR,161,0.0,575
PMW,160,0.0,578
PT,88,0.0,26
RAI,135,0.0,286
RAT,22,37.96774193548387,12
RB,237,0.0,754
RD,184,0.0,110
RH,69,0.0,10
RHN,156,0.0,324
RL,72,0.0,9
RLB,176,0.0,510
RM,183,0.0,417
RS,134,0.0,309
RSD,208,0.0,718
RSN,8,32.25806451612903,0
RSW,177,0.0,455
RTA,159,0.0,440
RTB,170,0.0,510
RTD,169,0.0,440
RTN,164,0.0,442
RTST,174,0.0,510
RTZ,173,0.0,510
RV,172,0.0,403
RVS,114,0.0,267
SBK,215,0.0,498
SD,105,0.0,296
SDA,173,0.0,100
SDM,173,0.0,510
SDT,174,0.0,358
SDTB,177,0.0,359
SGL,239,0.0,484
SGN,197,0.0,667
SHL,147,0.0,357
SK,157,0.0,43
SKND,156,0.0,43
SM,178,0.0,417
SN,217,0.0,499
SOG,237,0.0,485
SPTN,163,0.0,591
SPTZ,161,0.0,591
SRN,201,0.0,495
SSH,168,0.0,485
ST,106,0.0,296
STD,208,0.0,466
STM,168,0.0,106
STV,186,0.0,51
STZ,107,0.0,286
SWD,157,0.0,94
SWK,82,0.0,76
TB,163,0.0,382
TBG,113,0.0,56
TBR,168,0.0,395
TBU,164,0.0,395
TG,165,0.0,384
TL,123,0.0,284
TPSW,125,0.0,284
TWL,39,27.806451612903224,7
UHM,181,0.0,110
UHZ,178,0.0,110
UST,173,0.0,109
UT,113,0.0,282
UTG,160,0.0,613
UTLN,117,0.0,355
UTLR,116,0.0,355
UTO,110,0.0,282
UTT,118,0.0,355
UTVR,114,0.0,355
UTZL,115,0.0,355
VB,170,0.0,440
VD,62,0.0,7
VDL,231,0.0,485
VDM,173,0.0,107
VEM,54,0.0,7
VG,145,0.0,382
VH,171,0.0,390
VHP,18,0.0,71
VK,240,0.0,485
VL,160,0.0,383
VLB,130,0.0,330
VNDC,148,0.0,323
VNDW,147,0.0,323
VP,73,0.0,13
VRY,137,0.0,331
VS,283,0.0,750
VSS,282,0.0,723
VST,168,0.0,475
VSV,116,0.0,40
VTN,120,0.0,360
VZ,11,0.0,70
WAD,153,0.0,440
WADN,154,0.0,440
WADT,152,0.0,440
WC,107,0.0,267
WD,129,0.0,282
WDN,0,0.0,0
WF,87,0.0,267
WFM,170,0.0,109
WH,51,0.0,83
WK,173,0.0,46
WL,102,0.0,39
WM,153,0.0,578
WP,123,0.0,294
WR,200,0.0,118
WS,178,0.0,109
WSM,162,0.0,95
WT,201,0.0,425
WTV,82,0.0,16
WV,95,0.0,26
WW,95,0.0,21
WWW,94,0.0,21
WZ,49,0.0,26
YPB,166,0.0,358
ZA,101,0.0,281
ZB,165,0.0,103
ZBM,144,0.0,327
ZD,147,0.0,575
ZDK,150,0.0,578
ZH,158,0.0,94
ZL,40,37.96774193548387,12
ZLSH,45,0.0,26
ZLW,199,0.0,736
ZP,50,0.0,7
ZTM,161,0.0,355
ZTMO,160,0.0,440
ZV,91,0.0,19
ZVB,207,0.0,741
ZVT,164,0.0,591
ZWD,186,0.0,476
ZZS,150,0.0,578
