Station Code,Distance from BF,Services from/to BF,Disruptions on path to BF
AC,236,0.0,381
AH,201,0.0,114
AHP,200,0.0,118
AHPR,198,0.0,117
AHZ,209,0.0,371
AKL,259,0.0,392
AKM,91,0.0,35
ALM,206,0.0,35
ALMB,200,0.0,35
ALMM,207,0.0,166
ALMO,198,0.0,35
ALMP,204,0.0,40
AMF,191,0.0,35
AMFS,188,0.0,35
AML,170,0.0,56
AMPO,209,0.0,167
AMR,275,0.0,320
AMRI,172,0.0,126
AMRN,276,0.0,395
ANA,305,0.0,406
APD,171,0.0,35
APDM,172,0.0,70
APDO,168,0.0,111
APG,31,0.0,12
APN,247,0.0,285
ARN,390,0.0,545
ASA,233,0.0,169
ASB,233,0.0,169
ASD,236,0.0,35
ASDL,243,0.0,293
ASDM,232,0.0,275
ASDZ,235,0.0,166
ASHD,234,0.0,183
ASN,47,0.0,16
ASS,240,0.0,293
ASSP,231,0.0,174
ATN,229,0.0,125
AVAT,185,0.0,41
BD,303,0.0,434
BDE,345,0.0,572
BDG,239,0.0,276
BDM,12,0.0,1
BDPB,308,0.0,757
BET,282,0.0,348
BF,0,0.0,0
BGN,338,0.0,544
BHDV,270,0.0,412
BHV,203,0.0,279
BK,338,0.0,573
BKF,294,0.0,378
BKG,293,0.0,374
BKL,224,0.0,348
BL,63,0.0,69
BLL,258,0.0,330
BMN,179,0.0,111
BMR,245,0.0,406
BN,179,0.0,126
BNC,210,0.0,276
BNK,220,0.0,348
BNN,207,0.0,275
BNZ,212,0.0,292
BP,49,0.0,16
BR,280,0.0,435
BRD,279,0.0,509
BRN,200,0.0,275
BSD,245,0.0,391
BSK,253,0.0,366
BSKS,254,0.0,389
BSMZ,212,0.0,36
BTL,272,0.0,421
BV,265,0.0,314
BZL,370,0.0,575
CAS,263,0.0,317
CK,235,0.0,403
CL,230,0.0,376
CO,180,0.0,55
CPS,257,0.0,433
CVM,355,0.0,590
DA,167,0.0,45
DB,224,0.0,348
DDN,189,0.0,145
DDR,287,0.0,423
DDRS,284,0.0,423
DDZD,288,0.0,540
DEI,77,0.0,33
DID,218,0.0,123
DL,137,0.0,35
DLD,200,0.0,275
DLN,184,0.0,69
DMN,229,0.0,173
DMNZ,229,0.0,36
DN,308,0.0,487
DR,185,0.0,111
DRH,263,0.0,331
DRON,157,0.0,35
DRP,84,0.0,47
DT,281,0.0967741935483871,29
DTC,229,0.0,143
DTCH,227,0.0,143
DTCP,281,0.0,503
DV,156,0.0,45
DVC,160,0.0,111
DVD,231,0.0,166
DVN,208,0.0,120
DVNK,265,0.0,383
DWE,56,0.0,39
DZ,35,0.0,30
DZW,34,0.0,30
EC,318,0.0,570
ED,218,0.0,371
EDC,220,0.0,393
EDN,360,0.0,574
EEM,26,4.709677419354839,14
EGH,354,0.0,589
EGHM,355,0.0,589
EHS,291,0.0,424
EHV,292,0.0,424
EKZ,297,0.0,386
EML,168,0.0,38
EMN,200,0.0,70
EMNZ,196,0.0,69
ES,192,0.0,145
ESK,188,0.0,145
EST,212,0.0,371
ETN,314,0.0,757
FN,90,0.0,33
FWD,59,0.0,16
GBG,173,0.0,55
GD,244,0.0,348
GDG,241,0.0,348
GDM,238,0.0,348
GDR,234,0.0,160
GERP,21,0.0,16
GK,38,0.0,16
GLN,334,0.0,572
GN,19,34.03225806451613,1
GND,273,0.0,412
GNN,15,34.0,1
GO,199,0.0,178
GP,298,0.0,486
