Station Code,Distance from EDC,Services from/to EDC,Disruptions on path to EDC
AC,67,0.0,128
AH,19,0.0,22
AHP,20,0.0,279
AHPR,22,0.0,279
AHZ,27,0.0,279
AKL,88,0.0,223
AKM,172,0.0,422
ALM,79,0.0,270
ALMB,85,0.0,401
ALMM,78,0.0,269
ALMO,87,0.0,401
ALMP,81,0.0,401
AMF,32,38.064516129032256,17
AMFS,35,0.0,257
AML,103,0.0,348
AMPO,76,0.0,269
AMR,116,0.0,556
AMRI,105,0.0,418
AMRN,117,0.0,631
ANA,146,0.0,642
APD,66,0.0,282
APDM,65,0.0,283
APDO,69,0.0,317
APG,235,0.0,452
APN,78,0.0,105
ARN,213,0.0,478
ASA,74,0.0,261
ASB,72,0.0,95
ASD,77,0.0,271
ASDL,84,0.0,529
ASDM,73,0.0,257
ASDZ,76,0.0,258
ASHD,71,0.0,255
ASN,173,0.0,372
ASS,81,0.0,529
ASSP,72,0.0,276
ATN,71,0.0,316
AVAT,38,0.0,263
BD,124,0.0,150
BDE,163,0.0,223
BDG,70,0.0,96
BDM,216,0.0,441
BDPB,129,0.0,473
BET,103,0.0,137
BF,220,0.0,441
BGN,161,0.0,478
BHDV,99,0.0,243
BHV,44,0.0,261
BK,156,0.0,224
BKF,135,0.0,614
BKG,134,0.0,610
BKL,55,0.0,95
BL,157,0.0,372
BLL,99,0.0,566
BMN,41,0.0,282
BMR,63,0.0,57
BN,98,0.0,349
BNC,13,38.064516129032256,0
BNK,35,0.0,54
BNN,16,38.064516129032256,16
BNZ,11,38.064516129032256,0
BP,214,0.0,389
BR,98,0.0,86
BRD,110,0.0,256
BRN,41,0.0,257
BSD,74,0.0,222
BSK,84,0.0,186
BSKS,85,0.0,209
BSMZ,53,0.0,258
BTL,93,0.0,137
BV,106,0.0,550
BZL,193,0.0,509
CAS,104,0.0,553
CK,53,0.0,54
CL,59,0.0,126
CO,143,0.0,435
CPS,88,0.0,180
CVM,173,0.0,241
DA,114,0.0,418
DB,31,0.0,22
DDN,88,0.0,297
DDR,116,0.0,254
DDRS,113,0.0,254
DDZD,117,0.0,371
DEI,194,0.0,389
DID,38,0.0,279
DL,107,0.0,372
DLD,41,0.0,257
DLN,147,0.0,449
DMN,70,0.0,275
DMNZ,70,0.0,258
DN,126,0.0,138
DR,35,0.0,279
DRH,104,0.0,567
DRON,127,0.0,372
DRP,201,0.0,403
DT,112,0.0,195
DTC,49,0.0,299
DTCH,47,0.0,299
DTCP,112,0.0,250
DV,64,0.0,282
DVC,68,0.0,348
DVD,72,0.0,258
DVN,28,0.0,281
DVNK,96,0.0,203
DWE,207,0.0,389
DZ,239,0.0,470
DZW,238,0.0,470
EC,136,0.0,221
