Station Code,Distance from TWL,Services from/to TWL,Disruptions on path to TWL
AC,98,0.0,384
AH,50,0.0,69
AHP,49,0.0,73
AHPR,47,0.0,72
AHZ,58,0.0,326
AKL,121,0.0,473
AKM,113,0.0,140
ALM,100,0.0,288
ALMB,106,0.0,419
ALMM,99,0.0,287
ALMO,108,0.0,419
ALMP,102,0.0,419
AMF,53,0.032258064516129,35
AMFS,56,0.0,275
AML,44,27.451612903225808,66
AMPO,97,0.0,287
AMR,137,0.0,561
AMRI,46,6.419354838709677,136
AMRN,138,0.0,636
ANA,167,0.0,647
APD,10,32.61290322580645,0
APDM,11,0.0,35
APDO,7,30.741935483870968,0
APG,176,0.0,170
APN,109,0.0,285
ARN,244,0.0,813
ASA,95,0.0,279
ASB,95,0.0,279
ASD,98,0.0,276
ASDL,105,0.0,555
ASDM,94,0.0,294
ASDZ,97,0.0,279
ASHD,96,0.0,293
ASN,114,0.0,90
ASS,102,0.0,534
ASSP,93,0.0,294
ATN,78,0.0,80
AVAT,59,0.0,281
BD,155,0.0,454
BDE,194,0.0,528
BDG,101,0.0,276
BDM,157,0.0,159
BDPB,160,0.0,777
BET,134,0.0,484
BF,161,0.0,159
BGN,192,0.0,782
BHDV,132,0.0,493
BHV,65,0.0,279
BK,187,0.0,528
BKF,156,0.0,619
BKG,155,0.0,615
BKL,86,0.0,351
BL,98,0.0,95
BLL,120,0.0,571
BMN,28,0.0,66
BMR,94,0.0,361
BN,53,6.419354838709677,136
BNC,72,0.0,276
BNK,82,0.0,348
BNN,69,0.0,275
BNZ,74,0.0,292
BP,155,0.0,107
BR,129,0.0,390
BRD,141,0.0,518
BRN,62,0.0,275
BSD,107,0.0,472
BSK,115,0.0,366
BSKS,116,0.0,389
BSMZ,74,0.0,276
BTL,124,0.0,441
BV,127,0.0,594
BZL,224,0.0,813
CAS,125,0.0,558
CK,84,0.0,358
CL,92,0.0,376
CO,84,0.0,153
CPS,119,0.0,433
CVM,204,0.0,545
DA,55,0.0,136
DB,86,0.0,348
DDN,61,0.0,81
DDR,149,0.0,506
DDRS,146,0.0,504
DDZD,150,0.0,623
DEI,135,0.0,107
DID,67,0.0,78
DL,48,0.0,90
DLD,62,0.0,275
