Station Code,Distance from RTN,Services from/to RTN,Disruptions on path to RTN
AC,66,36.483870967741936,129
AH,109,0.0,160
AHP,110,0.0,417
AHPR,112,0.0,419
AHZ,117,0.0,417
AKL,53,0.0,202
AKM,215,0.0,464
ALM,100,0.0,173
ALMB,106,0.0,304
ALMM,99,0.0,172
ALMO,108,0.0,304
ALMP,102,0.0,304
AMF,72,0.0,160
AMFS,75,0.0,400
AML,169,0.0,466
AMPO,97,0.0,172
AMR,107,2.838709677419355,315
AMRI,171,0.0,536
AMRN,108,0.0,390
ANA,137,0.0,401
APD,115,0.0,400
APDM,116,0.0,435
APDO,118,0.0,435
APG,278,0.0,494
APN,37,0.0,110
ARN,128,0.0,106
ASA,84,36.483870967741936,160
ASB,80,36.483870967741936,160
ASD,90,36.483870967741936,160
ASDL,84,0.0,120
ASDM,86,36.483870967741936,197
ASDZ,83,0.0,120
ASHD,81,36.483870967741936,174
ASN,216,0.0,414
ASS,87,36.193548387096776,120
ASSP,87,0.0,211
ATN,161,0.0,454
AVAT,78,0.0,406
BD,55,0.0,70
BDE,205,0.0,507
BDG,45,0.0,191
BDM,259,0.0,483
BDPB,50,0.0,192
BET,103,0.0,449
BF,263,0.0,483
BGN,76,0.0,75
BHDV,42,0.0,200
BHV,60,0.0,160
BK,198,0.0,507
BKF,141,0.0,205
BKG,140,0.0,201
BKL,54,36.483870967741936,96
BL,200,0.0,419
BLL,75,0.0,273
BMN,131,0.0,420
BMR,152,0.0,316
BN,178,0.0,536
BNC,91,0.0,401
BNK,59,0.0,160
BNN,88,0.0,400
BNZ,93,0.0,417
BP,257,0.0,431
BR,163,0.0,487
BRD,16,0.0,85
BRN,75,0.0,184
BSD,67,0.0,220
BSK,31,0.0,87
BSKS,30,0.0,87
BSMZ,74,0.0,161
BTL,93,0.0,406
BV,85,0.0,293
BZL,108,0.0,106
CAS,95,2.838709677419355,312
CK,142,0.0,313
CL,69,0.0,188
CO,193,0.0,434
CPS,6,38.38709677419355,2
CVM,215,0.0,524
DA,180,0.0,536
DB,63,0.0,160
DDN,173,0.0,450
DDR,25,0.0,70
DDRS,28,0.0,187
DDZD,26,0.0,187
DEI,237,0.0,431
DID,128,0.0,417
DL,150,0.0,414
DLD,63,0.0,180
DLN,197,0.0,448
DMN,89,0.0,211
DMNZ,84,0.0,163
DN,135,0.0,459
DR,125,0.0,417
DRH,80,0.0,292
DRON,149,0.0,318
DRP,244,0.0,445
DT,19,0.0,70
DTC,139,0.0,437
DTCH,137,0.0,437
DTCP,18,0.0,70
DV,130,0.0,400
DVC,134,0.0,466
DVD,82,36.483870967741936,160
DVN,118,0.0,419
DVNK,40,0.0,189
DWE,250,0.0,431
DZ,282,0.0,512
DZW,281,0.0,512
EC,178,0.0,504
ED,92,0.0,160
EDC,94,0.0,182
EDN,220,0.0,508
EEM,289,0.0,511
EGH,214,0.0,523
EGHM,215,0.0,523
EHS,112,0.0,525
EHV,113,0.0,393
EKZ,144,0.0,213
EML,95,0.0,403
EMN,213,0.0,449
EMNZ,209,0.0,448
ES,186,0.0,502
ESK,182,0.0,502
EST,119,0.0,267
ETN,66,0.0,393
FN,250,0.0,431
FWD,247,0.0,431
GBG,186,0.0,434
GD,19,38.38709677419355,2
GDG,22,38.38709677419355,87
GDM,74,0.0,221
GDR,144,0.0,454
GERP,242,0.0,467
GK,263,0.0,482
GLN,194,0.0,506
GN,244,0.0,467
GND,39,0.0,190
GNN,248,0.0,482
GO,163,0.0,442
GP,119,0.0,455
GR,48,0.0,200
GS,113,0.0,106
GV,27,0.0,171
GVC,28,0.0,186
GVM,32,0.0,186
GVMW,26,0.0,171
GW,220,0.0,421
GZ,65,0.0,393
HAD,68,0.0,196
HB,205,0.0,537
HBZM,36,0.0,190
HD,99,0.0,403
