Station Code,Distance from AML,Services from/to AML,Disruptions on path to AML
AC,142,0.0,412
AH,84,0.0,69
AHP,83,0.0,73
AHPR,81,0.0,72
AHZ,92,0.0,326
AKL,161,0.0,387
AKM,122,0.0,76
ALM,126,0.0,37
ALMB,120,0.0,37
ALMM,127,0.0,168
ALMO,118,0.0,26
ALMP,124,0.0,42
AMF,97,42.064516129032256,66
AMFS,100,0.0,306
AML,0,0.0,0
AMPO,129,0.0,169
AMR,181,0.0,605
AMRI,2,44.32258064516129,0
AMRN,182,0.0,680
ANA,211,0.0,691
APD,54,70.0,66
APDM,55,0.0,101
APDO,51,27.806451612903224,66
APG,185,0.0,106
APN,153,0.0,316
ARN,278,0.0,782
ASA,139,0.0,310
ASB,139,0.0,310
ASD,142,6.580645161290323,320
ASDL,149,0.0,578
ASDM,138,0.0,306
ASDZ,141,17.258064516129032,307
ASHD,140,0.0,324
ASN,123,0.0,26
ASS,146,0.0,578
ASSP,137,0.0,325
ATN,112,0.0,80
AVAT,103,0.0,312
BD,189,0.0,454
BDE,228,0.0,527
BDG,145,0.0,307
BDM,166,0.0,95
BDPB,194,0.0,777
BET,168,0.0,441
BF,170,0.0,95
BGN,226,0.0,782
BHDV,172,0.0,407
BHV,109,0.0,310
BK,221,0.0,528
BKF,200,0.0,663
BKG,199,0.0,659
BKL,130,0.0,379
BL,107,0.0,26
BLL,164,0.0,615
BMN,62,0.0,66
BMR,128,0.0,361
BN,9,44.29032258064516,0
BNC,116,0.0,307
BNK,126,0.0,379
BNN,113,0.0,306
BNZ,114,0.0,349
BP,164,0.0,43
BR,163,0.0,390
BRD,185,0.0,540
BRN,106,0.0,306
BSD,147,0.0,386
BSK,159,0.0,397
BSKS,160,0.0,420
BSMZ,118,0.0,307
BTL,158,0.0,441
BV,171,0.0,599
BZL,258,0.0,813
CAS,169,0.0,602
CK,118,0.0,358
CL,136,0.0,407
CO,40,0.0,17
CPS,163,0.0,464
CVM,238,0.0,545
DA,11,25.32258064516129,0
DB,130,0.0,379
DDN,19,0.0,19
DDR,189,0.0,418
DDRS,186,0.0,418
DDZD,190,0.0,535
DEI,144,0.0,43
DID,101,0.0,78
DL,41,0.0,4
DLD,106,0.0,306
DLN,44,0.0,31
DMN,135,0.0,324
DMNZ,135,0.032258064516129,307
DN,191,0.0,442
DR,68,0.0,66
DRH,169,0.0,616
DRON,77,0.0,26
DRP,151,0.0,57
DT,187,0.0,479
DTC,112,0.0,98
DTCH,110,0.0,98
DTCP,187,0.0,534
DV,39,72.29032258064517,0
DVC,35,30.032258064516128,7
DVD,137,16.032258064516128,307
DVN,91,0.0,75
DVNK,171,0.0,414
DWE,157,0.0,43
DZ,189,0.0,124
DZW,188,0.0,124
EC,201,0.0,525
ED,101,0.0,326
EDC,103,0.0,348
EDN,243,0.0,529
EEM,196,0.0,123
EGH,237,0.0,544
EGHM,238,0.0,544
EHS,177,0.0,517
EHV,178,0.0,441
EKZ,203,0.0,671
EML,88,0.0,29
EMN,60,0.0,32
EMNZ,56,0.0,31
ES,22,91.2258064516129,19
ESK,18,44.87096774193548,19
EST,95,0.0,326
ETN,200,0.0,777
FN,157,0.0,43
FWD,154,0.0,43
GBG,33,0.0,17
GD,150,17.483870967741936,379
GDG,147,0.0,379
GDM,140,0.0,343
GDR,117,0.0,115
GERP,149,0.0,79
GK,170,0.0,94
GLN,217,0.0,527
GN,151,0.0,79
GND,175,0.0,407
GNN,155,0.0,94
GO,29,0.0,52
GP,184,0.0,503
GR,166,0.0,405
GS,263,0.0,782
GV,179,0.0,464
GVC,178,17.451612903225808,382
GVM,179,0.0,499
GVMW,180,0.0,479
GW,127,0.0,83
GZ,179,0.0,456
HAD,165,0.0,599
HB,228,0.0,558
HBZM,178,0.0,417
HD,84,0.0,26
HDB,27,23.580645161290324,4
HDE,63,0.0,26
HDG,150,0.0,43
HDR,223,0.0,700
HDRZ,222,0.0,700
HFD,157,0.0,381
HGL,14,97.83870967741936,0
HGLG,16,0.0,19
HGLO,16,0.0,19
HGV,93,0.0,26
HGZ,162,0.0,102
HIL,172,0.0,599
HK,168,0.0,638
HKS,195,0.0,655
HLG,166,0.0,44
HLGH,167,0.0,48
HLM,161,0.0,578
HLMS,160,0.0,599
HLO,176,0.0,605
HM,191,0.0,484
HMBH,192,0.0,488
HMBV,188,0.0,503
HMH,190,0.0,503
HMN,109,0.0,340
HN,185,0.0,599
HNK,186,0.0,655
HNO,33,37.96774193548387,12
HNP,182,0.0,46
HON,20,30.032258064516128,7
HOR,119,0.0,307
HR,111,0.0,83
HRL,232,0.0,527
HRLW,234,0.0,544
HRN,145,0.0,79
HRT,173,0.0,442
HT,146,0.0,368
HTN,126,0.0,379
HTNC,127,0.0,407
HTO,145,0.0,368
HVL,103,0.0,306
HVS,113,24.32258064516129,306
HVSM,114,0.0,307
HVSP,114,0.0,307
HWD,188,0.0,681
HWZB,153,0.0,599
HZE,189,0.0,509
IJT,165,0.0,44
KBD,245,0.0,782
KBK,63,0.0,102
KLP,108,0.0,348
KMA,160,0.0,612
KMR,240,0.0,544
KMW,187,0.0,51
KPN,60,0.0,26
KPNZ,60,0.0,26
KRD,240,0.0,555
KRG,252,0.0,782
KTR,116,0.0,340
KW,159,0.0,100
KZ,154,0.0,602
LAA,179,0.0,411
LC,42,0.0,60
LDL,167,0.0,397
LDM,154,0.0,387
LEDN,168,0.0,404
LG,235,0.0,544
LLS,102,0.0,26
LLZM,163,0.0,464
LP,177,0.0,106
LTN,109,0.0,349
LTV,90,0.0,68
LUT,217,0.0,527
LW,140,0.0,26
LWC,143,0.0,43
MAS,125,0.0,379
MDB,282,0.0,809
MES,240,0.0,529
MG,150,0.0,43
MMLH,113,0.0,347
MP,73,0.0,26
MRB,19,25.32258064516129,1
MRN,138,0.0,411
MT,234,0.0,527
MTH,160,0.0,102
MTN,237,0.0,529
MTR,235,0.0,529
MZ,199,0.0,514
NDB,119,0.0,307
NH,225,0.0,558
NKK,100,0.0,29
NM,103,0.0,326
NMD,108,0.0,347
NMGO,106,0.0,347
NMH,106,0.0,347
NML,102,0.0,340
NS,72,0.0,26
NSCH,195,0.0,109
NVD,13,47.16129032258065,0
NVP,162,0.0,509
NWK,159,0.0,464
O,127,0.0,347
OBD,194,0.0,599
ODB,220,0.0,782
ODZ,25,0.0,19
OMN,30,0.0,4
OP,112,0.0,340
OST,49,0.0,66
OT,167,0.0,484
OTB,88,0.0,326
OVN,163,0.0,615
OW,128,0.0,368
PMO,167,0.0,578
PMR,166,0.0,599
PMW,165,0.0,602
PT,93,0.0,26
RAI,140,0.0,310
RAT,27,47.16129032258065,12
RB,242,0.0,813
RD,189,0.0,110
RH,74,0.0,69
RHN,161,0.0,414
RL,77,0.0,68
RLB,181,0.0,534
RM,188,0.0,476
RS,139,0.0,368
RSD,213,0.0,777
RSN,13,32.38709677419355,0
RSW,182,0.0,479
RTA,164,0.0,464
RTB,175,0.0,534
RTD,174,0.0,464
RTN,169,0.0,466
RTST,179,0.0,534
RTZ,178,0.0,534
RV,177,0.0,462
RVS,119,0.0,326
SBK,220,0.0,557
SD,110,0.0,320
SDA,178,0.0,100
SDM,178,0.0,534
