Station Code,Distance from EDN,Services from/to EDN,Disruptions on path to EDN
AC,211,0.0,297
AH,159,0.0,203
AHP,160,0.0,460
AHPR,162,0.0,462
AHZ,151,0.0,217
AKL,182,0.0,232
AKM,312,0.0,603
ALM,236,0.0,274
ALMB,242,0.0,405
ALMM,235,0.0,273
ALMO,244,0.0,405
ALMP,238,0.0,405
AMF,208,0.0,261
AMFS,211,0.0,501
AML,243,0.0,529
AMPO,233,0.0,273
AMR,265,0.0,546
AMRI,245,0.0,599
AMRN,266,0.0,621
ANA,295,0.0,632
APD,206,0.0,463
APDM,205,0.0,464
APDO,209,0.0,498
APG,375,0.0,633
APN,222,0.0,271
ARN,254,0.0,474
ASA,220,0.0,261
ASB,216,0.0,261
ASD,226,0.0,261
ASDL,233,0.0,540
ASDM,222,0.0,298
ASDZ,222,0.0,264
ASHD,217,0.0,275
ASN,313,0.0,553
ASS,230,0.0,519
ASSP,223,0.0,312
ATN,211,0.0,497
AVAT,214,0.0,507
BD,165,0.0,115
BDE,15,0.0,2
BDG,214,0.0,262
BDM,356,0.0,622
BDPB,170,0.0,438
BET,117,0.0,115
BF,360,0.0,622
BGN,202,0.0,443
BHDV,193,0.0,252
BHV,196,0.0,261
BK,22,0.0,33
BKF,284,0.0,604
BKG,283,0.0,600
BKL,199,0.0,264
BL,297,0.0,558
BLL,248,0.0,556
BMN,181,0.0,463
BMR,115,0.0,140
BN,238,0.0,530
BNC,191,0.0,483
BNK,193,0.0,312
BNN,194,0.0,499
BNZ,189,0.0,483
BP,354,0.0,570
BR,80,0.0,87
BRD,204,0.0,555
BRN,211,0.0,285
BSD,168,0.0,231
BSK,228,0.0,352
BSKS,229,0.0,375
BSMZ,210,0.0,262
BTL,127,0.0,191
BV,255,0.0,579
BZL,234,0.0,474
CAS,253,0.0,543
CK,125,0.0,168
CL,169,0.0,231
CO,283,0.0,616
CPS,226,0.0,510
CVM,41,0.0,20
DA,254,0.0,599
DB,197,0.0,356
DDN,228,0.0,478
DDR,195,0.0,438
DDRS,198,0.0,555
DDZD,194,0.0,461
DEI,334,0.0,570
DID,178,0.0,460
DL,247,0.0,553
DLD,199,0.0,281
DLN,287,0.0,630
DMN,225,0.0,312
DMNZ,220,0.0,264
DN,108,0.0,139
DR,175,0.0,460
DRH,253,0.0,575
DRON,267,0.0,553
DRP,341,0.0,584
DT,229,0.0,508
DTC,189,0.0,480
DTCH,187,0.0,480
DTCP,228,0.0,508
DV,204,0.0,463
DVC,208,0.0,529
DVD,218,0.0,261
DVN,168,0.0,462
DVNK,240,0.0,369
DWE,347,0.0,570
DZ,379,0.0,651
DZW,378,0.0,651
EC,42,0.0,6
ED,176,0.0,460
EDC,178,0.0,482
EDN,0,0.0,0
EEM,386,0.0,650
EGH,40,0.0,19
EGHM,41,0.0,19
EHS,108,0.0,115
EHV,107,0.0,53
EKZ,287,0.0,612
