Station Code,Distance from EDN,Services from/to EDN,Disruptions on path to EDN
EML,231,0.0,504
EMN,303,0.0,631
EMNZ,299,0.0,630
ES,241,0.0,530
ESK,237,0.0,530
EST,148,0.0,203
ETN,176,0.0,438
FN,347,0.0,570
FWD,344,0.0,570
GBG,276,0.0,616
GD,219,0.0,261
GDG,216,0.0,261
GDM,161,0.0,188
GDR,194,0.0,497
GERP,339,0.0,606
GK,360,0.0,621
GLN,34,0.0,4
GN,341,0.0,606
GND,196,0.0,252
GNN,345,0.0,621
GO,218,0.0,470
GP,101,0.0,60
GR,187,0.0,250
GS,239,0.0,474
GV,237,0.0,609
GVC,238,0.0,624
GVM,242,0.0,624
GVMW,236,0.0,609
GW,317,0.0,610
GZ,155,0.0,130
HAD,249,0.0,556
HB,39,0.0,19
HBZM,199,0.0,262
HD,235,0.0,504
HDB,270,0.0,603
HDE,253,0.0,553
HDG,340,0.0,570
HDR,307,0.0,641
HDRZ,306,0.0,641
HFD,238,0.0,325
HGL,233,0.0,511
HGLG,231,0.0,511
HGLO,235,0.0,530
HGV,283,0.0,553
HGZ,352,0.0,629
HIL,255,0.0,369
HK,252,0.0,579
HKS,279,0.0,596
HLG,356,0.0,571
HLGH,357,0.0,575
HLM,245,0.0,519
HLMS,244,0.0,540
HLO,260,0.0,546
HM,117,0.0,167
HMBH,116,0.0,167
HMBV,117,0.0,115
HMH,118,0.0,171
HMN,162,0.0,217
HN,269,0.0,540
HNK,270,0.0,596
HNO,247,0.0,553
HNP,372,0.0,573
HON,223,0.0,529
HOR,199,0.0,261
HR,301,0.0,553
HRL,35,0.0,2
HRLW,33,0.0,16
HRN,335,0.0,606
HRT,90,0.0,139
HT,139,0.0,115
HTN,179,0.0,284
HTNC,178,0.0,284
HTO,140,0.0,188
HVL,204,0.0,500
HVS,205,0.0,261
HVSM,206,0.0,262
HVSP,204,0.0,261
HWD,272,0.0,622
HWZB,237,0.0,540
HZE,96,0.0,55
IJT,355,0.0,571
KBD,221,0.0,474
KBK,197,0.0,463
KLP,183,0.0,482
KMA,244,0.0,553
KMR,27,0.0,16
KMW,377,0.0,578
KPN,250,0.0,553
KPNZ,250,0.0,553
KRD,43,0.0,30
KRG,228,0.0,474
KTR,169,0.0,217
KW,349,0.0,627
KZ,238,0.0,543
LAA,239,0.0,624
LC,205,0.0,463
LDL,236,0.0,352
LDM,175,0.0,232
LEDN,0,0.0,0
LG,38,0.0,19
LLS,260,0.0,405
LLZM,232,0.0,346
LP,367,0.0,633
LTN,184,0.0,483
LTV,223,0.0,465
LUT,26,0.0,33
LW,330,0.0,553
LWC,333,0.0,570
MAS,194,0.0,261
MDB,258,0.0,474
MES,15,0.0,2
MG,340,0.0,570
MMLH,130,0.0,171
MP,263,0.0,553
MRB,262,0.0,600
MRN,205,0.0,388
MT,9,17.548387096774192,0
MTH,350,0.0,629
MTN,12,0.0,2
MTR,8,17.548387096774192,0
MZ,86,0.0,53
NDB,211,0.0,262
NH,42,0.0,19
NKK,219,0.0,501
NM,140,0.0,182
NMD,145,0.0,203
NMGO,143,0.0,203
NMH,137,0.0,182
NML,141,0.0,203
NS,247,0.0,501
NSCH,385,0.0,636
NVD,246,0.0,536
NVP,243,0.0,453
NWK,228,0.0,346
O,158,0.0,188
OBD,278,0.0,632
ODB,196,0.0,443
ODZ,244,0.0,530
OMN,258,0.0,560
OP,165,0.0,217
OST,214,0.0,529
OT,136,0.0,234
OTB,163,0.0,460
OVN,247,0.0,556
OW,157,0.0,191
PMO,251,0.0,541
PMR,250,0.0,540
PMW,249,0.0,543
PT,226,0.0,504
RAI,221,0.0,264
RAT,253,0.0,553
RB,218,0.0,474
RD,379,0.0,637
RH,169,0.0,463
RHN,228,0.0,391
RL,210,0.0,465
RLB,208,0.0,654
RM,55,0.0,4
RS,146,0.0,191
RSD,189,0.0,438
RSN,230,0.0,529
RSW,234,0.0,609
RTA,225,0.0,508
RTB,214,0.0,555
RTD,215,0.0,438
RTN,220,0.0,508
RTST,210,0.0,660
RTZ,211,0.0,660
RV,66,0.0,53
RVS,156,0.0,203
SBK,37,0.0,34
SD,207,0.0,285
SDA,368,0.0,627
SDM,219,0.0,508
SDT,200,0.0,262
SDTB,202,0.0,557
SGL,19,0.0,16
SGN,286,0.0,632
SHL,233,0.0,275
SK,352,0.0,570
SKND,351,0.0,570
SM,60,0.0,53
SN,39,0.0,35
SOG,25,0.0,16
SPTN,252,0.0,574
SPTZ,250,0.0,574
SRN,37,0.0,4
SSH,245,0.0,369
ST,206,0.0,285
STD,30,0.0,2
STM,363,0.0,633
STV,381,0.0,578
STZ,205,0.0,285
SWD,352,0.0,621
SWK,277,0.0,603
TB,144,0.0,115
TBG,195,0.0,497
TBR,149,0.0,128
TBU,145,0.0,128
TG,73,0.0,67
TL,173,0.0,231
TPSW,171,0.0,231
TWL,209,0.0,529
UHM,376,0.0,637
UHZ,373,0.0,637
UST,368,0.0,636
UT,187,0.0,188
UTG,249,0.0,578
UTLN,183,0.0,312
UTLR,190,0.0,261
UTO,190,0.0,261
UTT,192,0.0,261
UTVR,186,0.0,312
UTZL,189,0.0,261
VB,241,0.0,653
VD,200,0.0,463
VDL,31,0.0,16
VDM,368,0.0,634
VEM,192,0.0,463
VG,135,0.0,234
VH,245,0.0,369
VHP,256,0.0,600
VK,22,0.0,16
VL,78,0.0,86
VLB,108,0.0,139
VNDC,220,0.0,390
VNDW,219,0.0,390
VP,165,0.0,463
VRY,101,0.0,139
VS,264,0.0,476
VSS,263,0.0,476
VST,242,0.0,454
VSV,202,0.0,497
VTN,194,0.0,266
VZ,249,0.0,599
WAD,227,0.0,346
WADN,228,0.0,346
WADT,226,0.0,346
WC,149,0.0,203
WD,203,0.0,261
WDN,238,0.0,536
WF,167,0.0,460
WFM,365,0.0,636
WH,221,0.0,539
WK,368,0.0,573
WL,184,0.0,480
WM,242,0.0,543
WP,220,0.0,273
WR,395,0.0,645
WS,373,0.0,636
WSM,357,0.0,622
WT,79,0.0,53
WTV,164,0.0,462
WV,290,0.0,553
WW,223,0.0,516
WWW,224,0.0,516
WZ,244,0.0,553
YPB,240,0.0,346
ZA,159,0.0,217
ZB,360,0.0,630
ZBM,152,0.0,188
ZD,236,0.0,540
ZDK,239,0.0,543
ZH,353,0.0,621
ZL,235,0.0,539
ZLSH,240,0.0,553
ZLW,180,0.0,456
ZP,188,0.0,463
ZTM,235,0.0,346
ZTMO,234,0.0,346
ZV,173,0.0,460
ZVB,188,0.0,461
ZVT,253,0.0,557
ZWD,197,0.0,555
ZZS,239,0.0,543
