Station Code,Distance from SSH,Services from/to SSH,Disruptions on path to SSH
AC,43,0.0,64
AH,116,0.0,181
AHP,117,0.0,438
AHPR,119,0.0,438
AHZ,124,0.0,438
AKL,94,0.0,256
AKM,219,0.0,189
ALM,61,37.70967741935484,124
ALMB,67,35.25806451612903,255
ALMM,60,37.70967741935484,68
ALMO,69,35.25806451612903,255
ALMP,63,35.25806451612903,255
AMF,76,0.0,125
AMFS,79,0.0,365
AML,173,0.0,431
AMPO,58,37.70967741935484,68
AMR,71,0.0,77
AMRI,175,0.0,501
AMRN,72,0.0,152
ANA,101,0.0,163
APD,119,0.0,365
APDM,120,0.0,400
APDO,122,0.0,400
APG,282,0.0,219
APN,23,0.0,17
ARN,169,0.0,201
ASA,38,0.0,53
ASB,38,0.0,50
ASD,40,36.29032258064516,50
ASDL,33,54.70967741935484,50
ASDM,40,34.25806451612903,90
ASDZ,32,3.419354838709677,50
ASHD,39,0.0,64
ASN,220,0.0,139
ASS,36,54.70967741935484,50
ASSP,41,34.29032258064516,104
ATN,168,0.0,475
AVAT,82,0.0,371
BD,96,0.0,196
BDE,204,0.0,44
BDG,31,0.0,98
BDM,263,0.0,208
BDPB,91,0.0,248
BET,128,0.0,181
BF,267,0.0,208
BGN,117,0.0,247
BHDV,83,0.0,254
BHV,67,0.0,181
BK,199,0.0,45
BKF,90,0.0,135
BKG,89,0.0,131
BKL,55,0.0,191
BL,204,0.0,139
BLL,40,0.0,10
BMN,138,0.0,441
BMR,160,0.0,473
BN,182,0.0,501
BNC,95,0.0,366
BNK,66,0.0,181
BNN,92,0.0,365
BNZ,97,0.0,382
BP,261,0.0,382
BR,188,0.0,351
BRD,57,0.0,202
BRN,67,0.0,125
BSD,91,0.0,224
BSK,29,0.0,98
BSKS,30,0.0,121
BSMZ,55,0.0,79
BTL,118,0.0,254
BV,50,0.0,12
BZL,149,0.0,278
CAS,59,0.0,74
CK,150,0.0,470
CL,76,0.0,209
CO,197,0.0,159
CPS,54,0.0,206
CVM,178,0.0,43
DA,184,0.0,149
DB,70,0.0,181
DDN,177,0.0,415
DDR,66,0.0,126
DDRS,69,0.0,243
DDZD,67,0.0,243
DEI,241,0.0,382
DID,135,0.0,438
DL,154,0.0,139
DLD,70,0.0,201
DLN,201,0.0,173
DMN,43,34.29032258064516,104
DMNZ,38,3.419354838709677,53
DN,160,0.0,323
DR,132,0.0,438
DRH,45,0.0,11
DRON,110,31.70967741935484,269
DRP,248,0.0,396
DT,32,0.0,25
DTC,146,0.0,458
DTCH,144,0.0,458
DTCP,33,0.0,126
DV,134,0.0,365
DVC,138,0.0,400
DVD,36,3.419354838709677,50
DVN,125,0.0,440
DVNK,11,41.70967741935484,10
DWE,254,0.0,382
DZ,286,0.0,237
DZW,285,0.0,237
EC,203,0.0,46
ED,99,0.0,181
EDC,101,0.0,203
EDN,207,0.0,44
EEM,293,0.0,236
EGH,177,0.0,42
EGHM,178,0.0,42
EHS,137,0.0,257
EHV,138,0.0,257
EKZ,93,0.0,143
EML,99,0.0,365
EMN,217,0.0,174
EMNZ,213,0.0,173
ES,190,0.0,467
ESK,186,0.0,467
EST,127,0.0,438
ETN,107,0.0,519
FN,254,0.0,382
FWD,251,0.0,382
GBG,190,0.0,159
GD,41,0.0,121
GDG,44,0.0,206
GDM,84,0.0,181
GDR,151,0.0,475
GERP,246,0.0,192
GK,267,0.0,207
GLN,187,0.0,43
GN,248,0.0,192
GND,80,0.0,244
GNN,252,0.0,207
GO,167,0.0,407
GP,144,0.0,319
GR,89,0.0,254
GS,154,0.0,201
GV,24,0.0,10
GVC,23,41.70967741935484,10
GVM,19,41.70967741935484,95
GVMW,25,0.0,25
GW,224,0.0,196
GZ,106,0.0,519
HAD,33,0.0,10
HB,176,0.0,42
HBZM,77,0.0,244
HD,103,0.0,368
HDB,184,0.0,146
HDE,124,0.0,365
HDG,247,0.0,382
HDR,113,0.0,172
HDRZ,112,0.0,172
HFD,16,58.96774193548387,0
HGL,182,0.0,448
HGLG,180,0.0,448
HGLO,184,0.0,467
HGV,190,0.0,139
HGZ,259,0.0,215
HIL,26,0.0,10
HK,53,0.0,30
HKS,85,0.0,127
HLG,263,0.0,383
HLGH,264,0.0,387
HLM,37,0.0,10
HLMS,38,0.0,10
HLO,66,0.0,77
HM,151,0.0,319
HMBH,152,0.0,323
HMBV,148,0.0,319
HMH,150,0.0,319
HMN,115,0.0,227
HN,75,18.483870967741936,71
HNK,76,18.483870967741936,127
HNO,154,0.0,139
HNP,279,0.0,385
HON,153,0.0,400
HOR,66,0.0,125
HR,208,0.0,196
HRL,172,0.0,25
HRLW,174,0.0,42
HRN,242,0.0,192
HRT,178,0.0,351
HT,106,0.0,181
HTN,66,0.0,181
HTNC,67,0.0,209
HTO,107,0.0,254
HVL,82,0.0,365
HVS,60,0.0,124
HVSM,59,0.0,112
HVSP,61,0.0,125
HWD,78,0.0,153
HWZB,43,0.0,71
HZE,149,0.0,325
IJT,262,0.0,383
KBD,136,0.0,201
KBK,128,0.0,401
KLP,92,0.0,181
KMA,50,0.0,84
KMR,180,0.0,42
KMW,284,0.0,390
KPN,157,0.0,139
KPNZ,127,31.70967741935484,270
KRD,180,0.0,53
KRG,143,0.0,201
KTR,108,0.0,224
KW,256,0.0,213
KZ,44,0.0,74
LAA,22,41.70967741935484,10
LC,154,0.0,400
LDL,9,0.0,10
LDM,98,0.0,225
LEDN,8,57.29032258064516,0
LG,175,0.0,42
LLS,85,34.29032258064516,255
LLZM,38,0.0,39
LP,274,0.0,219
LTN,102,0.0,382
LTV,172,0.0,402
LUT,195,0.0,44
LW,237,0.0,365
LWC,240,0.0,382
MAS,60,0.0,64
MDB,173,0.0,228
MES,192,0.0,42
MG,247,0.0,382
MMLH,145,0.0,459
MP,170,0.0,139
MRB,176,0.0,146
MRN,78,0.0,213
MT,198,0.0,42
MTH,257,0.0,215
MTN,195,0.0,56
MTR,199,0.0,44
MZ,159,0.0,330
NDB,54,0.0,68
NH,179,0.0,42
NKK,87,0.0,365
NM,135,0.0,438
NMD,140,0.0,459
NMGO,138,0.0,459
NMH,138,0.0,459
NML,134,0.0,452
NS,115,0.0,365
NSCH,292,0.0,222
NVD,174,0.0,148
NVP,11,58.96774193548387,0
NWK,50,0.0,206
O,125,0.0,254
OBD,84,0.0,71
ODB,97,0.0,248
ODZ,193,0.0,467
OMN,165,0.0,146
OP,112,0.0,227
OST,144,0.0,431
OT,125,0.0,532
OTB,112,0.0,203
OVN,39,0.0,10
OW,124,0.0,254
PMO,57,18.483870967741936,71
PMR,56,18.483870967741936,71
PMW,55,18.483870967741936,74
PT,94,0.0,365
RAI,33,3.419354838709677,124
RAT,160,0.0,139
RB,133,0.0,248
RD,286,0.0,223
RH,126,0.0,439
RHN,101,0.0,216
RL,159,0.0,402
RLB,53,0.0,196
RM,190,0.0,319
RS,113,0.0,254
RSD,104,0.0,196
RSN,160,0.0,400
RSW,27,0.0,25
RTA,55,0.0,206
RTB,47,0.0,196
RTD,46,0.0,126
RTN,51,0.0,196
RTST,51,0.0,196
RTZ,50,0.0,196
RV,201,0.0,368
RVS,133,0.0,275
SBK,184,0.0,42
SD,71,0.0,139
SDA,275,0.0,213
SDM,42,0.0,126
SDT,76,0.0,243
SDTB,73,0.0,243
SGL,188,0.0,42
SGN,92,0.0,163
SHL,21,58.25806451612903,0
SK,259,0.0,382
SKND,258,0.0,382
SM,195,0.0,368
SN,182,0.0,42
SOG,182,0.0,42
SPTN,44,0.0,10
SPTZ,42,0.0,10
SRN,198,0.0,44
SSH,0,0.0,0
ST,72,0.0,139
STD,191,0.0,42
STM,270,0.0,219
STV,288,0.0,390
STZ,73,0.0,139
SWD,259,0.0,207
SWK,184,0.0,189
TB,117,0.0,519
TBG,152,0.0,475
TBR,112,0.0,538
TBU,116,0.0,540
TG,195,0.0,320
TL,96,0.0,224
TPSW,94,0.0,224
TWL,129,0.0,400
UHM,283,0.0,223
UHZ,280,0.0,223
UST,275,0.0,222
UT,58,0.0,108
UTG,55,0.0,109
UTLN,62,0.0,181
UTLR,55,0.0,122
UTO,61,0.0,181
UTT,53,0.0,117
UTVR,59,0.0,181
UTZL,60,0.0,181
VB,26,0.0,39
VD,149,0.0,400
VDL,176,0.0,42
VDM,275,0.0,220
VEM,133,0.0,402
VG,110,0.0,254
VH,16,0.0,10
VHP,182,0.0,149
VK,185,0.0,42
VL,190,0.0,319
VLB,167,0.0,501
VNDC,93,0.0,215
VNDW,92,0.0,215
VP,122,0.0,439
VRY,174,0.0,502
VS,179,0.0,228
VSS,178,0.0,201
VST,13,41.70967741935484,95
VSV,159,0.0,475
VTN,51,0.0,108
VZ,179,0.0,501
WAD,33,0.0,121
WADN,32,0.0,121
WADT,34,0.0,121
WC,140,0.0,278
WD,42,0.0,107
WDN,168,0.0,407
WF,108,0.0,203
WFM,272,0.0,222
WH,151,0.0,441
WK,275,0.0,385
WL,141,0.0,458
WM,48,0.0,74
WP,45,37.70967741935484,62
WR,302,0.0,231
WS,280,0.0,222
WSM,264,0.0,208
WT,166,0.0,319
WTV,121,0.0,440
WV,197,0.0,139
WW,180,0.0,494
WWW,181,0.0,414
WZ,133,0.0,378
YPB,30,0.0,42
ZA,118,0.0,227
ZB,267,0.0,216
ZBM,93,0.0,224
