Station Code,Distance from OST,Services from/to OST,Disruptions on path to OST
AC,113,0.0,412
AH,55,34.29032258064516,69
AHP,54,0.8387096774193549,73
AHPR,52,0.8387096774193549,72
AHZ,63,0.0,326
AKL,132,0.0,387
AKM,98,0.0,64
ALM,102,0.0,25
ALMB,96,0.0,25
ALMM,103,0.0,156
ALMO,94,0.0,14
ALMP,100,0.0,30
AMF,68,0.0,66
AMFS,71,0.0,306
AML,49,0.0,66
AMPO,105,0.0,157
AMR,152,0.0,605
AMRI,51,0.0,136
AMRN,153,0.0,680
ANA,182,0.0,691
APD,25,0.0,66
APDM,26,0.0,101
APDO,22,0.0,66
APG,161,0.0,94
APN,124,0.0,316
ARN,249,0.0,782
ASA,110,0.0,310
ASB,110,0.0,310
ASD,113,0.0,320
ASDL,120,0.0,578
ASDM,109,0.0,306
ASDZ,112,0.0,307
ASHD,111,0.0,324
ASN,99,0.0,14
ASS,117,0.0,578
ASSP,108,0.0,325
ATN,83,0.0,80
AVAT,74,0.0,312
BD,160,32.38709677419355,454
BDE,199,0.0,527
BDG,116,0.0,307
BDM,142,0.0,83
BDPB,165,0.0,777
BET,139,0.0,441
BF,146,0.0,83
BGN,197,0.0,782
BHDV,143,0.0,407
BHV,80,0.0,310
BK,192,0.0,528
BKF,171,0.0,663
BKG,170,0.0,659
BKL,101,0.0,379
BL,83,0.0,14
BLL,135,0.0,615
BMN,33,0.8064516129032258,66
BMR,99,0.0,361
BN,58,0.0,136
BNC,87,0.0,307
BNK,97,0.0,379
BNN,84,0.0,306
BNZ,85,0.0,349
BP,140,0.0,31
BR,134,0.0,390
BRD,156,0.0,540
BRN,77,0.0,306
BSD,118,0.0,386
BSK,130,0.0,397
BSKS,131,0.0,420
BSMZ,89,0.0,307
BTL,129,0.0,441
BV,142,0.0,599
BZL,229,0.0,813
CAS,140,0.0,602
CK,89,0.0,358
CL,107,0.0,407
CO,76,0.0,34
CPS,134,0.0,464
CVM,209,0.0,545
DA,60,0.0,136
DB,101,0.0,379
DDN,66,0.0,81
DDR,160,0.0,418
DDRS,157,0.0,418
DDZD,161,0.0,535
DEI,120,0.0,31
DID,72,0.0,78
DL,33,0.0,14
DLD,77,0.0,306
DLN,80,0.0,48
DMN,106,0.0,324
DMNZ,106,0.0,307
DN,162,0.0,442
DR,39,34.29032258064516,66
DRH,140,0.0,616
DRON,53,0.0,14
DRP,127,0.0,45
DT,158,0.0,479
DTC,83,0.0,98
DTCH,81,0.0,98
DTCP,158,0.0,534
DV,10,37.29032258064516,0
DVC,14,0.0,66
DVD,108,0.0,307
DVN,62,0.0,75
DVNK,142,0.0,414
DWE,133,0.0,31
DZ,165,0.0,112
DZW,164,0.0,112
EC,172,0.0,525
ED,72,0.0,326
EDC,74,0.0,348
EDN,214,0.0,529
EEM,172,0.0,111
EGH,208,0.0,544
EGHM,209,0.0,544
EHS,148,0.0,517
EHV,149,0.0,441
EKZ,174,0.0,671
EML,64,0.0,17
EMN,96,0.0,49
EMNZ,92,0.0,48
ES,71,0.0,92
ESK,67,0.0,92
EST,66,0.0,326
ETN,171,32.38709677419355,777
FN,133,0.0,31
FWD,130,0.0,31
GBG,69,0.0,34
GD,121,0.0,379
GDG,118,0.0,379
GDM,111,0.0,343
GDR,88,0.0,115
GERP,125,0.0,67
GK,146,0.0,82
GLN,188,0.0,527
GN,127,0.0,67
GND,146,0.0,407
GNN,131,0.0,82
GO,56,0.0,73
GP,155,0.0,503
GR,137,0.0,405
GS,234,0.0,782
GV,150,0.0,464
GVC,149,0.0,382
GVM,150,0.0,499
GVMW,151,0.0,479
GW,103,0.0,71
GZ,150,0.1935483870967742,456
HAD,136,0.0,599
HB,199,0.0,558
HBZM,149,0.0,417
HD,60,0.0,14
HDB,63,0.0,21
HDE,39,0.0,14
HDG,126,0.0,31
HDR,194,0.0,700
HDRZ,193,0.0,700
HFD,128,0.0,381
HGL,63,0.0,73
HGLG,65,0.0,92
HGLO,65,0.0,92
HGV,69,0.0,14
HGZ,138,0.0,90
HIL,143,0.0,599
HK,139,0.0,638
HKS,166,0.0,655
HLG,142,0.0,32
HLGH,143,0.0,36
HLM,132,0.0,578
HLMS,131,0.0,599
HLO,147,0.0,605
HM,162,0.0,484
HMBH,163,0.0,488
HMBV,159,0.0,503
HMH,161,0.0,503
HMN,80,0.0,340
HN,156,0.0,599
HNK,157,0.0,655
HNO,33,0.0,14
HNP,158,0.0,34
HON,29,0.0,66
HOR,90,0.0,307
HR,87,0.0,71
HRL,203,0.0,527
HRLW,205,0.0,544
HRN,121,0.0,67
HRT,144,0.0,442
HT,117,32.41935483870968,368
HTN,97,0.0,379
HTNC,98,0.0,407
HTO,116,0.0,368
HVL,74,0.0,306
HVS,84,0.0,306
HVSM,85,0.0,307
HVSP,85,0.0,307
HWD,159,0.0,681
HWZB,124,0.0,599
HZE,160,0.0,509
IJT,141,0.0,32
KBD,216,0.0,782
KBK,34,0.0,102
KLP,79,0.0,348
KMA,131,0.0,612
KMR,211,0.0,544
KMW,163,0.0,39
KPN,36,0.0,14
KPNZ,36,0.0,14
KRD,211,0.0,555
KRG,223,0.0,782
KTR,87,0.0,340
KW,135,0.0,88
KZ,125,0.0,602
LAA,150,0.0,411
LC,43,0.0,66
LDL,138,0.0,397
LDM,125,0.0,387
LEDN,139,0.0,404
LG,206,0.0,544
LLS,78,0.0,14
LLZM,134,0.0,464
LP,153,0.0,94
LTN,80,0.0,349
LTV,61,0.0,68
