Station Code,Distance from VZ,Services from/to VZ,Disruptions on path to VZ
PMO,173,0.0,648
PMR,172,0.0,669
PMW,171,0.0,672
PT,95,0.0,25
RAI,146,0.0,380
RAT,33,0.0,82
RB,248,0.0,883
RD,191,0.0,109
RH,80,0.0,139
RHN,167,0.0,484
RL,83,0.0,138
RLB,187,0.0,604
RM,194,0.0,546
RS,145,0.0,438
RSD,219,0.0,847
RSN,19,0.0,70
RSW,188,0.0,549
RTA,170,0.0,534
RTB,181,0.0,604
RTD,180,0.0,534
RTN,175,0.0,536
RTST,185,0.0,604
RTZ,184,0.0,604
RV,183,0.0,532
RVS,125,0.0,396
SBK,226,0.0,627
SD,116,0.0,390
SDA,180,0.0,99
SDM,184,0.0,604
SDT,185,0.0,487
SDTB,188,0.0,488
SGL,250,0.0,613
SGN,208,0.0,761
SHL,158,0.0,451
SK,164,0.0,42
SKND,163,0.0,42
SM,189,0.0,546
SN,228,0.0,628
SOG,248,0.0,614
SPTN,174,0.0,685
SPTZ,172,0.0,685
SRN,212,0.0,624
SSH,179,0.0,579
ST,117,0.0,390
STD,219,0.0,595
STM,175,0.0,105
STV,193,0.0,50
STZ,118,0.0,380
SWD,164,0.0,93
SWK,89,0.0,75
TB,174,0.0,511
TBG,124,0.0,185
TBR,179,0.0,524
TBU,175,0.0,524
TG,176,0.0,513
TL,134,0.0,413
TPSW,136,0.0,413
TWL,50,0.0,136
UHM,188,0.0,109
UHZ,185,0.0,109
UST,180,0.0,108
UT,124,0.0,376
UTG,171,0.0,707
UTLN,128,0.0,449
UTLR,127,0.0,449
UTO,121,0.0,376
UTT,129,0.0,449
UTVR,125,0.0,449
UTZL,126,0.0,449
VB,181,0.0,534
VD,73,0.0,136
VDL,242,0.0,614
VDM,180,0.0,106
VEM,65,0.0,136
VG,156,0.0,511
VH,182,0.0,484
VHP,7,25.32258064516129,1
VK,251,0.0,614
VL,171,0.0,512
VLB,141,0.0,459
VNDC,159,0.0,483
VNDW,158,0.0,483
VP,84,0.0,142
VRY,148,0.0,460
VS,294,0.0,879
VSS,293,0.0,852
VST,179,0.0,569
VSV,127,0.0,169
VTN,131,0.0,454
VZ,0,0.0,0
WAD,164,0.0,534
WADN,165,0.0,534
WADT,163,0.0,534
WC,118,0.0,396
WD,140,0.0,376
WDN,11,0.0,70
WF,98,0.0,396
WFM,177,0.0,108
WH,61,0.0,25
WK,180,0.0,45
WL,113,0.0,168
WM,164,0.0,672
WP,134,0.0,388
WR,207,0.0,117
WS,185,0.0,108
WSM,169,0.0,94
WT,212,0.0,554
WTV,93,0.0,145
WV,102,0.0,25
WW,106,0.0,150
WWW,105,0.0,150
WZ,56,0.0,25
YPB,177,0.0,452
ZA,112,0.0,410
ZB,172,0.0,102
ZBM,155,0.0,456
ZD,158,0.0,669
ZDK,161,0.0,672
ZH,165,0.0,93
ZL,47,0.0,11
ZLSH,52,0.0,25
ZLW,210,0.0,865
ZP,61,0.0,136
ZTM,172,0.0,449
ZTMO,171,0.0,534
ZV,102,0.0,148
ZVB,218,0.0,870
ZVT,175,0.0,685
ZWD,197,0.0,605
ZZS,161,0.0,672
