station,distance,services_per_day,n_of_disruptions
TG,154,0,655
TL,57,0,198
TPSW,55,0,198
TWL,70,0,276
UHM,224,0,339
UHZ,221,0,339
UST,216,0,338
UT,19,0,1
UTG,51,0,382
UTLN,23,0,74
UTLR,22,0,74
UTM,27,0,74
UTO,16,0,1
UTT,24,0,74
UTVR,20,0,74
UTZL,21,0,74
VB,76,0,159
VD,90,0,276
VDL,199,0,277
VDM,216,0,336
VEM,74,0,278
VG,71,0,147
VH,68,0,403
VHP,123,0,265
VK,208,0,277
VL,149,0,654
VLB,119,0,601
VNDC,54,0,108
VNDW,53,0,108
VP,74,0,541
VRY,126,0,602
VS,207,0,387
VSS,206,0,387
VST,72,0,281
VSV,111,0,575
VTN,26,0,79
VZ,120,0,377
WAD,59,0,159
WADN,60,0,159
WADT,58,0,159
WC,96,0,538
WD,35,0,74
WDN,109,0,314
WF,60,0,281
WFM,213,0,338
WH,92,0,317
WK,216,0,275
WL,93,0,558
WM,44,0,347
WP,14,0,44
WR,243,0,347
WS,221,0,338
WSM,205,0,324
WT,127,0,209
WTV,73,0,540
WV,138,0,255
WW,123,0,290
WWW,122,0,290
WZ,74,0,254
YPB,72,0,159
ZA,79,0,201
ZB,208,0,332
ZBM,54,0,198
ZD,38,0,344
ZDK,41,0,347
ZH,201,0,323
ZL,83,0,241
ZLSH,88,0,255
ZLW,109,0,349
ZP,78,0,276
ZTM,67,0,159
ZTMO,66,0,159
ZV,82,0,538
ZVB,117,0,354
ZVT,55,0,361
ZWD,93,0,343
ZZS,41,0,347
