Station Code,Distance from SWD,Services from/to SWD,Disruptions on path to SWD
GO,191,0.0,216
GP,290,0.0,530
GR,256,0.0,538
GS,367,0.0,706
GV,265,0.064516129032258,480
GVC,264,0.032258064516129,480
GVM,265,0.0,515
GVMW,266,0.1290322580645161,495
GW,78,0.0,55
GZ,285,0.0,483
HAD,251,0.0,519
HB,337,0.0,650
HBZM,268,0.0,550
HD,156,0.0,82
HDB,159,0.0,89
HDE,135,0.0,82
HDG,55,0.0,38
HDR,309,0.0,604
HDRZ,308,0.0,604
HFD,243,0.0,348
HGL,176,0.0,164
HGLG,178,0.0,183
HGLO,178,0.0,183
HGV,69,0.0,68
HGZ,26,0.0,38
HIL,258,0.0,559
HK,254,0.0,542
HKS,281,0.0,559
HLG,91,0.0,56
HLGH,92,0.0,60
HLM,247,0.0,482
HLMS,246,0.0,503
HLO,262,0.0,509
HM,297,0.0,530
HMBH,298,0.0,534
HMBV,294,0.0,530
HMH,296,0.0,530
HMN,218,0.0,432
HN,271,0.0,503
HNK,272,0.0,559
HNO,129,0.0,82
HNP,107,0.0,58
HON,167,0.0,158
HOR,205,0.0,323
HR,94,0.0,55
HRL,341,0.0,619
HRLW,343,0.0,636
HRN,17,0.0,15
HRT,282,0.0,534
HT,252,0.0,395
HTN,212,0.0,395
HTNC,213,0.0,423
HTO,253,0.0,468
HVL,189,0.0,322
HVS,199,0.0,322
HVSM,200,0.0,323
HVSP,200,0.0,323
HWD,274,0.0,585
HWZB,239,0.0,503
HZE,295,0.0,536
IJT,90,0.0,56
KBD,349,0.0,706
KBK,172,0.0,118
KLP,217,0.0,440
KMA,246,0.0,516
KMR,349,0.0,636
KMW,112,0.0,63
KPN,132,0.0,82
KPNZ,132,0.0,82
KRD,349,0.0,647
KRG,356,0.0,706
KTR,225,0.0,432
KW,23,0.0,36
KZ,240,0.0,506
LAA,265,0.0,509
LC,181,0.0,158
LDL,253,0.0,413
LDM,244,0.0,520
LEDN,254,0.0,420
LG,344,0.0,636
LLS,174,0.0,82
LLZM,249,0.0,480
LP,15,31.096774193548388,11
LTN,209,0.0,339
LTV,199,0.0,160
LUT,326,0.0,619
LW,65,0.0,38
LWC,62,0.0,48
MAS,211,0.0,395
MDB,386,0.0,706
MES,349,0.0,621
MG,75,0.0,55
MMLH,222,0.0,439
MP,89,0.0,68
MRB,151,0.0,89
MRN,224,0.0,427
MT,343,0.0,619
MTH,24,0.0,38
MTN,346,0.0,621
MTR,344,0.0,621
MZ,305,0.0,541
NDB,205,0.0,323
NH,334,0.0,650
NKK,172,0.0,85
NM,212,0.0,418
NMD,217,0.0,439
NMGO,215,0.0,439
NMH,215,0.0,439
NML,211,0.0,432
NS,144,0.0,82
NSCH,59,0.0,45
NVD,149,0.0,82
NVP,248,0.0,476
NWK,245,0.0,480
O,236,0.0,439
OBD,280,0.0,595
ODB,310,0.0,675
ODZ,187,0.0,183
OMN,140,0.0,89
OP,221,0.0,432
OST,138,0.0,82
OT,273,0.0,511
OTB,197,0.0,418
OVN,249,0.0,519
OW,237,0.0,460
PMO,253,0.0,504
PMR,252,0.0,503
PMW,251,0.0,506
PT,165,0.0,99
RAI,226,0.0,227
RAT,135,0.0,82
RB,346,0.0,706
RD,27,33.96774193548387,15
RH,183,0.0,161
RHN,247,0.0,430
RL,186,0.0,160
RLB,267,0.0,559
RM,297,0.0,568
RS,248,0.0,460
RSD,317,0.0,670
RSN,165,0.0,94
RSW,268,0.1290322580645161,495
RTA,250,0.0,480
RTB,261,0.0,550
RTD,260,0.0,480
RTN,255,0.0,482
RTST,265,0.0,559
RTZ,264,0.0,559
RV,286,0.0,554
RVS,228,0.0,418
SBK,329,0.0,649
SD,196,0.0,336
SDA,42,0.0,36
SDM,264,0.0,550
SDT,269,0.0,550
SDTB,272,0.0,551
SGL,353,0.0,635
SGN,288,0.0,595
SHL,238,0.0,298
SK,87,0.0,55
SKND,86,0.0,55
SM,292,0.0,568
SN,331,0.0,650
SOG,351,0.0,636
SPTN,254,0.0,537
SPTZ,252,0.0,537
SRN,315,0.0,646
SSH,259,0.0,476
ST,197,0.0,336
STD,322,0.0,617
STM,11,31.096774193548388,11
STV,116,0.0,63
STZ,198,0.0,326
SWD,0,0.0,0
SWK,103,0.0,118
TB,274,0.0,468
TBG,227,0.0,207
TBR,279,0.0,481
TBU,275,0.0,481
TG,279,0.0,535
TL,237,0.0,435
TPSW,239,0.0,435
TWL,153,0.0,158
UHM,24,33.935483870967744,15
UHZ,21,33.935483870967744,15
UST,16,33.935483870967744,14
UT,204,0.0,322
UTG,251,0.0,535
UTLN,208,0.0,395
UTLR,207,0.0,395
UTO,201,0.0,346
UTT,209,0.0,395
UTVR,205,0.0,395
UTZL,206,0.0,395
VB,261,0.0,480
VD,176,0.0,158
VDL,345,0.0,636
VDM,42,0.0,43
VEM,168,0.0,158
VG,256,0.0,468
VH,262,0.0,430
VHP,157,0.0,92
VK,354,0.0,636
VL,274,0.0,534
VLB,244,0.0,481
VNDC,239,0.0,429
VNDW,238,0.0,429
VP,187,0.0,164
VRY,251,0.0,482
VS,392,0.0,708
VSS,391,0.0,708
VST,259,0.0,515
VSV,230,0.0,191
VTN,211,0.0,400
VZ,164,0.0,93
WAD,244,0.0,480
WADN,245,0.0,480
WADT,243,0.0,480
WC,221,0.0,418
WD,220,0.0,322
WDN,157,0.0,94
WF,201,0.0,418
WFM,13,33.96774193548387,14
WH,131,0.0,82
WK,103,0.0,35
WL,216,0.0,190
WM,244,0.0,500
WP,214,0.0,334
WR,69,0.0,54
WS,47,0.0,45
WSM,5,33.96774193548387,0
WT,312,0.0,530
WTV,196,0.0,167
WV,105,0.0,32
WW,209,0.0,172
WWW,208,0.0,172
WZ,126,0.0,82
YPB,257,0.0,480
ZA,215,0.0,432
ZB,34,0.0,39
ZBM,239,0.0,519
ZD,238,0.0,497
ZDK,241,0.0,500
ZH,23,0.0,15
ZL,117,0.0,68
ZLSH,122,0.0,82
ZLW,294,0.0,670
ZP,164,0.0,158
ZTM,252,0.0,480
ZTMO,251,0.0,480
ZV,205,0.0,170
ZVB,302,0.0,675
ZVT,255,0.0,514
ZWD,278,0.0,664
ZZS,241,0.0,500
