Station Code,Distance from UST,Services from/to UST,Disruptions on path to UST
AC,244,0.0,395
AH,209,0.0,128
AHP,208,0.0,132
AHPR,206,0.0,131
AHZ,217,0.0,385
AKL,267,0.0,406
AKM,99,0.0,49
ALM,214,0.0,49
ALMB,208,0.0,49
ALMM,215,0.0,180
ALMO,206,0.0,49
ALMP,212,0.0,54
AMF,199,0.0,49
AMFS,196,0.0,49
AML,178,0.0,70
AMPO,217,0.0,181
AMR,283,0.0,334
AMRI,180,0.0,140
AMRN,284,0.0,409
ANA,313,0.0,420
APD,179,0.0,49
APDM,180,0.0,84
APDO,176,0.0,125
APG,39,0.0,26
APN,255,0.0,299
ARN,398,0.0,559
ASA,241,0.0,183
ASB,241,0.0,183
ASD,244,0.0,49
ASDL,251,0.0,307
ASDM,240,0.0,289
ASDZ,243,0.0,180
ASHD,242,0.0,197
ASN,55,0.0,30
ASS,248,0.0,307
ASSP,239,0.0,188
ATN,237,0.0,139
AVAT,193,0.0,55
BD,311,0.0,448
BDE,353,0.0,586
BDG,247,0.0,290
BDM,20,0.0,15
BDPB,316,0.0,771
BET,290,0.0,362
BF,8,34.03225806451613,0
BGN,346,0.0,558
BHDV,278,0.0,426
BHV,211,0.0,293
BK,346,0.0,587
BKF,302,0.0,392
BKG,301,0.0,388
BKL,232,0.0,362
BL,71,0.0,83
BLL,266,0.0,344
BMN,187,0.0,125
BMR,253,0.0,420
BN,187,0.0,140
BNC,218,0.0,290
BNK,228,0.0,362
BNN,215,0.0,289
BNZ,220,0.0,306
BP,57,0.0,30
BR,288,0.0,449
BRD,287,0.0,523
BRN,208,0.0,289
BSD,253,0.0,405
BSK,261,0.0,380
BSKS,262,0.0,403
BSMZ,220,0.0,50
BTL,280,0.0,435
BV,273,0.0,328
BZL,378,0.0,589
CAS,271,0.0,331
CK,243,0.0,417
CL,238,0.0,390
CO,188,0.0,69
CPS,265,0.0,447
CVM,363,0.0,604
DA,175,0.0,59
DB,232,0.0,362
DDN,197,0.0,159
DDR,295,0.0,437
DDRS,292,0.0,437
DDZD,296,0.0,554
DEI,85,0.0,47
DID,226,0.0,137
DL,145,0.0,49
DLD,208,0.0,289
DLN,192,0.0,83
DMN,237,0.0,187
DMNZ,237,0.0,50
DN,316,0.0,501
DR,193,0.0,125
DRH,271,0.0,345
DRON,165,0.0,49
DRP,92,0.0,61
DT,289,0.0967741935483871,15
DTC,237,0.0,157
DTCH,235,0.0,157
DTCP,289,0.0,517
DV,164,0.0,59
DVC,168,0.0,125
DVD,239,0.0,180
DVN,216,0.0,134
DVNK,273,0.0,397
DWE,64,0.0,53
DZ,43,0.0,44
DZW,42,0.0,44
EC,326,0.0,584
ED,226,0.0,385
EDC,228,0.0,407
EDN,368,0.0,588
EEM,18,4.709677419354839,13
EGH,362,0.0,603
EGHM,363,0.0,603
EHS,299,0.0,438
EHV,300,0.0,438
EKZ,305,0.0,400
EML,176,0.0,52
EMN,208,0.0,84
EMNZ,204,0.0,83
ES,200,0.0,159
ESK,196,0.0,159
EST,220,0.0,385
ETN,322,0.0,771
FN,98,0.0,47
FWD,67,0.0,30
GBG,181,0.0,69
GD,252,0.0,362
GDG,249,0.0,362
GDM,246,0.0,362
GDR,242,0.0,174
GERP,29,0.0,30
GK,46,0.0,30
GLN,342,0.0,586
GN,27,34.03225806451613,15
GND,281,0.0,426
GNN,23,34.0,15
GO,207,0.0,192
GP,306,0.0,500
GR,272,0.0,424
GS,383,0.0,559
GV,281,0.0967741935483871,0
GVC,280,0.064516129032258,0
GVM,281,0.0,482
GVMW,282,0.0967741935483871,0
GW,94,0.0,47
GZ,301,0.0,450
HAD,267,0.0,328
HB,353,0.0,617
HBZM,284,0.0,436
HD,172,0.0,49
HDB,175,0.0,56
HDE,151,0.0,49
HDG,71,0.0,30
HDR,325,0.0,429
HDRZ,324,0.0,429
HFD,259,0.0,254
HGL,192,0.0,140
HGLG,194,0.0,159
HGLO,194,0.0,159
HGV,85,0.0,30
HGZ,42,0.0,53
HIL,274,0.0,328
HK,270,0.0,367
HKS,297,0.0,384
HLG,107,0.0,48
HLGH,108,0.0,52
HLM,263,0.0,307
HLMS,262,0.0,328
HLO,278,0.0,334
HM,313,0.0,500
HMBH,314,0.0,504
HMBV,310,0.0,500
HMH,312,0.0,500
HMN,234,0.0,399
HN,287,0.0,328
HNK,288,0.0,384
HNO,145,0.0,49
HNP,123,0.0,50
HON,183,0.0,125
HOR,221,0.0,50
HR,110,0.0,47
HRL,357,0.0,586
HRLW,359,0.0,603
HRN,33,0.0,30
HRT,298,0.0,501
HT,268,0.0,362
HTN,228,0.0,362
HTNC,229,0.0,390
HTO,269,0.0,435
HVL,205,0.0,289
HVS,215,0.0,49
HVSM,216,0.0,50
HVSP,216,0.0,50
HWD,290,0.0,410
HWZB,255,0.0,328
HZE,311,0.0,506
IJT,106,0.0,48
KBD,365,0.0,559
KBK,188,0.0,85
KLP,233,0.0,407
KMA,262,0.0,341
KMR,365,0.0,603
KMW,128,0.0,55
KPN,148,0.0,49
KPNZ,148,0.0,49
KRD,365,0.0,614
KRG,372,0.0,559
KTR,241,0.0,399
KW,39,0.0,51
KZ,256,0.0,331
LAA,281,0.0,29
LC,197,0.0,125
LDL,269,0.0,380
LDM,260,0.0,406
LEDN,270,0.0,387
LG,360,0.0,603
LLS,190,0.0,35
LLZM,265,0.0,447
LP,31,0.0,26
LTN,225,0.0,306
LTV,215,0.0,127
LUT,342,0.0,586
LW,81,0.0,30
LWC,78,0.0,40
MAS,227,0.0,362
MDB,402,0.0,586
MES,365,0.0,588
MG,91,0.0,47
MMLH,238,0.0,406
MP,105,0.0,30
MRB,167,0.0,56
MRN,240,0.0,394
MT,359,0.0,586
MTH,40,0.0,53
MTN,362,0.0,588
MTR,360,0.0,588
MZ,321,0.0,511
NDB,221,0.0,50
NH,350,0.0,617
NKK,188,0.0,52
NM,228,0.0,385
NMD,233,0.0,406
NMGO,231,0.0,406
NMH,231,0.0,406
NML,227,0.0,399
NS,160,0.0,49
NSCH,75,0.0,60
NVD,165,0.0,58
NVP,264,0.0,382
NWK,261,0.0,447
O,252,0.0,406
OBD,296,0.0,328
ODB,326,0.0,559
ODZ,203,0.0,159
OMN,156,0.0,56
OP,237,0.0,399
OST,154,0.0,49
OT,289,0.0,478
OTB,213,0.0,385
OVN,265,0.0,344
OW,253,0.0,427
PMO,269,0.0,307
PMR,268,0.0,328
PMW,267,0.0,331
PT,181,0.0,49
RAI,242,0.0,183
RAT,151,0.0,49
RB,362,0.0,559
RD,11,34.096774193548384,0
RH,199,0.0,128
RHN,263,0.0,397
RL,202,0.0,127
RLB,283,0.0,517
RM,313,0.0,535
RS,264,0.0,427
RSD,333,0.0,554
RSN,181,0.0,70
RSW,284,0.0967741935483871,0
RTA,266,0.0,447
RTB,277,0.0,517
RTD,276,0.0,447
RTN,271,0.0,449
RTST,281,0.0,517
RTZ,280,0.0,517
RV,302,0.0,521
RVS,244,0.0,385
SBK,345,0.0,616
SD,212,0.0,303
SDA,58,0.0,51
SDM,280,0.0,517
SDT,285,0.0,436
SDTB,288,0.0,437
SGL,369,0.0,602
SGN,304,0.0,420
SHL,254,0.0,254
SK,103,0.0,47
SKND,102,0.0,47
SM,308,0.0,535
SN,347,0.0,617
SOG,367,0.0,603
SPTN,270,0.0,344
SPTZ,268,0.0,344
SRN,331,0.0,613
SSH,275,0.0,382
ST,213,0.0,303
STD,338,0.0,584
STM,27,0.0,26
STV,132,0.0,55
STZ,214,0.0,293
SWD,16,34.03225806451613,14
SWK,119,0.0,80
TB,290,0.0,435
TBG,243,0.0,174
TBR,295,0.0,448
TBU,291,0.0,448
TG,295,0.0,502
TL,253,0.0,402
TPSW,255,0.0,402
TWL,169,0.0,125
UHM,8,34.096774193548384,0
UHZ,5,34.096774193548384,0
UST,0,0.0,0
UT,220,0.0,289
UTG,267,0.0,366
UTLN,224,0.0,362
UTLR,223,0.0,362
UTO,217,0.0,289
UTT,225,0.0,362
UTVR,221,0.0,362
UTZL,222,0.0,362
VB,277,0.0,447
VD,192,0.0,125
VDL,361,0.0,603
VDM,58,0.0,58
VEM,184,0.0,125
VG,272,0.0,435
VH,278,0.0,397
VHP,173,0.0,59
VK,370,0.0,603
VL,290,0.0,501
VLB,260,0.0,448
VNDC,255,0.0,396
VNDW,254,0.0,396
VP,203,0.0,131
VRY,267,0.0,449
VS,408,0.0,586
VSS,407,0.0,559
VST,275,0.0,482
VSV,246,0.0,158
VTN,227,0.0,367
VZ,180,0.0,60
WAD,260,0.0,447
WADN,261,0.0,447
WADT,259,0.0,447
WC,237,0.0,385
WD,236,0.0,289
WDN,173,0.0,70
WF,217,0.0,385
WFM,3,34.0,0
WH,147,0.0,49
WK,119,0.0,50
WL,232,0.0,157
WM,260,0.0,331
WP,230,0.0,181
WR,85,0.0,69
WS,63,0.0,60
WSM,11,34.0,14
WT,328,0.0,500
WTV,212,0.0,134
WV,121,0.0,47
WW,225,0.0,139
WWW,224,0.0,139
WZ,142,0.0,49
YPB,273,0.0,365
ZA,231,0.0,399
ZB,50,0.0,54
ZBM,255,0.0,405
ZD,254,0.0,328
ZDK,257,0.0,331
ZH,39,0.0,30
ZL,133,0.0,35
ZLSH,138,0.0,49
ZLW,310,0.0,554
ZP,180,0.0,125
ZTM,268,0.0,362
ZTMO,267,0.0,447
ZV,221,0.0,137
ZVB,318,0.0,559
ZVT,271,0.0,344
ZWD,294,0.0,622
ZZS,257,0.0,331
