Station Code,Distance from CO,Services from/to CO,Disruptions on path to CO
AC,166,0.0,380
AH,124,0.0,156
AHP,123,0.0,160
AHPR,121,0.0,159
AHZ,132,0.0,413
AKL,189,0.0,391
AKM,132,0.0,84
ALM,136,0.0,45
ALMB,130,0.0,45
ALMM,137,0.0,176
ALMO,128,0.0,34
ALMP,134,0.0,50
AMF,121,0.0,34
AMFS,118,0.0,34
AML,40,0.0,17
AMPO,139,0.0,177
AMR,205,0.0,319
AMRI,42,0.0,87
AMRN,206,0.0,394
ANA,235,0.0,405
APD,94,0.0,153
APDM,95,0.0,188
APDO,91,0.0,153
APG,195,0.0,114
APN,177,0.0,284
ARN,318,0.0,869
ASA,163,0.0,38
ASB,163,0.0,38
ASD,166,0.0,34
ASDL,173,0.0,292
ASDM,162,0.0,274
ASDZ,165,0.0,35
ASHD,164,0.0,52
ASN,133,0.0,34
ASS,170,0.0,292
ASSP,161,0.0,53
ATN,152,0.0,167
AVAT,115,0.0,40
BD,229,0.0,541
BDE,268,0.0,614
BDG,169,0.0,275
BDM,176,0.0,103
BDPB,234,0.0,864
BET,208,0.0,528
BF,180,0.0,103
BGN,266,0.0,869
BHDV,200,0.0,411
BHV,133,0.0,278
BK,261,0.0,615
BKF,224,0.0,377
BKG,223,0.0,373
BKL,154,0.0,347
BL,117,0.0,34
BLL,188,0.0,329
BMN,102,0.0,153
BMR,168,0.0,448
BN,49,0.0,87
BNC,140,0.0,275
BNK,150,0.0,347
BNN,137,0.0,274
BNZ,142,0.0,291
BP,174,0.0,51
BR,203,0.0,477
BRD,209,0.0,508
BRN,130,0.0,274
BSD,175,0.0,390
BSK,183,0.0,365
BSKS,184,0.0,388
BSMZ,142,0.0,35
BTL,198,0.0,528
BV,195,0.0,313
BZL,298,0.0,900
CAS,193,0.0,316
CK,158,0.0,445
CL,160,0.0,375
CO,0,0.0,0
CPS,187,0.0,432
CVM,278,0.0,632
DA,29,0.0,16
DB,154,0.0,347
DDN,59,0.0,106
DDR,217,0.0,422
DDRS,214,0.0,422
DDZD,218,0.0,539
DEI,154,0.0,51
DID,141,0.0,165
DL,43,42.354838709677416,13
DLD,130,0.0,274
DLN,4,23.193548387096776,0
DMN,159,0.0,52
DMNZ,159,0.0,35
DN,231,0.0,529
DR,108,0.0,153
DRH,193,0.0,330
DRON,87,0.0,34
DRP,161,0.0,65
DT,211,0.0,447
DTC,152,0.0,185
DTCH,150,0.0,185
DTCP,211,0.0,502
DV,79,0.0,87
DVC,75,0.0,94
DVD,161,0.0,35
DVN,131,0.0,162
DVNK,195,0.0,382
DWE,167,0.0,51
DZ,199,0.0,132
DZW,198,0.0,132
EC,241,0.0,612
ED,141,0.0,413
EDC,143,0.0,435
EDN,283,0.0,616
EEM,206,0.0,131
EGH,277,0.0,631
EGHM,278,0.0,631
EHS,217,0.0,604
EHV,218,0.0,528
EKZ,227,0.0,385
EML,98,0.0,37
EMN,20,38.483870967741936,1
EMNZ,16,38.483870967741936,0
ES,62,0.0,106
ESK,58,0.0,106
EST,135,0.0,413
ETN,240,0.0,864
FN,167,0.0,51
FWD,164,0.0,51
GBG,7,20.93548387096774,0
GD,174,0.0,347
GDG,171,0.0,347
GDM,168,0.0,347
GDR,157,0.0,202
GERP,159,0.0,87
GK,180,0.0,102
GLN,257,0.0,614
GN,161,0.0,87
GND,203,0.0,411
GNN,165,0.0,102
GO,69,0.0,139
GP,224,0.0,590
GR,194,0.0,409
GS,303,0.0,869
GV,203,0.0,432
GVC,202,0.0,350
GVM,203,0.0,467
GVMW,204,0.0,447
GW,137,0.0,91
GZ,219,0.0,543
HAD,189,0.0,313
HB,268,0.0,645
HBZM,206,0.0,421
HD,94,0.0,34
HDB,13,42.354838709677416,0
HDE,73,0.0,34
HDG,160,0.0,51
HDR,247,0.0,414
HDRZ,246,0.0,414
HFD,181,0.0,109
HGL,54,0.0,87
HGLG,56,0.0,106
HGLO,56,0.0,106
HGV,103,0.0,34
HGZ,172,0.0,110
HIL,196,0.0,313
HK,192,0.0,352
HKS,219,0.0,369
HLG,176,0.0,52
HLGH,177,0.0,56
HLM,185,0.0,292
HLMS,184,0.0,313
HLO,200,0.0,319
HM,231,0.0,571
HMBH,232,0.0,575
HMBV,228,0.0,590
HMH,230,0.0,590
HMN,149,0.0,427
HN,209,0.0,313
HNK,210,0.0,369
HNO,67,0.0,34
HNP,192,0.0,54
HON,60,0.0,94
HOR,143,0.0,35
HR,121,0.0,91
HRL,272,0.0,614
HRLW,274,0.0,631
HRN,155,0.0,87
HRT,213,0.0,529
HT,186,0.0,455
HTN,150,0.0,347
HTNC,151,0.0,375
HTO,185,0.0,455
HVL,127,0.0,274
HVS,137,0.0,34
HVSM,138,0.0,35
HVSP,138,0.0,35
HWD,212,0.0,395
HWZB,177,0.0,313
HZE,229,0.0,596
IJT,175,0.0,52
KBD,285,0.0,869
KBK,103,0.0,189
KLP,148,0.0,435
KMA,184,0.0,326
KMR,280,0.0,631
KMW,197,0.0,59
KPN,70,0.0,34
KPNZ,70,0.0,34
KRD,280,0.0,642
KRG,292,0.0,869
KTR,156,0.0,427
KW,169,0.0,108
KZ,178,0.0,316
LAA,203,0.0,379
LC,82,0.0,147
LDL,191,0.0,365
LDM,182,0.0,391
LEDN,192,0.0,372
LG,275,0.0,631
LLS,112,0.0,34
LLZM,187,0.0,432
LP,187,0.0,114
LTN,147,0.0,291
LTV,130,0.0,155
LUT,257,0.0,614
LW,150,0.0,34
LWC,153,0.0,51
MAS,149,0.0,347
MDB,322,0.0,896
MES,280,0.0,616
MG,160,0.0,51
MMLH,153,0.0,434
MP,83,0.0,34
MRB,21,36.87096774193548,13
MRN,162,0.0,379
MT,274,0.0,614
MTH,170,0.0,110
MTN,277,0.0,616
MTR,275,0.0,616
MZ,239,0.0,601
NDB,143,0.0,35
NH,265,0.0,645
NKK,110,0.0,37
NM,143,0.0,413
NMD,148,0.0,434
NMGO,146,0.0,434
NMH,146,0.0,434
NML,142,0.0,427
NS,82,0.0,34
NSCH,205,0.0,117
NVD,53,0.0,87
NVP,186,0.0,237
NWK,183,0.0,432
O,167,0.0,434
OBD,218,0.0,313
ODB,248,0.0,544
ODZ,65,0.0,106
OMN,32,42.354838709677416,13
OP,152,0.0,427
OST,76,0.0,34
OT,207,0.0,571
OTB,128,0.0,413
