Station Code,Distance from WFM,Services from/to WFM,Disruptions on path to WFM
HTO,266,0.0,435
HVL,202,0.0,289
HVS,212,0.0,49
HVSM,213,0.0,50
HVSP,213,0.0,50
HWD,287,0.0,410
HWZB,252,0.0,328
HZE,308,0.0,506
IJT,103,0.0,48
KBD,362,0.0,559
KBK,185,0.0,85
KLP,230,0.0,407
KMA,259,0.0,341
KMR,362,0.0,603
KMW,125,0.0,55
KPN,145,0.0,49
KPNZ,145,0.0,49
KRD,362,0.0,614
KRG,369,0.0,559
KTR,238,0.0,399
KW,36,0.0,51
KZ,253,0.0,331
LAA,278,0.0,29
LC,194,0.0,125
LDL,266,0.0,380
LDM,257,0.0,406
LEDN,267,0.0,387
LG,357,0.0,603
LLS,187,0.0,35
LLZM,262,0.0,447
LP,28,0.0,26
LTN,222,0.0,306
LTV,212,0.0,127
LUT,339,0.0,586
LW,78,0.0,30
LWC,75,0.0,40
MAS,224,0.0,362
MDB,399,0.0,586
MES,362,0.0,588
MG,88,0.0,47
MMLH,235,0.0,406
MP,102,0.0,30
MRB,164,0.0,56
MRN,237,0.0,394
MT,356,0.0,586
MTH,37,0.0,53
MTN,359,0.0,588
MTR,357,0.0,588
MZ,318,0.0,511
NDB,218,0.0,50
NH,347,0.0,617
NKK,185,0.0,52
NM,225,0.0,385
NMD,230,0.0,406
NMGO,228,0.0,406
NMH,228,0.0,406
NML,224,0.0,399
NS,157,0.0,49
NSCH,72,0.0,60
NVD,162,0.0,58
NVP,261,0.0,382
NWK,258,0.0,447
O,249,0.0,406
OBD,293,0.0,328
ODB,323,0.0,559
ODZ,200,0.0,159
OMN,153,0.0,56
OP,234,0.0,399
OST,151,0.0,49
OT,286,0.0,478
OTB,210,0.0,385
OVN,262,0.0,344
OW,250,0.0,427
PMO,266,0.0,307
PMR,265,0.0,328
PMW,264,0.0,331
PT,178,0.0,49
RAI,239,0.0,183
RAT,148,0.0,49
RB,359,0.0,559
RD,14,33.96774193548387,1
RH,196,0.0,128
RHN,260,0.0,397
RL,199,0.0,127
RLB,280,0.0,517
RM,310,0.0,535
RS,261,0.0,427
RSD,330,0.0,554
RSN,178,0.0,70
RSW,281,0.1290322580645161,0
RTA,263,0.0,447
RTB,274,0.0,517
RTD,273,0.0,447
RTN,268,0.0,449
RTST,278,0.0,517
RTZ,277,0.0,517
RV,299,0.0,521
RVS,241,0.0,385
SBK,342,0.0,616
SD,209,0.0,303
SDA,55,0.0,51
SDM,277,0.0,517
SDT,282,0.0,436
SDTB,285,0.0,437
SGL,366,0.0,602
SGN,301,0.0,420
SHL,251,0.0,254
SK,100,0.0,47
SKND,99,0.0,47
SM,305,0.0,535
SN,344,0.0,617
SOG,364,0.0,603
SPTN,267,0.0,344
SPTZ,265,0.0,344
SRN,328,0.0,613
SSH,272,0.0,382
ST,210,0.0,303
STD,335,0.0,584
STM,24,0.0,26
STV,129,0.0,55
STZ,211,0.0,293
SWD,13,34.0,14
SWK,116,0.0,80
TB,287,0.0,435
TBG,240,0.0,174
TBR,292,0.0,448
TBU,288,0.0,448
TG,292,0.0,502
TL,250,0.0,402
TPSW,252,0.0,402
TWL,166,0.0,125
UHM,11,33.935483870967744,1
UHZ,8,33.935483870967744,1
UST,3,33.935483870967744,0
UT,217,0.0,289
UTG,264,0.0,366
UTLN,221,0.0,362
UTLR,220,0.0,362
UTO,214,0.0,289
UTT,222,0.0,362
UTVR,218,0.0,362
UTZL,219,0.0,362
VB,274,0.0,447
VD,189,0.0,125
VDL,358,0.0,603
VDM,55,0.0,58
VEM,181,0.0,125
VG,269,0.0,435
VH,275,0.0,397
VHP,170,0.0,59
VK,367,0.0,603
VL,287,0.0,501
VLB,257,0.0,448
VNDC,252,0.0,396
VNDW,251,0.0,396
VP,200,0.0,131
VRY,264,0.0,449
VS,405,0.0,586
VSS,404,0.0,559
VST,272,0.0,482
VSV,243,0.0,158
VTN,224,0.0,367
VZ,177,0.0,60
WAD,257,0.0,447
WADN,258,0.0,447
WADT,256,0.0,447
WC,234,0.0,385
WD,233,0.0,289
WDN,170,0.0,70
WF,214,0.0,385
WFM,0,0.0,0
WH,144,0.0,49
WK,116,0.0,50
WL,229,0.0,157
WM,257,0.0,331
WP,227,0.0,181
WR,82,0.0,69
WS,60,0.0,60
WSM,8,34.0,14
WT,325,0.0,500
WTV,209,0.0,134
WV,118,0.0,47
WW,222,0.0,139
WWW,221,0.0,139
WZ,139,0.0,49
YPB,270,0.0,365
ZA,228,0.0,399
ZB,47,0.0,54
ZBM,252,0.0,405
ZD,251,0.0,328
ZDK,254,0.0,331
ZH,36,0.0,30
ZL,130,0.0,35
ZLSH,135,0.0,49
ZLW,307,0.0,554
ZP,177,0.0,125
ZTM,265,0.0,362
ZTMO,264,0.0,447
ZV,218,0.0,137
ZVB,315,0.0,559
ZVT,268,0.0,344
ZWD,291,0.0,622
ZZS,254,0.0,331
