Station Code,Distance from HZE,Services from/to HZE,Disruptions on path to HZE
AC,115,0.0,250
AH,105,0.0,183
AHP,106,0.0,440
AHPR,108,0.0,442
AHZ,97,0.0,197
AKL,86,0.0,185
AKM,255,0.0,518
ALM,140,0.0,227
ALMB,146,0.0,358
ALMM,139,0.0,226
ALMO,148,0.0,358
ALMP,142,0.0,358
AMF,112,0.0,214
AMFS,115,0.0,454
AML,189,0.0,509
AMPO,137,0.0,226
AMR,169,0.0,499
AMRI,191,0.0,579
AMRN,170,0.0,574
ANA,199,0.0,585
APD,152,0.0,443
APDM,151,0.0,444
APDO,155,0.0,478
APG,318,0.0,548
APN,126,0.0,224
ARN,158,0.0,427
ASA,124,0.0,214
ASB,120,0.0,214
ASD,130,0.0,214
ASDL,137,0.0,493
ASDM,126,0.0,251
ASDZ,126,0.0,217
ASHD,121,0.0,228
ASN,256,0.0,468
ASS,134,0.0,472
ASSP,127,0.0,265
ATN,157,0.0,477
AVAT,118,0.0,460
BD,69,0.0,68
BDE,81,0.0,54
BDG,118,0.0,215
BDM,299,0.0,537
BDPB,74,0.0,391
BET,21,27.580645161290324,68
BF,303,0.0,537
BGN,106,0.0,396
BHDV,97,0.0,205
BHV,100,0.0,214
BK,74,0.0,54
BKF,188,0.0,557
BKG,187,0.0,553
BKL,103,0.0,217
BL,240,0.0,473
BLL,152,0.0,509
BMN,127,0.0,443
BMR,96,0.0,153
BN,184,0.0,510
BNC,131,0.0,455
BNK,97,0.0,265
BNN,128,0.0,454
BNZ,133,0.0,471
BP,297,0.0,485
BR,61,0.0,100
BRD,108,0.0,508
BRN,115,0.0,238
BSD,72,0.0,184
BSK,132,0.0,305
BSKS,133,0.0,328
BSMZ,114,0.0,215
BTL,31,27.580645161290324,144
BV,159,0.0,532
BZL,138,0.0,427
CAS,157,0.0,496
CK,101,0.0,194
CL,73,0.0,184
CO,229,0.0,596
CPS,130,0.0,463
CVM,91,0.0,71
DA,200,0.0,579
DB,101,0.0,309
DDN,174,0.0,458
DDR,99,0.0,391
DDRS,102,0.0,508
DDZD,98,0.0,414
DEI,277,0.0,485
DID,124,0.0,440
DL,190,0.0,468
DLD,103,0.0,234
DLN,233,0.0,610
DMN,129,0.0,265
DMNZ,124,0.0,217
DN,33,0.0,72
DR,121,0.0,440
DRH,157,0.0,528
DRON,189,0.0,372
DRP,284,0.0,499
DT,133,0.0,461
DTC,135,0.0,460
DTCH,133,0.0,460
DTCP,132,0.0,461
DV,150,0.0,443
DVC,154,0.0,509
DVD,122,0.0,214
DVN,114,0.0,442
DVNK,144,0.0,322
DWE,290,0.0,485
DZ,322,0.0,566
DZW,321,0.0,566
EC,54,0.0,51
ED,122,0.0,440
EDC,124,0.0,462
EDN,96,0.0,55
EEM,329,0.0,565
EGH,90,0.0,70
EGHM,91,0.0,70
EHS,12,27.580645161290324,68
EHV,11,29.12903225806452,6
EKZ,191,0.0,565
EML,135,0.0,457
EMN,249,0.0,611
EMNZ,245,0.0,610
ES,187,0.0,510
ESK,183,0.0,510
EST,94,0.0,183
ETN,80,0.0,391
FN,290,0.0,485
FWD,287,0.0,485
GBG,222,0.0,596
GD,123,0.0,214
GDG,120,0.0,214
GDM,65,0.0,141
GDR,140,0.0,477
GERP,282,0.0,521
GK,303,0.0,536
GLN,70,0.0,53
GN,284,0.0,521
GND,100,0.0,205
GNN,288,0.0,536
GO,164,0.0,450
GP,5,29.12903225806452,0
GR,91,0.0,203
GS,143,0.0,427
GV,141,0.0,562
GVC,142,0.0,577
GVM,146,0.0,577
GVMW,140,0.0,562
GW,260,0.0,475
GZ,59,0.0,83
HAD,153,0.0,509
HB,81,0.0,84
HBZM,103,0.0,215
HD,139,0.0,457
HDB,216,0.0,583
HDE,160,0.0,454
HDG,283,0.0,485
HDR,211,0.0,594
HDRZ,210,0.0,594
HFD,142,0.0,278
HGL,179,0.0,491
HGLG,177,0.0,491
HGLO,181,0.0,510
HGV,226,0.0,468
HGZ,295,0.0,544
HIL,159,0.0,322
HK,156,0.0,532
HKS,183,0.0,549
HLG,299,0.0,486
HLGH,300,0.0,490
HLM,149,0.0,472
HLMS,148,0.0,493
HLO,164,0.0,499
HM,24,0.0,68
HMBH,25,0.0,72
HMBV,21,0.0,68
HMH,23,0.0,68
HMN,96,0.0,187
HN,173,0.0,493
HNK,174,0.0,549
HNO,190,0.0,468
HNP,315,0.0,488
HON,169,0.0,509
HOR,103,0.0,214
HR,244,0.0,468
HRL,85,0.0,53
HRLW,87,0.0,70
HRN,278,0.0,521
HRT,51,0.0,100
HT,43,0.0,68
HTN,83,0.0,237
HTNC,82,0.0,237
HTO,44,0.0,141
HVL,118,0.0,454
HVS,109,0.0,214
HVSM,110,0.0,215
HVSP,108,0.0,214
HWD,176,0.0,575
HWZB,141,0.0,493
HZE,0,0.0,0
IJT,298,0.0,486
KBD,125,0.0,427
KBK,143,0.0,443
KLP,123,0.0,341
KMA,148,0.0,506
KMR,93,0.0,70
KMW,320,0.0,493
KPN,193,0.0,468
KPNZ,193,0.0,468
KRD,93,0.0,81
KRG,132,0.0,427
KTR,89,0.0,184
KW,292,0.0,542
KZ,142,0.0,496
LAA,143,0.0,577
LC,151,0.0,443
LDL,140,0.0,305
LDM,79,0.0,185
LEDN,141,0.0,312
LG,88,0.0,70
LLS,164,0.0,358
LLZM,136,0.0,299
LP,310,0.0,548
LTN,130,0.0,463
LTV,169,0.0,445
LUT,70,0.0,53
LW,273,0.0,468
LWC,276,0.0,485
MAS,98,0.0,214
MDB,162,0.0,427
MES,93,0.0,55
MG,283,0.0,485
MMLH,96,0.0,183
MP,206,0.0,468
MRB,208,0.0,580
MRN,109,0.0,341
MT,87,0.0,53
MTH,293,0.0,544
MTN,90,0.0,55
MTR,88,0.0,55
MZ,10,29.516129032258064,0
NDB,115,0.0,215
NH,78,0.0,84
NKK,123,0.0,454
NM,86,0.0,162
NMD,81,0.0,165
NMGO,83,0.0,166
NMH,89,0.0,183
NML,87,0.0,183
NS,151,0.0,454
NSCH,328,0.0,551
NVD,192,0.0,516
NVP,147,0.0,406
NWK,132,0.0,299
O,62,0.0,141
OBD,182,0.0,585
ODB,100,0.0,396
ODZ,190,0.0,510
OMN,201,0.0,475
OP,93,0.0,187
OST,160,0.0,509
OT,40,27.580645161290324,187
OTB,109,0.0,440
OVN,151,0.0,509
OW,61,0.0,144
PMO,155,0.0,494
PMR,154,0.0,493
PMW,153,0.0,496
PT,130,0.0,457
RAI,125,0.0,217
RAT,196,0.0,468
RB,122,0.0,427
RD,322,0.0,552
RH,115,0.0,443
RHN,132,0.0,344
RL,156,0.0,445
RLB,112,0.0,607
RM,41,0.0,2
RS,50,0.0,144
RSD,93,0.0,391
RSN,176,0.0,509
RSW,138,0.0,562
RTA,129,0.0,461
RTB,118,0.0,508
RTD,119,0.0,391
RTN,124,0.0,461
RTST,114,0.0,613
RTZ,115,0.0,613
RV,52,0.0,51
RVS,70,0.0,162
SBK,73,0.0,83
SD,111,0.0,238
SDA,311,0.0,542
SDM,123,0.0,461
SDT,104,0.0,215
SDTB,106,0.0,510
SGL,97,0.0,69
SGN,190,0.0,585
SHL,137,0.0,228
SK,295,0.0,485
SKND,294,0.0,485
SM,46,0.0,51
SN,75,0.0,84
SOG,95,0.0,70
SPTN,156,0.0,527
SPTZ,154,0.0,527
SRN,59,0.0,80
SSH,149,0.0,322
ST,110,0.0,238
STD,66,0.0,51
STM,306,0.0,548
STV,324,0.0,493
STZ,109,0.0,238
SWD,295,0.0,536
SWK,220,0.0,518
TB,48,27.580645161290324,68
TBG,141,0.0,477
TBR,53,0.0,81
TBU,49,27.580645161290324,81
TG,59,0.0,65
TL,77,0.0,184
TPSW,75,0.0,184
TWL,155,0.0,509
UHM,319,0.0,552
UHZ,316,0.0,552
UST,311,0.0,551
UT,91,0.0,141
UTG,153,0.0,531
UTLN,87,0.0,265
UTLR,94,0.0,214
UTO,94,0.0,214
UTT,96,0.0,214
UTVR,90,0.0,265
UTZL,93,0.0,214
VB,145,0.0,606
VD,146,0.0,443
VDL,89,0.0,70
VDM,311,0.0,549
VEM,138,0.0,443
VG,39,0.0,187
VH,149,0.0,322
VHP,202,0.0,580
VK,98,0.0,70
VL,63,0.0,152
VLB,89,0.0,152
VNDC,124,0.0,343
VNDW,123,0.0,343
VP,111,0.0,443
VRY,82,0.0,152
VS,168,0.0,429
VSS,167,0.0,429
VST,146,0.0,407
VSV,148,0.0,477
VTN,98,0.0,219
VZ,195,0.0,579
WAD,131,0.0,299
WADN,132,0.0,299
WADT,130,0.0,299
WC,77,0.0,165
WD,107,0.0,214
WDN,184,0.0,516
WF,113,0.0,440
WFM,308,0.0,551
WH,167,0.0,519
WK,311,0.0,488
WL,130,0.0,460
WM,146,0.0,496
WP,124,0.0,226
WR,338,0.0,560
WS,316,0.0,551
WSM,300,0.0,537
WT,17,29.516129032258064,2
WTV,110,0.0,442
WV,233,0.0,468
WW,169,0.0,496
WWW,170,0.0,496
WZ,169,0.0,467
YPB,144,0.0,299
ZA,99,0.0,187
ZB,303,0.0,545
ZBM,56,0.0,141
ZD,140,0.0,493
ZDK,143,0.0,496
ZH,296,0.0,536
ZL,178,0.0,454
ZLSH,183,0.0,468
ZLW,84,0.0,409
ZP,134,0.0,443
ZTM,139,0.0,299
ZTMO,138,0.0,299
ZV,119,0.0,440
ZVB,92,0.0,414
ZVT,157,0.0,510
ZWD,101,0.0,508
ZZS,143,0.0,496
