Station Code,distance_CAS,services_per_day_CAS,n_of_disruptions_CAS
RTZ,94,0,321
RV,209,0,539
RVS,141,0,449
SBK,230,0,571
SD,67,0,297
SDA,271,0,512
SDM,86,0,242
SDT,120,0,431
SDTB,117,0,431
SGL,254,0,557
SGN,33,36.096774193548384,86
SHL,38,0,24
SK,255,0,444
SKND,254,0,444
SM,203,0,539
SN,232,0,572
SOG,252,0,558
SPTN,16,35.54838709677419,20
SPTZ,18,33.193548387096776,21
SRN,216,0,568
SSH,59,0,202
ST,68,0,297
STD,223,14.612903225806452,539
STM,266,0,518
STV,284,0,452
STZ,69,0,297
SWD,255,0,506
SWK,180,0,488
TB,136,0,428
TBG,159,0,857
TBR,141,0,441
TBU,137,0,441
TG,203,0,575
TL,104,0,479
TPSW,102,0,479
TWL,125,0,558
UHM,279,0,522
UHZ,276,0,522
UST,271,0,521
UT,66,51.38709677419355,282
UTG,4,40.354838709677416,0
UTLN,70,0,355
UTLR,69,0,355
UTO,69,0,355
UTT,71,0,355
UTVR,67,0.5161290322580645,355
UTZL,64,0.5161290322580645,299
VB,70,0,155
VD,145,0,558
VDL,246,0,558
VDM,271,0,519
VEM,129,0,560
VG,118,0,428
VH,44,0,119
VHP,178,0,448
VK,255,0,558
VL,198,0,574
VLB,174,0,883
VNDC,101,0.5161290322580645,389
VNDW,100,0.5161290322580645,389
VP,129,0,823
VRY,181,0,884
VS,223,0,350
VSS,222,0,350
VST,57,0,211
VSV,166,0,857
VTN,73,0,360
VZ,175,0,659
WAD,77,0,237
WADN,76,0,237
WADT,78,0,237
WC,148,0,452
WD,82,2.064516129032258,355
WDN,164,0,596
WF,115,0,563
WFM,268,0,521
WH,147,0,599
WK,271,0,447
WL,148,0,840
WM,11,4.741935483870968,26
WP,41,0,297
WR,298,0,530
WS,276,0,521
WSM,260,0,507
WT,174,14.612903225806452,490
WTV,128,0,822
WV,193,0,427
WW,178,0,572
WWW,177,0,572
WZ,129,0,536
YPB,74,0,158
ZA,126,0,482
ZB,263,0,515
ZBM,101,0.0967741935483871,479
ZD,17,57.16129032258065,0
ZDK,20,0,3
ZH,256,0,506
ZL,138,0,424
ZLSH,143,0,438
ZLW,125,0,429
ZP,133,0,558
ZTM,79,0,155
ZTMO,80,0,158
ZV,137,0,820
ZVB,133,0,434
ZVT,31,0,77
ZWD,108,0,426
ZZS,14,4.709677419354839,36
