Station Code,Distance from HLO,Services from/to HLO,Disruptions on path to HLO
AC,49,2.5806451612903225,299
AH,130,35.806451612903224,579
AHP,131,0.0,836
AHPR,133,0.0,836
AHZ,138,0.8387096774193549,836
AKL,120,0.0,402
AKM,222,0.0,349
ALM,64,0.0,285
ALMB,70,0.0,416
ALMM,63,0.0,292
ALMO,72,0.0,416
ALMP,66,0.0,416
AMF,79,0.0,299
AMFS,82,0.0,539
AML,176,0.0,605
AMPO,61,0.0,292
AMR,5,75.51612903225806,0
AMRI,178,0.0,675
AMRN,6,63.80645161290322,75
ANA,35,34.74193548387097,86
APD,122,0.0,539
APDM,123,0.0,574
APDO,125,0.0,574
APG,285,0.0,379
APN,74,0.0,72
ARN,220,0.0,256
ASA,40,38.80645161290322,285
ASB,44,3.225806451612903,285
ASD,34,75.16129032258064,27
ASDL,33,0.0,27
ASDM,38,2.5806451612903225,285
ASDZ,46,0.0,285
ASHD,45,2.5806451612903225,299
ASN,223,0.0,299
ASS,30,75.16129032258064,6
ASSP,39,0.0,285
ATN,182,0.0,873
AVAT,85,0.0,545
BD,147,0.0,251
BDE,245,0.0,547
BDG,82,0.0,153
BDM,266,0.0,368
BDPB,142,0.0,303
BET,143,0.0,358
BF,270,0.0,368
BGN,168,0.0,302
BHDV,131,0.0,422
BHV,82,0.0,358
BK,238,0.0,548
BKF,44,0.0,150
BKG,43,0.0,146
BKL,61,2.5806451612903225,426
BL,207,0.0,299
BLL,27,33.193548387096776,20
BMN,147,0.0,574
BMR,174,0.0,614
BN,185,0.0,675
BNC,98,0.0,540
BNK,81,0.5161290322580645,358
BNN,95,0.0,539
BNZ,100,0.0,556
BP,264,0.0,556
BR,203,0.0,528
BRD,108,0.0,257
BRN,70,0.0,286
BSD,106,0.0,401
BSK,80,0.0,153
BSKS,81,0.0,176
BSMZ,58,0.0,303
BTL,133,0.0,431
BV,17,35.645161290322584,0
BZL,200,0.0,333
CAS,7,78.19354838709677,0
CK,164,0.0,611
CL,91,0.0,386
CO,200,0.0,319
CPS,105,2.064516129032258,261
CVM,229,0.0,98
DA,187,0.0,309
DB,85,36.32258064516129,358
DDN,180,0.0,589
DDR,117,0.0,181
DDRS,120,0.0,298
DDZD,118,0.0,298
DEI,244,0.0,556
DID,149,0.0,836
DL,157,0.0,299
DLD,82,0.0,300
DLN,204,0.0,333
DMN,41,0.0,285
DMNZ,44,0.0,325
DN,175,0.0,500
DR,146,0.0,836
DRH,22,35.54838709677419,18
DRON,113,0.0,430
DRP,251,0.0,570
DT,83,0.0,80
DTC,160,0.0,856
DTCH,158,0.0,856
DTCP,84,0.0,181
DV,137,0.0,539
DVC,141,0.0,574
DVD,42,2.838709677419355,322
DVN,139,0.0,838
DVNK,62,0.0,65
DWE,257,0.0,556
