Station Code,Distance from STV,Services from/to STV,Disruptions on path to STV
ZLSH,151,0.0,39
ZLW,323,0.0,530
ZP,193,0.0,115
ZTM,281,0.0,338
ZTMO,280,0.0,423
ZV,234,0.0,127
ZVB,331,0.0,535
ZVT,284,0.0,334
ZWD,307,0.0,598
ZZS,270,0.0,321
