Station Code,Distance from DTCH,Services from/to DTCH,Disruptions on path to DTCH
AC,110,0.0,383
AH,28,55.483870967741936,20
AHP,27,55.483870967741936,23
AHPR,29,0.0,25
AHZ,36,0.0,277
AKL,105,0.0,338
AKM,179,0.0,172
ALM,126,0.0,570
ALMB,132,0.0,701
ALMM,125,0.0,569
ALMO,134,0.0,701
ALMP,128,0.0,701
AMF,79,0.0,317
AMFS,82,0.0,557
AML,110,0.0,98
AMPO,123,0.0,569
AMR,163,0.0,856
AMRI,112,0.0,168
AMRN,164,0.0,931
ANA,193,0.0,942
APD,73,0.0,32
APDM,72,0.0,33
APDO,76,0.0,67
APG,242,0.0,202
APN,121,0.0,360
ARN,222,0.0,733
ASA,119,0.0,350
ASB,115,0.0,350
ASD,124,0.0,571
ASDL,131,0.0,829
ASDM,120,0.0,557
ASDZ,121,0.0,364
ASHD,114,0.0,510
ASN,180,0.0,122
ASS,128,0.0,829
ASSP,119,0.0,576
ATN,24,35.54838709677419,17
AVAT,85,0.0,563
BD,133,0.0,405
BDE,172,0.0,478
BDG,113,0.0,351
BDM,223,0.0,191
BDPB,138,0.0,728
BET,112,0.0,392
BF,227,0.0,191
BGN,170,0.0,733
BHDV,116,0.0,358
BHV,91,0.0,561
BK,165,0.0,479
BKF,182,0.0,914
BKG,181,0.0,910
BKL,98,0.0,350
BL,164,0.0,122
BLL,146,0.0,866
BMN,48,0.0,32
BMR,72,0.0,312
BN,105,0.0,99
BNC,60,0.0,300
BNK,78,0.0,331
BNN,63,0.0,316
BNZ,58,0.0,300
BP,221,0.0,139
BR,107,0.0,341
BRD,142,0.0,486
BRN,88,0.0,557
BSD,91,0.0,337
BSK,127,0.0,441
BSKS,128,0.0,464
BSMZ,100,0.0,558
BTL,102,0.0,392
BV,153,0.0,850
BZL,202,0.0,764
CAS,151,0.0,853
CK,62,0.0,309
CL,92,0.0,337
CO,150,0.0,185
CPS,131,0.0,435
CVM,182,0.0,496
DA,121,0.0,168
DB,74,0.0,299
DDN,95,0.0,47
DDR,133,0.0,369
DDRS,130,0.0,369
DDZD,134,0.0,486
DEI,201,0.0,139
DID,9,55.483870967741936,0
