Station Code,Distance from HK,Services from/to HK,Disruptions on path to HK
AC,41,0.0,332
AH,122,0.0,612
AHP,123,0.0,869
AHPR,125,0.0,869
AHZ,130,0.0,869
AKL,112,0.0,435
AKM,214,0.0,382
ALM,56,0.0,318
ALMB,62,0.0,449
ALMM,55,0.0,325
ALMO,64,0.0,449
ALMP,58,0.0,449
AMF,71,0.0,332
AMFS,74,0.0,572
AML,168,0.0,638
AMPO,53,0.0,325
AMR,19,34.935483870967744,4
AMRI,170,0.0,708
AMRN,20,29.06451612903226,79
ANA,49,0.0,90
APD,114,0.0,572
APDM,115,0.0,607
APDO,117,0.0,607
APG,277,0.0,412
APN,60,0.0,72
ARN,206,0.0,256
ASA,32,0.0,318
ASB,36,0.0,318
ASD,26,35.29032258064516,60
ASDL,25,0.0,60
ASDM,30,0.0,318
ASDZ,38,0.0,318
ASHD,37,0.0,332
ASN,215,0.0,332
ASS,22,35.29032258064516,39
ASSP,31,0.0,318
ATN,174,0.0,906
AVAT,77,0.0,578
BD,133,0.0,251
BDE,237,0.0,580
BDG,68,0.0,153
BDM,258,0.0,401
BDPB,128,0.0,303
BET,135,0.0,391
BF,262,0.0,401
BGN,154,0.0,302
BHDV,120,0.0,309
BHV,74,0.0,391
BK,230,0.0,581
BKF,58,0.0,154
BKG,57,0.0,150
BKL,53,0.0,459
BL,199,0.0,332
BLL,13,35.41935483870968,20
BMN,139,0.0,607
BMR,166,0.0,647
BN,177,0.0,708
BNC,90,0.0,573
BNK,73,0.0,391
BNN,87,0.0,572
BNZ,92,0.0,589
BP,256,0.0,589
BR,195,0.0,561
BRD,94,0.0,257
BRN,62,0.0,319
BSD,98,0.0,434
BSK,66,0.0,153
BSKS,67,0.0,176
BSMZ,50,0.0,336
BTL,125,0.0,464
BV,3,37.774193548387096,0
BZL,186,0.0,333
CAS,7,34.935483870967744,1
CK,156,0.0,644
CL,83,0.0,419
CO,192,0.0,352
CPS,91,0.0,261
CVM,215,0.0,98
DA,179,0.0,342
DB,77,0.0,391
DDN,172,0.0,622
DDR,103,0.0,181
DDRS,106,0.0,298
DDZD,104,0.0,298
DEI,236,0.0,589
DID,141,0.0,869
DL,149,0.0,332
DLD,74,0.0,333
DLN,196,0.0,366
DMN,33,0.0,318
DMNZ,36,0.0,358
DN,167,0.0,533
DR,138,0.0,869
DRH,8,37.774193548387096,18
DRON,105,0.0,463
DRP,243,0.0,603
DT,69,0.0,80
DTC,152,0.0,889
DTCH,150,0.0,889
DTCP,70,0.0,181
DV,129,0.0,572
DVC,133,0.0,607
DVD,34,0.0,355
DVN,131,0.0,871
DVNK,48,0.0,65
DWE,249,0.0,589
DZ,281,0.0,430
DZW,280,0.0,430
EC,210,0.0,578
ED,105,0.0,590
EDC,103,0.0,589
EDN,244,0.0,99
EEM,288,0.0,429
EGH,214,0.0,97
EGHM,215,0.0,97
EHS,144,0.0,467
EHV,145,0.0,467
EKZ,61,0.0,162
EML,94,0.0,572
EMN,212,0.0,367
EMNZ,208,0.0,366
ES,185,0.0,674
ESK,181,0.0,674
EST,133,0.0,869
ETN,144,0.0,574
