Station Code,Distance from HB,Services from/to HB,Disruptions on path to HB
PMR,232,0.0,63
PMW,231,0.0,66
PT,211,0.0,511
RAI,206,0.0,274
RAT,238,0.0,582
RB,203,0.0,503
RD,364,0.0,666
RH,154,0.0,490
RHN,213,0.0,401
RL,195,0.0,494
RLB,179,0.0,188
RM,40,0.0,33
RS,131,0.0,198
RSD,174,0.0,467
RSN,215,0.0,492
RSW,153,0.0,17
RTA,182,0.0,188
RTB,173,0.0,188
RTD,172,0.0,118
RTN,177,0.0,188
RTST,177,0.0,188
RTZ,176,0.0,188
RV,51,0.0,82
RVS,141,0.0,232
SBK,8,26.64516129032258,0
SD,192,0.0,295
SDA,353,0.0,656
SDM,168,0.0,118
SDT,185,0.0,272
SDTB,187,0.0,584
SGL,20,0.0,17
SGN,253,0.0,168
SHL,197,0.0,61
SK,337,0.0,599
SKND,336,0.0,599
SM,45,0.0,82
SN,6,26.64516129032258,0
SOG,14,0.0,17
SPTN,204,0.0,42
SPTZ,202,0.0,42
SRN,22,0.0,33
SSH,176,0.0,42
ST,191,0.0,295
STD,15,26.64516129032258,31
STM,348,0.0,662
STV,366,0.0,607
STZ,190,0.0,295
SWD,337,0.0,650
SWK,262,0.0,632
TB,129,0.0,125
TBG,180,0.0,526
TBR,134,0.0,138
TBU,130,0.0,138
TG,58,0.0,96
TL,158,0.0,241
TPSW,156,0.0,241
TWL,194,0.0,558
UHM,361,0.0,666
UHZ,358,0.0,666
UST,353,0.0,665
UT,172,0.0,198
UTG,216,0.0,62
UTLN,168,0.0,322
UTLR,175,0.0,271
UTO,175,0.0,271
UTT,177,0.0,271
UTVR,171,0.0,322
UTZL,174,0.0,271
VB,156,0.0,61
VD,185,0.0,492
VDL,8,0.0,17
VDM,353,0.0,663
VEM,177,0.0,492
VG,120,0.0,125
VH,176,0.0,42
VHP,241,0.0,629
VK,17,0.0,17
VL,63,0.0,115
VLB,93,0.0,168
VNDC,205,0.0,400
VNDW,204,0.0,400
VP,150,0.0,490
VRY,86,0.0,168
VS,249,0.0,499
VSS,248,0.0,472
VST,163,0.0,35
VSV,187,0.0,526
VTN,179,0.0,276
VZ,234,0.0,628
WAD,189,0.0,117
WADN,190,0.0,117
WADT,188,0.0,117
WC,134,0.0,232
WD,188,0.0,271
WDN,223,0.0,499
WF,152,0.0,232
WFM,350,0.0,665
WH,206,0.0,568
WK,353,0.0,602
WL,169,0.0,509
WM,223,0.0,88
WP,205,0.0,283
WR,380,0.0,674
WS,358,0.0,665
WSM,342,0.0,651
WT,64,0.0,82
WTV,149,0.0,491
WV,275,0.0,582
WW,208,0.0,545
WWW,209,0.0,545
WZ,229,0.0,582
YPB,160,0.0,64
ZA,144,0.0,246
ZB,345,0.0,659
ZBM,137,0.0,198
ZD,218,0.0,63
ZDK,221,0.0,66
ZH,338,0.0,650
ZL,220,0.0,568
ZLSH,225,0.0,582
ZLW,165,0.0,485
ZP,173,0.0,492
ZTM,165,0.0,61
ZTMO,166,0.0,61
ZV,158,0.0,489
ZVB,173,0.0,490
ZVT,205,0.0,42
ZWD,182,0.0,584
ZZS,221,0.0,66
