station,distance,services_per_day,n_of_disruptions
OP,97,0,458
OST,117,0,565
OT,112,0,447
OTB,96,0,539
OVN,17,19.870967741935484,37
OW,109,0,407
PMO,21,32.03225806451613,1
PMR,20,32.67741935483871,0
PMW,19,31.967741935483872,3
PT,67,0,502
RAI,15,0,298
RAT,133,0,414
RB,169,17.677419354838708,156
RD,259,0,498
RH,110,0,799
RHN,86,1.064516129032258,366
RL,132,0,536
RLB,89,0,129
RM,175,37.193548387096776,466
RS,98,0,407
RSD,140,28.161290322580644,120
RSN,133,0,565
RSW,63,0,75
RTA,89,35.45161290322581,416
RTB,83,28.580645161290324,120
RTD,82,65.83870967741936,50
RTN,87,35.45161290322581,120
RTST,87,0,129
RTZ,86,0,129
RV,186,0,515
RVS,118,0,425
SBK,207,0,547
SD,44,0,273
SDA,248,0,488
SDM,78,29.870967741935484,176
SDT,108,0,486
SDTB,109,0,239
SGL,231,0,533
SGN,56,36.096774193548384,92
SHL,15,81.3225806451613,0
SK,232,0,420
SKND,231,0,420
SM,180,0,515
SN,209,0,548
SOG,229,0,534
SPTN,22,35.61290322580645,55
SPTZ,20,35.61290322580645,55
SRN,193,0,544
SSH,36,53.193548387096776,178
ST,45,0,273
STD,200,37.193548387096776,515
STM,243,0,494
STV,261,0,428
STZ,46,0,273
SWD,232,0,482
SWK,157,0,464
TB,113,0,404
TBG,136,0,833
TBR,118,0,417
TBU,114,0,417
TG,180,0,551
TL,81,0,455
TPSW,79,0,455
TWL,102,0,534
UHM,256,0,498
UHZ,253,0,498
UST,248,0,497
UT,43,85.3225806451613,258
UTG,19,82.6774193548387,38
UTLN,47,0,331
UTLR,46,0,331
UTM,51,0,331
UTO,46,0,331
UTT,48,0,331
UTVR,44,6.096774193548387,331
UTZL,41,8.903225806451612,275
VB,62,0,79
VD,122,0,534
VDL,223,0,534
VDM,248,0,495
VEM,106,0,536
VG,95,0,404
VH,36,0.22580645161290322,80
VHP,155,0,424
VK,232,0,534
VL,175,0,550
VLB,151,0,859
VNDC,78,1.064516129032258,365
VNDW,77,1.064516129032258,365
VP,106,0,799
VRY,158,0,860
VS,215,26.838709677419356,158
VSS,214,17.677419354838708,158
VST,49,38.16129032258065,145
VSV,143,0,833
VTN,50,0,336
VZ,152,0,635
WAD,69,0,171
WADN,68,0,171
WADT,70,0,171
WC,125,0,428
WD,59,35.483870967741936,331
WDN,141,0,572
WF,92,0,539
WFM,245,0,497
WH,124,0,575
WK,248,0,423
WL,125,0,816
WM,12,47.096774193548384,3
WP,18,52.903225806451616,273
WR,275,0,506
WS,253,0,497
WSM,237,0,483
WT,151,37.193548387096776,466
WTV,105,0,798
WV,170,0,403
WW,155,0,548
WWW,154,0,548
WZ,106,0,512
YPB,66,0,82
ZA,103,0,458
ZB,240,0,491
ZBM,78,0.0967741935483871,455
ZD,6,130.2258064516129,0
ZDK,9,31.967741935483872,3
ZH,233,0,482
ZL,115,32.70967741935484,400
ZLSH,120,0,414
ZLW,117,0.06451612903225806,237
ZP,110,0,534
ZTM,71,0,79
ZTMO,72,0,82
ZV,114,0,796
ZVB,125,0.03225806451612903,242
ZVT,23,19.870967741935484,38
ZWD,100,0,234
ZZS,9,47.064516129032256,3
