Station Code,Distance from VK,Services from/to VK,Disruptions on path to VK
OW,159,0.0,184
PMO,242,0.0,63
PMR,241,0.0,63
PMW,240,0.0,66
PT,228,0.0,497
RAI,218,0.0,185
RAT,255,0.0,568
RB,220,0.0,489
RD,381,0.0,652
RH,171,0.0,476
RHN,230,0.0,387
RL,212,0.0,480
RLB,188,0.0,188
RM,57,0.0,19
RS,148,0.0,184
RSD,191,0.0,453
RSN,232,0.0,478
RSW,162,0.0,17
RTA,191,0.0,188
RTB,182,0.0,188
RTD,181,0.0,118
RTN,186,0.0,188
RTST,186,0.0,188
RTZ,185,0.0,188
RV,68,0.0,68
RVS,158,0.0,218
SBK,25,0.0,17
SD,209,0.0,281
SDA,370,0.0,642
SDM,177,0.0,118
SDT,202,0.0,258
SDTB,204,0.0,570
SGL,3,38.41935483870968,0
SGN,262,0.0,168
SHL,206,0.0,61
SK,354,0.0,585
SKND,353,0.0,585
SM,62,0.0,68
SN,23,0.0,17
SOG,3,38.41935483870968,0
SPTN,213,0.0,42
SPTZ,211,0.0,42
SRN,39,0.0,19
SSH,185,0.0,42
ST,208,0.0,281
STD,32,0.0,17
STM,365,0.0,648
STV,383,0.0,593
STZ,207,0.0,281
SWD,354,0.0,636
SWK,279,0.0,618
TB,146,0.0,111
TBG,197,0.0,512
TBR,151,0.0,124
TBU,147,0.0,124
TG,75,0.0,82
TL,175,0.0,227
TPSW,173,0.0,227
TWL,211,0.0,544
UHM,378,0.0,652
UHZ,375,0.0,652
UST,370,0.0,651
UT,189,0.0,184
UTG,225,0.0,62
UTLN,185,0.0,308
UTLR,192,0.0,257
UTO,192,0.0,257
UTT,194,0.0,257
UTVR,188,0.0,308
UTZL,191,0.0,257
VB,165,0.0,61
VD,202,0.0,478
VDL,9,38.41935483870968,0
VDM,370,0.0,649
VEM,194,0.0,478
VG,137,0.0,111
VH,185,0.0,42
VHP,258,0.0,615
VK,0,0.0,0
VL,80,0.0,101
VLB,110,0.0,154
VNDC,222,0.0,386
VNDW,221,0.0,386
VP,167,0.0,476
VRY,103,0.0,154
VS,266,0.0,485
VSS,265,0.0,458
VST,172,0.0,35
VSV,204,0.0,512
VTN,196,0.0,262
VZ,251,0.0,614
WAD,198,0.0,117
WADN,199,0.0,117
WADT,197,0.0,117
WC,151,0.0,218
WD,205,0.0,257
WDN,240,0.0,485
WF,169,0.0,218
WFM,367,0.0,651
WH,223,0.0,554
WK,370,0.0,588
WL,186,0.0,495
WM,232,0.0,88
WP,222,0.0,269
WR,397,0.0,660
WS,375,0.0,651
WSM,359,0.0,637
WT,81,0.0,68
WTV,166,0.0,477
WV,292,0.0,568
WW,225,0.0,531
WWW,226,0.0,531
WZ,246,0.0,568
YPB,169,0.0,64
ZA,161,0.0,232
ZB,362,0.0,645
ZBM,154,0.0,184
ZD,227,0.0,63
ZDK,230,0.0,66
ZH,355,0.0,636
ZL,237,0.0,554
ZLSH,242,0.0,568
ZLW,182,0.0,471
ZP,190,0.0,478
ZTM,174,0.0,61
ZTMO,175,0.0,61
ZV,175,0.0,475
ZVB,190,0.0,476
ZVT,214,0.0,42
ZWD,199,0.0,293
ZZS,230,0.0,66
