Station Code,Distance from VK,Services from/to VK,Disruptions on path to VK
AC,213,0.0,217
AH,161,0.0,218
AHP,162,0.0,475
AHPR,164,0.0,475
AHZ,153,0.0,232
AKL,184,0.0,228
AKM,314,0.0,618
ALM,238,0.0,270
ALMB,244,0.0,401
ALMM,237,0.0,269
ALMO,246,0.0,401
ALMP,240,0.0,401
AMF,210,0.0,257
AMFS,213,0.0,497
AML,245,0.0,544
AMPO,235,0.0,269
AMR,241,0.0,82
AMRI,247,0.0,614
AMRN,242,0.0,157
ANA,271,0.0,168
APD,208,0.0,478
APDM,207,0.0,479
APDO,211,0.0,513
APG,377,0.0,648
APN,192,0.0,49
ARN,256,0.0,458
ASA,222,0.0,257
ASB,218,0.0,257
ASD,225,0.0,61
ASDL,218,0.0,111
ASDM,224,0.0,294
ASDZ,217,0.0,111
ASHD,217,0.0,344
ASN,315,0.0,568
ASS,221,0.0,42
ASSP,225,0.0,308
ATN,213,0.0,512
AVAT,216,0.0,503
BD,167,0.0,130
BDE,19,0.0,16
BDG,200,0.0,130
BDM,358,0.0,637
BDPB,172,0.0,453
BET,119,0.0,130
BF,362,0.0,637
BGN,204,0.0,458
BHDV,195,0.0,248
BHV,198,0.0,257
BK,26,0.0,47
BKF,275,0.0,127
BKG,274,0.0,123
BKL,201,0.0,184
BL,299,0.0,568
BLL,209,0.0,42
BMN,183,0.0,478
BMR,117,0.0,155
BN,240,0.0,545
BNC,193,0.0,241
BNK,195,0.0,308
BNN,196,0.0,257
BNZ,191,0.0,241
BP,356,0.0,585
BR,82,0.0,102
BRD,192,0.0,194
BRN,213,0.0,281
BSD,170,0.0,227
BSK,198,0.0,130
BSKS,199,0.0,153
BSMZ,212,0.0,258
BTL,129,0.0,68
BV,219,0.0,44
BZL,236,0.0,489
CAS,229,0.0,79
CK,127,0.0,183
CL,171,0.0,227
CO,285,0.0,631
CPS,192,0.0,190
CVM,19,36.54838709677419,18
DA,256,0.0,614
DB,199,0.0,352
DDN,230,0.0,493
DDR,197,0.0,453
DDRS,200,0.0,570
DDZD,196,0.0,476
DEI,336,0.0,585
DID,180,0.0,475
DL,249,0.0,568
DLD,201,0.0,277
DLN,289,0.0,645
DMN,227,0.0,308
DMNZ,222,0.0,260
DN,110,0.0,102
DR,177,0.0,475
DRH,214,0.0,43
DRON,269,0.0,568
DRP,343,0.0,599
DT,167,0.0,17
DTC,191,0.0,495
DTCH,189,0.0,495
DTCP,168,0.0,118
DV,206,0.0,478
DVC,210,0.0,544
DVD,220,0.0,257
DVN,170,0.0,477
DVNK,174,0.0,35
DWE,349,0.0,585
DZ,381,0.0,666
DZW,380,0.0,666
EC,44,0.0,21
ED,178,0.0,218
EDC,180,0.0,240
EDN,22,0.0,16
EEM,388,0.0,665
EGH,18,36.54838709677419,17
EGHM,19,0.0,17
EHS,110,0.0,130
EHV,109,0.0,68
EKZ,278,0.0,135
EML,233,0.0,497
EMN,305,0.0,646
EMNZ,301,0.0,645
ES,243,0.0,545
ESK,239,0.0,545
EST,150,0.0,218
ETN,178,0.0,453
FN,349,0.0,585
FWD,346,0.0,585
GBG,278,0.0,631
GD,190,0.0,32
GDG,193,0.0,117
GDM,163,0.0,184
GDR,196,0.0,512
GERP,341,0.0,621
GK,362,0.0,636
GLN,28,0.0,18
GN,343,0.0,621
GND,198,0.0,248
GNN,347,0.0,636
GO,220,0.0,485
GP,103,0.0,75
GR,189,0.0,246
GS,241,0.0,458
GV,161,0.0,17
GVC,162,0.0,32
GVM,166,0.0,32
GVMW,160,0.0,17
GW,319,0.0,625
GZ,157,0.0,126
HAD,202,0.0,42
HB,17,0.0,17
HBZM,201,0.0,258
HD,237,0.0,500
HDB,272,0.0,618
HDE,255,0.0,568
HDG,342,0.0,585
HDR,283,0.0,177
HDRZ,282,0.0,177
HFD,201,0.0,32
HGL,235,0.0,526
HGLG,233,0.0,526
HGLO,237,0.0,545
HGV,285,0.0,568
HGZ,354,0.0,644
HIL,195,0.0,42
HK,222,0.0,62
HKS,270,0.0,119
HLG,358,0.0,586
HLGH,359,0.0,590
HLM,206,0.0,42
HLMS,207,0.0,42
HLO,236,0.0,62
HM,119,0.0,130
HMBH,118,0.0,130
HMBV,119,0.0,130
HMH,120,0.0,134
HMN,164,0.0,232
HN,260,0.0,63
HNK,261,0.0,119
HNO,249,0.0,568
HNP,374,0.0,588
HON,225,0.0,478
HOR,201,0.0,257
HR,303,0.0,625
HRL,13,38.41935483870968,0
HRLW,11,38.41935483870968,0
HRN,337,0.0,621
HRT,92,0.0,154
HT,141,0.0,111
HTN,181,0.0,280
HTNC,180,0.0,280
HTO,142,0.0,184
HVL,206,0.0,258
HVS,207,0.0,257
HVSM,208,0.0,258
HVSP,206,0.0,257
HWD,248,0.0,158
HWZB,214,0.0,42
HZE,98,0.0,70
IJT,357,0.0,586
KBD,223,0.0,458
KBK,199,0.0,478
KLP,185,0.0,240
KMA,230,0.0,63
KMR,5,38.41935483870968,0
KMW,379,0.0,593
KPN,252,0.0,568
KPNZ,252,0.0,568
KRD,21,36.54838709677419,28
KRG,230,0.0,458
KTR,171,0.0,232
KW,351,0.0,642
KZ,229,0.0,66
LAA,163,0.0,32
LC,207,0.0,478
LDL,178,0.0,42
LDM,177,0.0,228
LEDN,177,0.0,32
LG,16,36.54838709677419,17
LLS,262,0.0,401
LLZM,177,0.0,61
LP,369,0.0,648
LTN,186,0.0,241
LTV,225,0.0,480
LUT,30,0.0,47
LW,332,0.0,568
LWC,335,0.0,585
MAS,196,0.0,257
MDB,260,0.0,485
MES,7,38.41935483870968,0
MG,342,0.0,585
MMLH,132,0.0,186
MP,265,0.0,568
MRB,264,0.0,615
MRN,207,0.0,384
MT,13,38.41935483870968,14
MTH,352,0.0,644
MTN,10,38.41935483870968,14
MTR,14,38.41935483870968,16
MZ,88,0.0,68
NDB,213,0.0,258
NH,20,0.0,17
NKK,221,0.0,497
NM,142,0.0,197
NMD,147,0.0,218
NMGO,145,0.0,218
NMH,139,0.0,197
NML,143,0.0,218
NS,249,0.0,497
NSCH,387,0.0,651
NVD,248,0.0,485
NVP,196,0.0,42
NWK,196,0.0,246
O,160,0.0,184
OBD,254,0.0,168
ODB,198,0.0,458
ODZ,246,0.0,545
OMN,260,0.0,575
OP,167,0.0,232
OST,216,0.0,544
OT,138,0.0,111
OTB,165,0.0,475
OVN,208,0.0,42
